MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190110204817,https://webarchive.loc.gov/all/20190110204817/https://twitter.com/amyklobuchar,550054,2019-01-10 20:48:17,0,0,0,0,0,0
20190116153438,http://web.archive.org/web/20190116153438/https://twitter.com/amyklobuchar,557358,2019-01-16 15:34:38,7304,7304,1.33,1.33,0.01462,0.01462
20190124222117,http://web.archive.org/web/20190124222117/https://twitter.com/amyklobuchar,566492,2019-01-24 22:21:17,16438,9134,2.99,1.64,0.01353,0.01276
20190125201219,http://web.archive.org/web/20190125201219/https://twitter.com/amyklobuchar,567254,2019-01-25 20:12:19,17200,762,3.13,0.13,0.01329,0.00969
20190127234423,http://web.archive.org/web/20190127234423/https://twitter.com/amyklobuchar,569449,2019-01-27 23:44:23,19395,2195,3.53,0.39,0.01311,0.01183
20190129015615,http://web.archive.org/web/20190129015615/https://twitter.com/amyklobuchar,570106,2019-01-29 01:56:15,20052,657,3.65,0.12,0.01274,0.00697
20190130050940,http://web.archive.org/web/20190130050940/https://twitter.com/amyklobuchar,570796,2019-01-30 05:09:40,20742,690,3.77,0.12,0.01241,0.00704
20190130055527,http://web.archive.org/web/20190130055527/https://twitter.com/amyklobuchar,570804,2019-01-30 05:55:27,20750,8,3.77,0.0,0.01239,0.00291
20190131054106,http://web.archive.org/web/20190131054106/https://twitter.com/amyklobuchar,571482,2019-01-31 05:41:06,21428,678,3.9,0.12,0.01218,0.00793
20190203050019,http://web.archive.org/web/20190203050019/https://twitter.com/amyklobuchar,575068,2019-02-03 05:00:19,25014,3586,4.55,0.63,0.0124,0.01397
20190206232508,http://web.archive.org/web/20190206232508/https://twitter.com/amyklobuchar,580995,2019-02-06 23:25:08,30941,5927,5.63,1.03,0.01321,0.01821
20190207220242,https://webarchive.loc.gov/all/20190207220242/https://twitter.com/amyklobuchar,582518,2019-02-07 22:02:42,32464,1523,5.9,0.26,0.01339,0.0187
20190211103603,http://web.archive.org/web/20190211103603/https://twitter.com/amyklobuchar,602111,2019-02-11 10:36:03,52057,19593,9.46,3.36,0.01908,0.06437
20190212002207,http://web.archive.org/web/20190212002207/https://twitter.com/amyklobuchar,611299,2019-02-12 00:22:07,61245,9188,11.13,1.53,0.02205,0.18538
20190212133918,http://web.archive.org/web/20190212133918/https://twitter.com/amyklobuchar,615850,2019-02-12 13:39:18,65796,4551,11.96,0.74,0.02329,0.09515
20190212135331,http://web.archive.org/web/20190212135331/https://twitter.com/amyklobuchar,615894,2019-02-12 13:53:31,65840,44,11.97,0.01,0.0233,0.05158
20190213034815,http://web.archive.org/web/20190213034815/https://twitter.com/amyklobuchar,618677,2019-02-13 03:48:15,68623,2783,12.48,0.45,0.02386,0.05557
20190213141209,http://web.archive.org/web/20190213141209/https://twitter.com/amyklobuchar,619486,2019-02-13 14:12:09,69432,809,12.62,0.13,0.02383,0.02161
20190214030023,http://web.archive.org/web/20190214030023/https://twitter.com/amyklobuchar,620739,2019-02-14 03:00:23,70685,1253,12.85,0.2,0.02388,0.02718
20190214110522,http://web.archive.org/web/20190214110522/https://twitter.com/amyklobuchar,621113,2019-02-14 11:05:22,71059,374,12.92,0.06,0.02377,0.01285
20190214144646,http://web.archive.org/web/20190214144646/https://twitter.com/amyklobuchar,621479,2019-02-14 14:46:46,71425,366,12.99,0.06,0.02379,0.02755
20190216044808,http://web.archive.org/web/20190216044808/https://twitter.com/amyklobuchar,624204,2019-02-16 04:48:08,74150,2725,13.48,0.44,0.02362,0.01991
20190216103542,http://web.archive.org/web/20190216103542/https://twitter.com/amyklobuchar,624374,2019-02-16 10:35:42,74320,170,13.51,0.03,0.02352,0.00815
20190217065519,http://web.archive.org/web/20190217065519/https://twitter.com/amyklobuchar,625694,2019-02-17 06:55:19,75640,1320,13.75,0.21,0.02339,0.01804
20190218132622,http://web.archive.org/web/20190218132622/https://twitter.com/amyklobuchar,627096,2019-02-18 13:26:22,77042,1402,14.01,0.22,0.02305,0.01276
20190218154534,http://web.archive.org/web/20190218154534/https://twitter.com/amyklobuchar,627287,2019-02-18 15:45:34,77233,191,14.04,0.03,0.02304,0.02287
20190219120720,http://web.archive.org/web/20190219120720/https://twitter.com/amyklobuchar,630769,2019-02-19 12:07:20,80715,3482,14.67,0.56,0.02357,0.0475
20190219211445,http://web.archive.org/web/20190219211445/https://twitter.com/amyklobuchar/,632737,2019-02-19 21:14:45,82683,1968,15.03,0.31,0.02391,0.05992
20190220000224,http://web.archive.org/web/20190220000224/https://twitter.com/amyklobuchar,633160,2019-02-20 00:02:24,83106,423,15.11,0.07,0.02397,0.04205
20190220131550,http://web.archive.org/web/20190220131550/https://twitter.com/amyklobuchar,634333,2019-02-20 13:15:50,84279,1173,15.32,0.19,0.02398,0.02464
20190220215407,https://webarchive.loc.gov/all/20190220215407/https://twitter.com/amyklobuchar,635081,2019-02-20 21:54:07,85027,748,15.46,0.12,0.02398,0.02405
