MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190110204817,https://webarchive.loc.gov/all/20190110204817/https://twitter.com/amyklobuchar,550054,2019-01-10 20:48:17,0,0,0,0,0,0
20190116153438,http://web.archive.org/web/20190116153438/https://twitter.com/amyklobuchar,557358,2019-01-16 15:34:38,7304,7304,1.33,1.33,0.01462,0.01462
20190124222117,http://web.archive.org/web/20190124222117/https://twitter.com/amyklobuchar,566492,2019-01-24 22:21:17,16438,9134,2.99,1.64,0.01353,0.01276
20190127234423,http://web.archive.org/web/20190127234423/https://twitter.com/amyklobuchar,569449,2019-01-27 23:44:23,19395,2957,3.53,0.52,0.01311,0.01119
20190129015615,http://web.archive.org/web/20190129015615/https://twitter.com/amyklobuchar,570106,2019-01-29 01:56:15,20052,657,3.65,0.12,0.01274,0.00697
20190130050940,http://web.archive.org/web/20190130050940/https://twitter.com/amyklobuchar,570796,2019-01-30 05:09:40,20742,690,3.77,0.12,0.01241,0.00704
20190131054106,http://web.archive.org/web/20190131054106/https://twitter.com/amyklobuchar,571482,2019-01-31 05:41:06,21428,686,3.9,0.12,0.01218,0.00777
20190203050019,http://web.archive.org/web/20190203050019/https://twitter.com/amyklobuchar,575068,2019-02-03 05:00:19,25014,3586,4.55,0.63,0.0124,0.01397
20190206232508,http://web.archive.org/web/20190206232508/https://twitter.com/amyklobuchar,580995,2019-02-06 23:25:08,30941,5927,5.63,1.03,0.01321,0.01821
20190211103603,http://web.archive.org/web/20190211103603/https://twitter.com/amyklobuchar,602111,2019-02-11 10:36:03,52057,21116,9.46,3.63,0.01908,0.05473
20190212133918,http://web.archive.org/web/20190212133918/https://twitter.com/amyklobuchar,615850,2019-02-12 13:39:18,65796,13739,11.96,2.28,0.02329,0.14106
20190213141209,http://web.archive.org/web/20190213141209/https://twitter.com/amyklobuchar,619486,2019-02-13 14:12:09,69432,3636,12.62,0.59,0.02383,0.04114
20190214144646,http://web.archive.org/web/20190214144646/https://twitter.com/amyklobuchar,621479,2019-02-14 14:46:46,71425,1993,12.99,0.32,0.02379,0.02253
20190216044808,http://web.archive.org/web/20190216044808/https://twitter.com/amyklobuchar,624204,2019-02-16 04:48:08,74150,2725,13.48,0.44,0.02362,0.01991
20190217065519,http://web.archive.org/web/20190217065519/https://twitter.com/amyklobuchar,625694,2019-02-17 06:55:19,75640,1490,13.75,0.24,0.02339,0.01585
20190218132622,http://web.archive.org/web/20190218132622/https://twitter.com/amyklobuchar,627096,2019-02-18 13:26:22,77042,1402,14.01,0.22,0.02305,0.01276
20190219211445,http://web.archive.org/web/20190219211445/https://twitter.com/amyklobuchar/,632737,2019-02-19 21:14:45,82683,5641,15.03,0.9,0.02391,0.04927
20190220215407,https://webarchive.loc.gov/all/20190220215407/https://twitter.com/amyklobuchar,635081,2019-02-20 21:54:07,85027,2344,15.46,0.37,0.02398,0.02641
20190223090556,http://web.archive.org/web/20190223090556/https://twitter.com/amyklobuchar,639351,2019-02-23 09:05:56,89297,4270,16.23,0.67,0.02375,0.02004
20190226044133,http://web.archive.org/web/20190226044133/https://twitter.com/amyklobuchar,640939,2019-02-26 04:41:33,90885,1588,16.52,0.25,0.02271,0.00653
20190227101803,http://web.archive.org/web/20190227101803/https://twitter.com/amyklobuchar,641892,2019-02-27 10:18:03,91838,953,16.7,0.15,0.02235,0.00894
20190228102904,http://web.archive.org/web/20190228102904/https://twitter.com/amyklobuchar,642746,2019-02-28 10:29:04,92692,854,16.85,0.13,0.02209,0.00981
20190301111524,http://web.archive.org/web/20190301111524/https://twitter.com/amyklobuchar,643342,2019-03-01 11:15:24,93288,596,16.96,0.09,0.02177,0.00668
20190302112736,http://web.archive.org/web/20190302112736/https://twitter.com/amyklobuchar,643979,2019-03-02 11:27:36,93925,637,17.08,0.1,0.02148,0.00731
20190303112909,http://web.archive.org/web/20190303112909/https://twitter.com/amyklobuchar,644602,2019-03-03 11:29:09,94548,623,17.19,0.1,0.0212,0.0072
20190304133111,http://web.archive.org/web/20190304133111/https://twitter.com/amyklobuchar,645180,2019-03-04 13:31:11,95126,578,17.29,0.09,0.02089,0.00617
20190305190555,http://web.archive.org/web/20190305190555/https://twitter.com/amyklobuchar/,645979,2019-03-05 19:05:55,95925,799,17.44,0.12,0.02059,0.0075
20190306223313,http://web.archive.org/web/20190306223313/https://twitter.com/amyklobuchar,646484,2019-03-06 22:33:13,96430,505,17.53,0.08,0.02027,0.00511
20190307224421,http://web.archive.org/web/20190307224421/https://twitter.com/amyklobuchar,646957,2019-03-07 22:44:21,96903,473,17.62,0.07,0.02,0.00543
20190308224449,http://web.archive.org/web/20190308224449/https://twitter.com/amyklobuchar,647880,2019-03-08 22:44:49,97826,923,17.78,0.14,0.01984,0.01068
20190309225040,http://web.archive.org/web/20190309225040/https://twitter.com/amyklobuchar,648501,2019-03-09 22:50:40,98447,621,17.9,0.1,0.01962,0.00716
