MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190320172551,https://webarchive.loc.gov/all/20190320172551/https://twitter.com/AndrewYang,184317,2019-03-20 17:25:51,0,0,0,0,0,0
20190321191842,http://web.archive.org/web/20190321191842/https://twitter.com/andrewyang,189237,2019-03-21 19:18:42,4920,4920,2.67,2.67,0.05281,0.05281
20190327000454,http://web.archive.org/web/20190327000454/https://twitter.com/AndrewYang,200361,2019-03-27 00:04:54,16044,11124,8.7,5.88,0.02958,0.02477
20190403072754,http://web.archive.org/web/20190403072754/https://twitter.com/andrewyang,212135,2019-04-03 07:27:54,27818,11774,15.09,5.88,0.0237,0.01865
20190407121954,http://web.archive.org/web/20190407121954/https://twitter.com/AndrewYang,219666,2019-04-07 12:19:54,35349,7531,19.18,3.55,0.023,0.02074
20190411065054,http://web.archive.org/web/20190411065054/https://twitter.com/AndrewYang,231008,2019-04-11 06:50:54,46691,11342,25.33,5.16,0.02507,0.03481
20190417081717,http://web.archive.org/web/20190417081717/https://twitter.com/AndrewYang,243258,2019-04-17 08:17:17,58941,12250,31.98,5.3,0.0247,0.0234
20190420143441,http://web.archive.org/web/20190420143441/https://twitter.com/AndrewYang,247423,2019-04-20 14:34:41,63106,4165,34.24,1.71,0.02365,0.01478
20190428224003,http://web.archive.org/web/20190428224003/https://twitter.com/AndrewYang,256874,2019-04-28 22:40:03,72557,9451,39.37,3.82,0.02141,0.01312
20190430065218,http://web.archive.org/web/20190430065218/http://twitter.com/AndrewYang,257638,2019-04-30 06:52:18,73321,764,39.78,0.3,0.02092,0.00659
20190430065220,http://web.archive.org/web/20190430065220/https://twitter.com/AndrewYang,257638,2019-04-30 06:52:20,73321,0,39.78,0.0,0.02092,0.0
20190502062602,http://web.archive.org/web/20190502062602/https://twitter.com/AndrewYang,258749,2019-05-02 06:26:02,74432,1111,40.38,0.43,0.02025,0.00649
20190502134109,http://web.archive.org/web/20190502134109/https://twitter.com/andrewyang,258840,2019-05-02 13:41:09,74523,91,40.43,0.04,0.02013,0.00349
20190502163431,http://web.archive.org/web/20190502163431/https://twitter.com/AndrewYang,258941,2019-05-02 16:34:31,74624,101,40.49,0.04,0.0201,0.00971
20190504185830,http://web.archive.org/web/20190504185830/https://twitter.com/AndrewYang,260310,2019-05-04 18:58:30,75993,1369,41.23,0.53,0.01952,0.00755
20190507030130,http://web.archive.org/web/20190507030130/https://twitter.com/AndrewYang,261561,2019-05-07 03:01:30,77244,1251,41.91,0.48,0.01886,0.0062
20190508091910,https://www.webarchive.org.uk/wayback/archive/20190508091910mp_/https://twitter.com/andrewyang,262219,2019-05-08 09:19:10,77902,658,42.27,0.25,0.01853,0.00603
20190508223443,http://web.archive.org/web/20190508223443/https://twitter.com/ANDREWYANG,262479,2019-05-08 22:34:43,78162,260,42.41,0.1,0.01838,0.00545
20190511083638,http://web.archive.org/web/20190511083638/https://twitter.com/andrewyang/,265005,2019-05-11 08:36:38,80688,2526,43.78,0.96,0.01809,0.01209
20190512085756,http://web.archive.org/web/20190512085756/https://twitter.com/andrewyang,265789,2019-05-12 08:57:56,81472,784,44.2,0.3,0.01791,0.00894
20190517161641,http://web.archive.org/web/20190517161641/https://twitter.com/AndrewYang,270288,2019-05-17 16:16:41,85971,4499,46.64,1.69,0.01717,0.00982
20190527190436,http://web.archive.org/web/20190527190436/https://twitter.com/AndrewYang,281531,2019-05-27 19:04:36,97214,11243,52.74,4.16,0.01653,0.01286
20190527191759,http://web.archive.org/web/20190527191759/https://twitter.com/AndrewYang,281540,2019-05-27 19:17:59,97223,9,52.75,0.0,0.01653,0.01121
20190527194204,http://web.archive.org/web/20190527194204/https://twitter.com/AndrewYang,281567,2019-05-27 19:42:04,97250,27,52.76,0.01,0.01653,0.01869
20190528130958,http://web.archive.org/web/20190528130958/https://twitter.com/AndrewYang,282124,2019-05-28 13:09:58,97807,557,53.06,0.2,0.01645,0.00886
20190606020113,http://web.archive.org/web/20190606020113/https://twitter.com/AndrewYang,290959,2019-06-06 02:01:13,106642,8835,57.86,3.13,0.01596,0.01198
20190606124646,http://web.archive.org/web/20190606124646/https://twitter.com/AndrewYang,291399,2019-06-06 12:46:46,107082,440,58.1,0.15,0.01593,0.01136
20190607014323,http://web.archive.org/web/20190607014323/https://twitter.com/AndrewYang,291937,2019-06-07 01:43:23,107620,538,58.39,0.18,0.0159,0.01155
20190607193835,http://web.archive.org/web/20190607193835/https://twitter.com/AndrewYang,292534,2019-06-07 19:38:35,108217,597,58.71,0.2,0.01584,0.00925
20190609053302,https://www.webarchive.org.uk/wayback/archive/20190609053302mp_/https://twitter.com/andrewyang,295258,2019-06-09 05:33:02,110941,2724,60.19,0.93,0.01595,0.02232
20190609201801,http://web.archive.org/web/20190609201801/https://twitter.com/AndrewYang,297276,2019-06-09 20:18:01,112959,2018,61.29,0.68,0.01612,0.038
20190610202042,http://web.archive.org/web/20190610202042/https://twitter.com/AndrewYang,299457,2019-06-10 20:20:42,115140,2181,62.47,0.73,0.01623,0.0252
20190612080410,http://web.archive.org/web/20190612080410/https://twitter.com/AndrewYang,302069,2019-06-12 08:04:10,117752,2612,63.89,0.87,0.0163,0.02031
20190612191303,http://web.archive.org/web/20190612191303/https://twitter.com/AndrewYang,302603,2019-06-12 19:13:03,118286,534,64.18,0.18,0.01628,0.01331
20190616045518,http://web.archive.org/web/20190616045518/https://twitter.com/andrewyang,307822,2019-06-16 04:55:18,123505,5219,67.01,1.72,0.01634,0.01774
20190617040950,http://web.archive.org/web/20190617040950/https://twitter.com/andrewyang,308911,2019-06-17 04:09:50,124594,1089,67.6,0.35,0.0163,0.01302
20190618031941,http://web.archive.org/web/20190618031941/https://twitter.com/andrewyang,309840,2019-06-18 03:19:41,125523,929,68.1,0.3,0.01625,0.01114
20190621132025,http://web.archive.org/web/20190621132025/https://twitter.com/AndrewYang,313375,2019-06-21 13:20:25,129058,3535,70.02,1.14,0.01609,0.01197
20190626005921,http://web.archive.org/web/20190626005921/https://twitter.com/AndrewYang,361973,2019-06-26 00:59:21,177656,48598,96.39,15.51,0.02113,0.1254
20190626140616,http://web.archive.org/web/20190626140616/https://twitter.com/AndrewYang,380708,2019-06-26 14:06:16,196391,18735,106.55,5.18,0.02323,0.3968
20190627065846,http://web.archive.org/web/20190627065846/https://twitter.com/AndrewYang,399096,2019-06-27 06:58:46,214779,18388,116.53,4.83,0.02522,0.30268
20190627223756,http://web.archive.org/web/20190627223756/https://twitter.com/AndrewYang,407265,2019-06-27 22:37:56,222948,8169,120.96,2.05,0.02601,0.14497
20190628083648,http://web.archive.org/web/20190628083648/https://twitter.com/AndrewYang,429878,2019-06-28 08:36:48,245561,22613,133.23,5.55,0.02853,0.62933
20190628083736,http://web.archive.org/web/20190628083736/http://twitter.com/AndrewYang,429878,2019-06-28 08:37:36,245561,0,133.23,0.0,0.02853,0.0
20190628090136,http://web.archive.org/web/20190628090136/https://twitter.com/AndrewYang,430013,2019-06-28 09:01:36,245696,135,133.3,0.03,0.02854,0.09375
20190629034441,http://web.archive.org/web/20190629034441/https://twitter.com/andrewyang,467306,2019-06-29 03:44:41,282989,37293,153.53,8.67,0.03261,0.55343
20190629043904,http://web.archive.org/web/20190629043904/https://twitter.com/andrewyang,468649,2019-06-29 04:39:04,284332,1343,154.26,0.29,0.03276,0.41158
20190629102041,http://web.archive.org/web/20190629102041/https://twitter.com/AndrewYang,473864,2019-06-29 10:20:41,289547,5215,157.09,1.11,0.03328,0.25443
20190629103050,http://web.archive.org/web/20190629103050/https://twitter.com/AndrewYang,473978,2019-06-29 10:30:50,289661,114,157.15,0.02,0.03329,0.18719
20190629104904,http://web.archive.org/web/20190629104904/https://twitter.com/AndrewYang,474197,2019-06-29 10:49:04,289880,219,157.27,0.05,0.03331,0.20018
20190630085942,http://web.archive.org/web/20190630085942/https://twitter.com/AndrewYang,492558,2019-06-30 08:59:42,308241,18361,167.23,3.87,0.0351,0.22998
20190630131812,http://web.archive.org/web/20190630131812/https://twitter.com/AndrewYang,493561,2019-06-30 13:18:12,309244,1003,167.78,0.2,0.03515,0.06467
20190630182524,http://web.archive.org/web/20190630182524/https://twitter.com/andrewyang,496455,2019-06-30 18:25:24,312138,2894,169.35,0.59,0.0354,0.15701
