MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101022358,http://web.archive.org/web/20190101022358/https://twitter.com/BernieSanders,8942649,2019-01-01 02:23:58,0,0,0,0,0,0
20190102030436,http://web.archive.org/web/20190102030436/https://twitter.com/BernieSanders,8943339,2019-01-02 03:04:36,690,690,0.01,0.01,0.00777,0.00777
20190103034314,http://web.archive.org/web/20190103034314/https://twitter.com/BernieSanders,8944098,2019-01-03 03:43:14,1449,759,0.02,0.01,0.00816,0.00856
20190104104226,http://web.archive.org/web/20190104104226/https://twitter.com/berniesanders,8946810,2019-01-04 10:42:26,4161,2712,0.05,0.03,0.01439,0.02431
20190105163309,http://web.archive.org/web/20190105163309/https://twitter.com/BernieSanders,8953249,2019-01-05 16:33:09,10600,6439,0.12,0.07,0.02673,0.05993
20190106231819,http://web.archive.org/web/20190106231819/https://twitter.com/BernieSanders/,8958542,2019-01-06 23:18:19,15893,5293,0.18,0.06,0.03133,0.04781
20190107233013,http://web.archive.org/web/20190107233013/https://twitter.com/berniesanders,8960792,2019-01-07 23:30:13,18143,2250,0.2,0.03,0.03052,0.02583
20190109020127,http://web.archive.org/web/20190109020127/https://twitter.com/BernieSanders,8962564,2019-01-09 02:01:27,19915,1772,0.22,0.02,0.02887,0.01856
20190110162310,http://web.archive.org/web/20190110162310/https://twitter.com/BernieSanders,8965775,2019-01-10 16:23:10,23126,3211,0.26,0.04,0.02793,0.02325
20190111163133,http://web.archive.org/web/20190111163133/https://twitter.com/BernieSanders,8967439,2019-01-11 16:31:33,24790,1664,0.28,0.02,0.0271,0.01915
20190112231626,http://web.archive.org/web/20190112231626/https://twitter.com/BernieSanders/,8970158,2019-01-12 23:16:26,27509,2719,0.31,0.03,0.02682,0.02456
20190113233504,http://web.archive.org/web/20190113233504/https://twitter.com/berniesanders,8971612,2019-01-13 23:35:04,28963,1454,0.32,0.02,0.02602,0.01661
20190115020515,http://web.archive.org/web/20190115020515/https://twitter.com/BernieSanders,8969223,2019-01-15 02:05:15,26574,-2389,0.3,-0.03,0.02199,-0.02504
20190116230640,http://web.archive.org/web/20190116230640/https://twitter.com/BernieSanders/,8971308,2019-01-16 23:06:40,28659,2085,0.32,0.02,0.02091,0.01286
20190117230647,http://web.archive.org/web/20190117230647/https://twitter.com/BernieSanders/,8972403,2019-01-17 23:06:47,29754,1095,0.33,0.01,0.02042,0.01267
20190118232235,http://web.archive.org/web/20190118232235/https://twitter.com/berniesanders,8973766,2019-01-18 23:22:35,31117,1363,0.35,0.02,0.02015,0.0156
20190119233058,http://web.archive.org/web/20190119233058/https://twitter.com/berniesanders,8974826,2019-01-19 23:30:58,32177,1060,0.36,0.01,0.01973,0.0122
20190120233532,http://web.archive.org/web/20190120233532/https://twitter.com/berniesanders,8975941,2019-01-20 23:35:32,33292,1115,0.37,0.01,0.01938,0.01286
20190121233605,http://web.archive.org/web/20190121233605/https://twitter.com/berniesanders,8977019,2019-01-21 23:36:05,34370,1078,0.38,0.01,0.01905,0.01247
20190123000241,http://web.archive.org/web/20190123000241/https://twitter.com/BernieSanders,8977831,2019-01-23 00:02:41,35182,812,0.39,0.01,0.01859,0.00923
20190124141234,http://web.archive.org/web/20190124141234/https://twitter.com/BernieSanders,8979658,2019-01-24 14:12:34,37009,1827,0.41,0.02,0.01823,0.0133
20190125161946,http://web.archive.org/web/20190125161946/https://twitter.com/BernieSanders,8981134,2019-01-25 16:19:46,38485,1476,0.43,0.02,0.01812,0.0157
20190126232230,http://web.archive.org/web/20190126232230/https://twitter.com/BernieSanders/,8983181,2019-01-26 23:22:30,40532,2047,0.45,0.02,0.01813,0.01832
20190127232645,http://web.archive.org/web/20190127232645/https://twitter.com/berniesanders,8984390,2019-01-27 23:26:45,41741,1209,0.47,0.01,0.01798,0.01395
20190128233447,http://web.archive.org/web/20190128233447/https://twitter.com/berniesanders,8985214,2019-01-28 23:34:47,42565,824,0.48,0.01,0.01767,0.00948
