MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101030938,http://web.archive.org/web/20190101030938/https://twitter.com/BetoORourke,1110617,2019-01-01 03:09:38,0,0,0,0,0,0
20190102152937,http://web.archive.org/web/20190102152937/https://twitter.com/BetoORourke,1114513,2019-01-02 15:29:37,3896,3896,0.35,0.35,0.02979,0.02979
20190104021347,http://web.archive.org/web/20190104021347/https://twitter.com/BetoORourke,1119220,2019-01-04 02:13:47,8603,4707,0.77,0.42,0.03363,0.03764
20190105191832,http://web.archive.org/web/20190105191832/https://twitter.com/BetoORourke,1134211,2019-01-05 19:18:32,23594,14991,2.12,1.34,0.05844,0.10137
20190106192549,http://web.archive.org/web/20190106192549/https://twitter.com/BetoORourke,1141153,2019-01-06 19:25:49,30536,6942,2.75,0.61,0.06225,0.07994
20190107214400,http://web.archive.org/web/20190107214400/https://twitter.com/BetoORourke,1146542,2019-01-07 21:44:00,35925,5389,3.23,0.47,0.06138,0.05691
20190109192110,http://web.archive.org/web/20190109192110/https://twitter.com/BetoORourke,1153879,2019-01-09 19:21:10,43262,7337,3.9,0.64,0.05772,0.04468
20190110210320,http://web.archive.org/web/20190110210320/https://twitter.com/betoorourke,1157668,2019-01-10 21:03:20,47051,3789,4.24,0.33,0.05588,0.04095
20190111213541,http://web.archive.org/web/20190111213541/https://twitter.com/BetoORourke,1162305,2019-01-11 21:35:41,51688,4637,4.65,0.4,0.05556,0.05249
20190113090301,http://web.archive.org/web/20190113090301/https://twitter.com/BetoORourke/,1168392,2019-01-13 09:03:01,57775,6087,5.2,0.52,0.05461,0.04769
20190114115310,http://web.archive.org/web/20190114115310/https://twitter.com/BetoORourke/,1171438,2019-01-14 11:53:10,60821,3046,5.48,0.26,0.05268,0.03153
20190115145512,http://web.archive.org/web/20190115145512/https://twitter.com/betoorourke,1173628,2019-01-15 14:55:12,63011,2190,5.67,0.19,0.05033,0.0225
20190116184710,http://web.archive.org/web/20190116184710/https://twitter.com/betoorourke,1175547,2019-01-16 18:47:10,64930,1919,5.85,0.16,0.04802,0.01913
20190117190901,http://web.archive.org/web/20190117190901/https://twitter.com/BetoORourke,1178412,2019-01-17 19:09:01,67795,2865,6.1,0.24,0.04708,0.03266
20190118193129,http://web.archive.org/web/20190118193129/https://twitter.com/BetoORourke,1180917,2019-01-18 19:31:29,70300,2505,6.33,0.21,0.04602,0.02855
20190119214142,http://web.archive.org/web/20190119214142/https://twitter.com/BetoORourke,1183034,2019-01-19 21:41:42,72417,2117,6.52,0.18,0.04465,0.02247
20190121073327,http://web.archive.org/web/20190121073327/https://twitter.com/BetoORourke,1185316,2019-01-21 07:33:27,74699,2282,6.73,0.19,0.04284,0.01872
20190122193822,http://web.archive.org/web/20190122193822/https://twitter.com/BetoORourke,1186917,2019-01-22 19:38:22,76300,1601,6.87,0.14,0.04072,0.01233
20190123214319,http://web.archive.org/web/20190123214319/https://twitter.com/BetoORourke,1187503,2019-01-23 21:43:19,76886,586,6.92,0.05,0.03908,0.00624
20190124222603,http://web.archive.org/web/20190124222603/https://twitter.com/BetoORourke,1188181,2019-01-24 22:26:03,77564,678,6.98,0.06,0.03771,0.00762
20190126193251,http://web.archive.org/web/20190126193251/https://twitter.com/BetoORourke,1189737,2019-01-26 19:32:51,79120,1556,7.12,0.13,0.03566,0.00958
20190127221032,http://web.archive.org/web/20190127221032/https://twitter.com/BetoORourke,1190426,2019-01-27 22:10:32,79809,689,7.19,0.06,0.03448,0.00719
20190128221307,http://web.archive.org/web/20190128221307/https://twitter.com/BetoORourke,1190836,2019-01-28 22:13:07,80219,410,7.22,0.03,0.0334,0.00474
20190129235904,http://web.archive.org/web/20190129235904/https://twitter.com/BetoORourke,1191423,2019-01-29 23:59:04,80806,587,7.28,0.05,0.0324,0.00633
20190131193006,http://web.archive.org/web/20190131193006/https://twitter.com/BetoORourke,1192556,2019-01-31 19:30:06,81939,1133,7.38,0.1,0.03091,0.00723
20190201214133,http://web.archive.org/web/20190201214133/https://twitter.com/BetoORourke,1192922,2019-02-01 21:41:33,82305,366,7.41,0.03,0.02998,0.00388
