MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190106123442,http://web.archive.org/web/20190106123442/https://twitter.com/BilldeBlasio,139007,2019-01-06 12:34:42,0,0,0,0,0,0
20190110041744,http://web.archive.org/web/20190110041744/https://twitter.com/billdeblasio,139293,2019-01-10 04:17:44,286,286,0.21,0.21,0.00091,0.00091
20190116063106,http://web.archive.org/web/20190116063106/http://twitter.com:80/BilldeBlasio,139293,2019-01-16 06:31:06,286,0,0.21,0.0,0.00034,0.0
20190122093052,http://web.archive.org/web/20190122093052/https://twitter.com/billdeblasio,139548,2019-01-22 09:30:52,541,255,0.39,0.18,0.00039,0.00048
20190124225606,http://web.archive.org/web/20190124225606/https://twitter.com/BilldeBlasio,139516,2019-01-24 22:56:06,509,-32,0.37,-0.02,0.00032,-0.00014
20190126183149,http://web.archive.org/web/20190126183149/https://twitter.com/BilldeBlasio,139506,2019-01-26 18:31:49,499,-10,0.36,-0.01,0.00029,-6e-05
20190201132708,http://web.archive.org/web/20190201132708/https://twitter.com/BilldeBlasio,139408,2019-02-01 13:27:08,401,-98,0.29,-0.07,0.00018,-0.0002
20190213205747,http://web.archive.org/web/20190213205747/https://twitter.com/BilldeBlasio,140205,2019-02-13 20:57:47,1198,797,0.86,0.57,0.00036,0.00075
20190225182936,http://web.archive.org/web/20190225182936/https://twitter.com/BilldeBlasio,140848,2019-02-25 18:29:36,1841,643,1.32,0.46,0.00042,0.00063
20190305003955,http://web.archive.org/web/20190305003955/https://twitter.com/billdeblasio,141444,2019-03-05 00:39:55,2437,596,1.75,0.42,0.00049,0.00095
20190314163642,http://web.archive.org/web/20190314163642/https://twitter.com/BilldeBlasio,142106,2019-03-14 16:36:42,3099,662,2.23,0.47,0.00053,0.0008
20190324052443,http://web.archive.org/web/20190324052443/https://twitter.com/BilldeBlasio,142468,2019-03-24 05:24:43,3461,362,2.49,0.25,0.00052,0.00044
20190324052532,http://web.archive.org/web/20190324052532/https://twitter.com/billdeblasio,142469,2019-03-24 05:25:32,3462,1,2.49,0.0,0.00052,0.02041
20190325111728,http://web.archive.org/web/20190325111728/https://twitter.com/BilldeBlasio,142518,2019-03-25 11:17:28,3511,49,2.53,0.03,0.00052,0.00046
20190405054421,https://webarchive.loc.gov/all/20190405054421/https://twitter.com/billdeblasio,142887,2019-04-05 05:44:21,3880,369,2.79,0.26,0.00051,0.0004
20190406173359,http://web.archive.org/web/20190406173359/https://twitter.com/BilldeBlasio,142868,2019-04-06 17:33:59,3861,-19,2.78,-0.01,0.0005,-0.00015
20190407180555,http://web.archive.org/web/20190407180555/https://twitter.com/BilldeBlasio,142877,2019-04-07 18:05:55,3870,9,2.78,0.01,0.00049,0.0001
20190424231448,http://web.archive.org/web/20190424231448/https://twitter.com/BilldeBlasio,144314,2019-04-24 23:14:48,5307,1437,3.82,1.01,0.00057,0.00097
20190425131334,http://web.archive.org/web/20190425131334/https://twitter.com/BilldeBlasio,144340,2019-04-25 13:13:34,5333,26,3.84,0.02,0.00057,0.00052
20190430085548,http://web.archive.org/web/20190430085548/http://twitter.com/billdeblasio,144674,2019-04-30 08:55:48,5667,334,4.08,0.23,0.00058,0.0008
20190430085550,http://web.archive.org/web/20190430085550/https://twitter.com/billdeblasio,144674,2019-04-30 08:55:50,5667,0,4.08,0.0,0.00058,0.0
20190507044614,http://web.archive.org/web/20190507044614/https://twitter.com/BilldeBlasio,149294,2019-05-07 04:46:14,10287,4620,7.4,3.19,0.00099,0.00783
20190511100719,http://web.archive.org/web/20190511100719/https://twitter.com/BilldeBlasio,149687,2019-05-11 10:07:19,10680,393,7.68,0.26,0.00099,0.00108
20190516202825,http://web.archive.org/web/20190516202825/https://twitter.com/billdeblasio,151390,2019-05-16 20:28:25,12383,1703,8.91,1.14,0.0011,0.00363
20190516234632,http://web.archive.org/web/20190516234632/http://twitter.com/BilldeBlasio,151816,2019-05-16 23:46:32,12809,426,9.21,0.28,0.00114,0.03584
20190516234634,http://web.archive.org/web/20190516234634/https://twitter.com/BilldeBlasio,151816,2019-05-16 23:46:34,12809,0,9.21,0.0,0.00114,0.0
20190517003704,http://web.archive.org/web/20190517003704/https://twitter.com/billdeblasio,151911,2019-05-17 00:37:04,12904,95,9.28,0.06,0.00114,0.03135
20190517111110,http://web.archive.org/web/20190517111110/https://twitter.com/billdeblasio,152794,2019-05-17 11:11:10,13787,883,9.92,0.58,0.00122,0.02321
