MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190106123442,http://web.archive.org/web/20190106123442/https://twitter.com/BilldeBlasio,139007,2019-01-06 12:34:42,0,0,0,0,0,0
20190110041744,http://web.archive.org/web/20190110041744/https://twitter.com/billdeblasio,139293,2019-01-10 04:17:44,286,286,0.21,0.21,0.00091,0.00091
20190116063106,http://web.archive.org/web/20190116063106/http://twitter.com:80/BilldeBlasio,139293,2019-01-16 06:31:06,286,0,0.21,0.0,0.00034,0.0
20190122093052,http://web.archive.org/web/20190122093052/https://twitter.com/billdeblasio,139548,2019-01-22 09:30:52,541,255,0.39,0.18,0.00039,0.00048
20190124225606,http://web.archive.org/web/20190124225606/https://twitter.com/BilldeBlasio,139516,2019-01-24 22:56:06,509,-32,0.37,-0.02,0.00032,-0.00014
20190126183149,http://web.archive.org/web/20190126183149/https://twitter.com/BilldeBlasio,139506,2019-01-26 18:31:49,499,-10,0.36,-0.01,0.00029,-6e-05
20190201132708,http://web.archive.org/web/20190201132708/https://twitter.com/BilldeBlasio,139408,2019-02-01 13:27:08,401,-98,0.29,-0.07,0.00018,-0.0002
20190213205747,http://web.archive.org/web/20190213205747/https://twitter.com/BilldeBlasio,140205,2019-02-13 20:57:47,1198,797,0.86,0.57,0.00036,0.00075
20190225182936,http://web.archive.org/web/20190225182936/https://twitter.com/BilldeBlasio,140848,2019-02-25 18:29:36,1841,643,1.32,0.46,0.00042,0.00063
20190305003955,http://web.archive.org/web/20190305003955/https://twitter.com/billdeblasio,141444,2019-03-05 00:39:55,2437,596,1.75,0.42,0.00049,0.00095
20190314163642,http://web.archive.org/web/20190314163642/https://twitter.com/BilldeBlasio,142106,2019-03-14 16:36:42,3099,662,2.23,0.47,0.00053,0.0008
20190324052443,http://web.archive.org/web/20190324052443/https://twitter.com/BilldeBlasio,142468,2019-03-24 05:24:43,3461,362,2.49,0.25,0.00052,0.00044
20190325111728,http://web.archive.org/web/20190325111728/https://twitter.com/BilldeBlasio,142518,2019-03-25 11:17:28,3511,50,2.53,0.04,0.00052,0.00046
20190405054421,https://webarchive.loc.gov/all/20190405054421/https://twitter.com/billdeblasio,142887,2019-04-05 05:44:21,3880,369,2.79,0.26,0.00051,0.0004
20190406173359,http://web.archive.org/web/20190406173359/https://twitter.com/BilldeBlasio,142868,2019-04-06 17:33:59,3861,-19,2.78,-0.01,0.0005,-0.00015
20190407180555,http://web.archive.org/web/20190407180555/https://twitter.com/BilldeBlasio,142877,2019-04-07 18:05:55,3870,9,2.78,0.01,0.00049,0.0001
20190424231448,http://web.archive.org/web/20190424231448/https://twitter.com/BilldeBlasio,144314,2019-04-24 23:14:48,5307,1437,3.82,1.01,0.00057,0.00097
20190430085548,http://web.archive.org/web/20190430085548/http://twitter.com/billdeblasio,144674,2019-04-30 08:55:48,5667,360,4.08,0.25,0.00058,0.00077
20190507044614,http://web.archive.org/web/20190507044614/https://twitter.com/BilldeBlasio,149294,2019-05-07 04:46:14,10287,4620,7.4,3.19,0.00099,0.00783
20190511100719,http://web.archive.org/web/20190511100719/https://twitter.com/BilldeBlasio,149687,2019-05-11 10:07:19,10680,393,7.68,0.26,0.00099,0.00108
20190516202825,http://web.archive.org/web/20190516202825/https://twitter.com/billdeblasio,151390,2019-05-16 20:28:25,12383,1703,8.91,1.14,0.0011,0.00363
20190518154206,http://web.archive.org/web/20190518154206/https://twitter.com/BilldeBlasio,153693,2019-05-18 15:42:06,14686,2303,10.56,1.52,0.00129,0.0148
20190519181059,http://web.archive.org/web/20190519181059/https://twitter.com/BilldeBlasio,154019,2019-05-19 18:10:59,15012,326,10.8,0.21,0.0013,0.00342
20190521060956,http://web.archive.org/web/20190521060956/https://twitter.com/BilldeBlasio,154239,2019-05-21 06:09:56,15232,220,10.96,0.14,0.00131,0.0017
20190522070645,http://web.archive.org/web/20190522070645/https://twitter.com/BilldeBlasio,154303,2019-05-22 07:06:45,15296,64,11.0,0.04,0.0013,0.00071
20190523074717,http://web.archive.org/web/20190523074717/https://twitter.com/BilldeBlasio,154428,2019-05-23 07:47:17,15421,125,11.09,0.08,0.00131,0.00141
20190524122334,http://web.archive.org/web/20190524122334/https://twitter.com/BilldeBlasio,154566,2019-05-24 12:23:34,15559,138,11.19,0.09,0.00131,0.00134
20190527045426,http://web.archive.org/web/20190527045426/http://twitter.com/BilldeBlasio,154734,2019-05-27 04:54:26,15727,168,11.31,0.11,0.00129,0.00072
