MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101225509,http://web.archive.org/web/20190101225509/https://twitter.com/CoryBooker,4083516,2019-01-01 22:55:09,0,0,0,0,0,0
20190103080420,http://web.archive.org/web/20190103080420/https://twitter.com/CORYBOOKER,4083584,2019-01-03 08:04:20,68,68,0.0,0.0,0.00057,0.00057
20190104223101,http://web.archive.org/web/20190104223101/https://twitter.com/CoryBooker,4085798,2019-01-04 22:31:01,2282,2214,0.06,0.05,0.00885,0.016
20190106223409,http://web.archive.org/web/20190106223409/https://twitter.com/CoryBooker,4087440,2019-01-06 22:34:09,3924,1642,0.1,0.04,0.00911,0.00949
20190108215455,http://web.archive.org/web/20190108215455/https://twitter.com/CoryBooker,4088876,2019-01-08 21:54:55,5360,1436,0.13,0.04,0.00892,0.00842
20190110000211,http://web.archive.org/web/20190110000211/https://twitter.com/CoryBooker,4089836,2019-01-10 00:02:11,6320,960,0.15,0.02,0.00909,0.01021
20190111234435,http://web.archive.org/web/20190111234435/https://twitter.com/CoryBooker,4090934,2019-01-11 23:44:35,7418,1098,0.18,0.03,0.00856,0.00639
20190113222842,http://web.archive.org/web/20190113222842/https://twitter.com/CoryBooker,4092441,2019-01-13 22:28:42,8925,1507,0.22,0.04,0.00862,0.00896
20190119192942,http://web.archive.org/web/20190119192942/https://twitter.com/CoryBooker,4096080,2019-01-19 19:29:42,12564,3639,0.31,0.09,0.00814,0.00717
20190123115705,http://web.archive.org/web/20190123115705/https://twitter.com/CoryBooker,4100482,2019-01-23 11:57:05,16966,4402,0.42,0.11,0.00912,0.01382
20190126112152,http://web.archive.org/web/20190126112152/https://twitter.com/CoryBooker,4102339,2019-01-26 11:21:52,18823,1857,0.46,0.05,0.00889,0.00722
20190128044237,http://web.archive.org/web/20190128044237/https://twitter.com/CoryBooker,4103437,2019-01-28 04:42:37,19921,1098,0.49,0.03,0.00879,0.00738
20190130005612,http://web.archive.org/web/20190130005612/https://twitter.com/CoryBooker,4103619,2019-01-30 00:56:12,20103,182,0.49,0.0,0.00828,0.00114
20190201113134,http://web.archive.org/web/20190201113134/https://twitter.com/CoryBooker,4104414,2019-02-01 11:31:34,20898,795,0.51,0.02,0.00792,0.00377
20190202115757,http://web.archive.org/web/20190202115757/https://twitter.com/corybooker,4141251,2019-02-02 11:57:57,57735,36837,1.41,0.9,0.02118,0.41868
