MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101023539,http://web.archive.org/web/20190101023539/https://twitter.com/ericswalwell,23866,2019-01-01 02:35:39,0,0,0,0,0,0
20190101142743,http://web.archive.org/web/20190101142743/https://twitter.com/ericswalwell,23873,2019-01-01 14:27:43,7,7,0.03,0.03,0.00016,0.00016
20190102022503,http://web.archive.org/web/20190102022503/https://twitter.com/ericswalwell,23883,2019-01-02 02:25:03,17,10,0.07,0.04,0.0002,0.00023
20190102144559,http://web.archive.org/web/20190102144559/https://twitter.com/ericswalwell,23884,2019-01-02 14:45:59,18,1,0.08,0.0,0.00014,2e-05
20190104015059,http://web.archive.org/web/20190104015059/https://twitter.com/ericswalwell,24017,2019-01-04 01:50:59,151,133,0.63,0.56,0.00059,0.00105
20190104133133,http://web.archive.org/web/20190104133133/https://twitter.com/ericswalwell,24057,2019-01-04 13:31:33,191,40,0.8,0.17,0.00064,0.00095
20190125214213,http://web.archive.org/web/20190125214213/https://twitter.com/ericswalwell,26458,2019-01-25 21:42:13,2592,2401,10.86,9.98,0.00121,0.0013
20190126222424,http://web.archive.org/web/20190126222424/https://twitter.com/ericswalwell,26579,2019-01-26 22:24:24,2713,121,11.37,0.46,0.00122,0.00136
20190127220317,http://web.archive.org/web/20190127220317/https://twitter.com/ericswalwell,26633,2019-01-27 22:03:17,2767,54,11.59,0.2,0.00119,0.00063
20190128220411,http://web.archive.org/web/20190128220411/https://twitter.com/ericswalwell,26767,2019-01-28 22:04:11,2901,134,12.16,0.5,0.00121,0.00155
20190129211741,http://web.archive.org/web/20190129211741/https://twitter.com/ericswalwell,26940,2019-01-29 21:17:41,3074,173,12.88,0.65,0.00124,0.00207
20190130220142,http://web.archive.org/web/20190130220142/https://twitter.com/ericswalwell,27021,2019-01-30 22:01:42,3155,81,13.22,0.3,0.00122,0.00091
20190131221908,http://web.archive.org/web/20190131221908/https://twitter.com/ericswalwell,27173,2019-01-31 22:19:08,3307,152,13.86,0.56,0.00124,0.00174
20190201213438,http://web.archive.org/web/20190201213438/https://twitter.com/ericswalwell,27300,2019-02-01 21:34:38,3434,127,14.39,0.47,0.00125,0.00152
