MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101023539,http://web.archive.org/web/20190101023539/https://twitter.com/ericswalwell,23866,2019-01-01 02:35:39,0,0,0,0,0,0
20190102144559,http://web.archive.org/web/20190102144559/https://twitter.com/ericswalwell,23884,2019-01-02 14:45:59,18,18,0.08,0.08,0.00014,0.00014
20190104015059,http://web.archive.org/web/20190104015059/https://twitter.com/ericswalwell,24017,2019-01-04 01:50:59,151,133,0.63,0.56,0.00059,0.00105
20190125214213,http://web.archive.org/web/20190125214213/https://twitter.com/ericswalwell,26458,2019-01-25 21:42:13,2592,2441,10.86,10.16,0.00121,0.00129
20190126222424,http://web.archive.org/web/20190126222424/https://twitter.com/ericswalwell,26579,2019-01-26 22:24:24,2713,121,11.37,0.46,0.00122,0.00136
20190128220411,http://web.archive.org/web/20190128220411/https://twitter.com/ericswalwell,26767,2019-01-28 22:04:11,2901,188,12.16,0.71,0.00121,0.0011
20190130220142,http://web.archive.org/web/20190130220142/https://twitter.com/ericswalwell,27021,2019-01-30 22:01:42,3155,254,13.22,0.95,0.00122,0.00147
20190131221908,http://web.archive.org/web/20190131221908/https://twitter.com/ericswalwell,27173,2019-01-31 22:19:08,3307,152,13.86,0.56,0.00124,0.00174
20190202213657,http://web.archive.org/web/20190202213657/https://twitter.com/ericswalwell,27768,2019-02-02 21:36:57,3902,595,16.35,2.19,0.00138,0.00349
20190204214028,http://web.archive.org/web/20190204214028/https://twitter.com/ericswalwell,27939,2019-02-04 21:40:28,4073,171,17.07,0.62,0.00135,0.00099
20190205220554,http://web.archive.org/web/20190205220554/https://twitter.com/ericswalwell,28107,2019-02-05 22:05:54,4241,168,17.77,0.6,0.00137,0.00191
20190207214731,http://web.archive.org/web/20190207214731/https://twitter.com/ericswalwell,28652,2019-02-07 21:47:31,4786,545,20.05,1.94,0.00147,0.00317
20190209213748,http://web.archive.org/web/20190209213748/https://twitter.com/ericswalwell,29077,2019-02-09 21:37:48,5211,425,21.83,1.48,0.00152,0.00247
20190210214317,http://web.archive.org/web/20190210214317/https://twitter.com/ericswalwell,29317,2019-02-10 21:43:17,5451,240,22.84,0.83,0.00155,0.00277
20190212221745,http://web.archive.org/web/20190212221745/https://twitter.com/ericswalwell,29653,2019-02-12 22:17:45,5787,336,24.25,1.15,0.00156,0.00192
20190214230506,http://web.archive.org/web/20190214230506/https://twitter.com/ericswalwell,30751,2019-02-14 23:05:06,6885,1098,28.85,3.7,0.00178,0.00625
20190216220525,http://web.archive.org/web/20190216220525/https://twitter.com/ericswalwell,31176,2019-02-16 22:05:25,7310,425,30.63,1.38,0.00181,0.00251
20190218231543,http://web.archive.org/web/20190218231543/https://twitter.com/ericswalwell,31370,2019-02-18 23:15:43,7504,194,31.44,0.62,0.00178,0.0011
