MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101041830,https://web.archive.org/web/20190101041830/https://twitter.com/ewarren,2156119,2019-01-01 04:18:30,0,0,0,0,0,0
20190103235320,https://web.archive.org/web/20190103235320/https://twitter.com/ewarren,2172769,2019-01-03 23:53:20,16650,16650,0.77,0.77,0.06844,0.06844
20190105025709,https://webarchive.loc.gov/all/20190105025709/https://twitter.com/ewarren,2178383,2019-01-05 02:57:09,22264,5614,1.03,0.26,0.06534,0.05762
20190106193606,https://web.archive.org/web/20190106193606/https://twitter.com/ewarren,2185675,2019-01-06 19:36:06,29556,7292,1.37,0.33,0.06068,0.04983
20190110213539,https://web.archive.org/web/20190110213539/https://twitter.com/ewarren,2193906,2019-01-10 21:35:39,37787,8231,1.75,0.38,0.04499,0.02333
20190113165407,https://web.archive.org/web/20190113165407/https://twitter.com/ewarren,2198727,2019-01-13 16:54:07,42608,4821,1.98,0.22,0.03937,0.0199
20190114191234,https://web.archive.org/web/20190114191234/https://twitter.com/ewarren,2201120,2019-01-14 19:12:34,45001,2393,2.09,0.11,0.03824,0.02527
20190116190233,https://web.archive.org/web/20190116190233/https://twitter.com/ewarren,2203067,2019-01-16 19:02:33,46948,1947,2.18,0.09,0.0348,0.01131
20190119005645,https://web.archive.org/web/20190119005645/https://twitter.com/ewarren,2206746,2019-01-19 00:56:45,50627,3679,2.35,0.17,0.03281,0.01896
20190121194552,https://web.archive.org/web/20190121194552/https://twitter.com/ewarren,2210313,2019-01-21 19:45:52,54194,3567,2.51,0.16,0.03038,0.01483
20190123151856,https://web.archive.org/web/20190123151856/https://twitter.com/ewarren,2212567,2019-01-23 15:18:56,56448,2254,2.62,0.1,0.02909,0.01438
20190125042800,https://web.archive.org/web/20190125042800/https://twitter.com/ewarren,2215006,2019-01-25 04:28:00,58887,2439,2.73,0.11,0.02839,0.01824
20190127060947,https://web.archive.org/web/20190127060947/https://twitter.com/ewarren,2219292,2019-01-27 06:09:47,63173,4286,2.93,0.19,0.02804,0.02396
20190130043441,https://web.archive.org/web/20190130043441/https://twitter.com/ewarren,2223083,2019-01-30 04:34:41,66964,3791,3.11,0.17,0.02672,0.01495
20190202093623,https://web.archive.org/web/20190202093623/https://twitter.com/ewarren,2226513,2019-02-02 09:36:23,70394,3430,3.26,0.15,0.02529,0.01237
20190204071433,https://web.archive.org/web/20190204071433/https://twitter.com/ewarren,2228216,2019-02-04 07:14:33,72097,1703,3.34,0.08,0.02445,0.01037
20190205075056,https://web.archive.org/web/20190205075056/https://twitter.com/ewarren,2228684,2019-02-05 07:50:56,72565,468,3.37,0.02,0.0239,0.00528
20190210164336,https://web.archive.org/web/20190210164336/https://twitter.com/ewarren,2237928,2019-02-10 16:43:36,81809,9244,3.79,0.41,0.02337,0.01992
20190211164914,https://web.archive.org/web/20190211164914/https://twitter.com/ewarren,2239965,2019-02-11 16:49:14,83846,2037,3.89,0.09,0.02337,0.02348
20190212180544,https://web.archive.org/web/20190212180544/https://twitter.com/ewarren,2241699,2019-02-12 18:05:44,85580,1734,3.97,0.08,0.02327,0.01906
20190214021956,https://web.archive.org/web/20190214021956/https://twitter.com/ewarren,2243773,2019-02-14 02:19:56,87654,2074,4.07,0.09,0.0231,0.01787
20190215215052,https://web.archive.org/web/20190215215052/http://twitter.com/ewarren,2246621,2019-02-15 21:50:52,90502,2848,4.2,0.13,0.02291,0.01818
20190216234546,https://webarchive.loc.gov/all/20190216234546/https://twitter.com/ewarren,2248254,2019-02-16 23:45:46,92135,1633,4.27,0.07,0.02278,0.0175
20190218102302,https://web.archive.org/web/20190218102302/https://twitter.com/ewarren,2249715,2019-02-18 10:23:02,93596,1461,4.34,0.06,0.02245,0.01172
20190219215236,https://webarchive.loc.gov/all/20190219215236/https://twitter.com/ewarren,2251381,2019-02-19 21:52:36,95262,1666,4.42,0.07,0.02217,0.01304
20190220225943,https://web.archive.org/web/20190220225943/https://twitter.com/ewarren,2253310,2019-02-20 22:59:43,97191,1929,4.51,0.09,0.02215,0.02133
20190223151003,https://web.archive.org/web/20190223151003/https://twitter.com/ewarren,2257342,2019-02-23 15:10:03,101223,4032,4.69,0.18,0.02192,0.01745
20190225060603,https://web.archive.org/web/20190225060603/https://twitter.com/ewarren,2258999,2019-02-25 06:06:03,102880,1657,4.77,0.07,0.02162,0.01182
20190226102206,https://web.archive.org/web/20190226102206/https://twitter.com/ewarren,2260093,2019-02-26 10:22:06,103974,1094,4.82,0.05,0.02139,0.01075
20190227225148,https://web.archive.org/web/20190227225148/https://twitter.com/ewarren,2262014,2019-02-27 22:51:48,105895,1921,4.91,0.08,0.02121,0.01462
20190228232606,https://web.archive.org/web/20190228232606/https://twitter.com/ewarren,2263312,2019-02-28 23:26:06,107193,1298,4.97,0.06,0.0211,0.01467
20190302102602,https://web.archive.org/web/20190302102602/https://twitter.com/ewarren,2264923,2019-03-02 10:26:02,108804,1611,5.05,0.07,0.0209,0.01279
20190303102609,https://web.archive.org/web/20190303102609/https://twitter.com/ewarren,2266093,2019-03-03 10:26:09,109974,1170,5.1,0.05,0.02078,0.01354
20190304111434,https://web.archive.org/web/20190304111434/https://twitter.com/ewarren,2267445,2019-03-04 11:14:34,111326,1352,5.16,0.06,0.02069,0.01514
20190305113317,https://web.archive.org/web/20190305113317/https://twitter.com/ewarren,2268449,2019-03-05 11:33:17,112330,1004,5.21,0.04,0.02054,0.01147
20190306114252,https://web.archive.org/web/20190306114252/https://twitter.com/ewarren,2269348,2019-03-06 11:42:52,113229,899,5.25,0.04,0.02038,0.01034
20190307223957,https://web.archive.org/web/20190307223957/https://twitter.com/ewarren,2270634,2019-03-07 22:39:57,114515,1286,5.31,0.06,0.02015,0.01022
20190308224041,https://web.archive.org/web/20190308224041/https://twitter.com/ewarren,2272200,2019-03-08 22:40:41,116081,1566,5.38,0.07,0.02012,0.01812
20190309224639,https://web.archive.org/web/20190309224639/https://twitter.com/ewarren,2273626,2019-03-09 22:46:39,117507,1426,5.45,0.06,0.02007,0.01644
20190310225021,https://web.archive.org/web/20190310225021/https://twitter.com/ewarren,2274934,2019-03-10 22:50:21,118815,1308,5.51,0.06,0.02001,0.01575
20190311230622,https://web.archive.org/web/20190311230622/https://twitter.com/ewarren,2276568,2019-03-11 23:06:22,120449,1634,5.59,0.07,0.01999,0.0187
20190312233419,https://web.archive.org/web/20190312233419/https://twitter.com/ewarren,2278471,2019-03-12 23:34:19,122352,1903,5.67,0.08,0.02001,0.02161
20190314140732,https://web.archive.org/web/20190314140732/https://twitter.com/ewarren,2280926,2019-03-14 14:07:32,124807,2455,5.79,0.11,0.01996,0.01769
20190315200041,https://web.archive.org/web/20190315200041/https://twitter.com/ewarren,2283947,2019-03-15 20:00:41,127828,3021,5.93,0.13,0.0201,0.02808
20190316201416,https://web.archive.org/web/20190316201416/https://twitter.com/ewarren,2286127,2019-03-16 20:14:16,130008,2180,6.03,0.1,0.02016,0.025
20190318021955,https://web.archive.org/web/20190318021955/https://twitter.com/ewarren,2289879,2019-03-18 02:19:55,133760,3752,6.2,0.16,0.0204,0.03463
20190319022336,https://web.archive.org/web/20190319022336/https://twitter.com/ewarren,2292275,2019-03-19 02:23:36,136156,2396,6.31,0.1,0.0205,0.02766
20190320065558,https://web.archive.org/web/20190320065558/https://twitter.com/ewarren,2298097,2019-03-20 06:55:58,141978,5822,6.58,0.25,0.02105,0.05667
20190321213558,https://web.archive.org/web/20190321213558/https://twitter.com/ewarren,2303210,2019-03-21 21:35:58,147091,5113,6.82,0.22,0.02137,0.03673
20190323001612,https://web.archive.org/web/20190323001612/https://twitter.com/ewarren,2306475,2019-03-23 00:16:12,150356,3265,6.97,0.14,0.02154,0.03401
20190324015728,https://web.archive.org/web/20190324015728/https://twitter.com/ewarren,2310408,2019-03-24 01:57:28,154289,3933,7.16,0.17,0.02181,0.04253
20190325030402,https://web.archive.org/web/20190325030402/https://twitter.com/ewarren,2313863,2019-03-25 03:04:02,157744,3455,7.32,0.15,0.02202,0.03822
