MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101234234,http://web.archive.org/web/20190101234234/https://twitter.com/GovernorBullock,165709,2019-01-01 23:42:34,0,0,0,0,0,0
20190201183055,http://web.archive.org/web/20190201183055/https://twitter.com/GovernorBullock,166137,2019-02-01 18:30:55,428,428,0.26,0.26,0.00016,0.00016
20190301131231,http://web.archive.org/web/20190301131231/https://twitter.com/GovernorBullock,166397,2019-03-01 13:12:31,688,260,0.42,0.16,0.00014,0.00011
20190308065451,http://web.archive.org/web/20190308065451/https://twitter.com/GovernorBullock,166493,2019-03-08 06:54:51,784,96,0.47,0.06,0.00014,0.00016
20190329005506,http://web.archive.org/web/20190329005506/https://twitter.com/governorbullock,166731,2019-03-29 00:55:06,1022,238,0.62,0.14,0.00014,0.00013
20190402000233,http://web.archive.org/web/20190402000233/https://twitter.com/GovernorBullock,166753,2019-04-02 00:02:33,1044,22,0.63,0.01,0.00013,6e-05
20190427203044,http://web.archive.org/web/20190427203044/https://twitter.com/GovernorBullock,166809,2019-04-27 20:30:44,1100,56,0.66,0.03,0.00011,3e-05
20190430071429,http://web.archive.org/web/20190430071429/http://twitter.com/GovernorBullock,166874,2019-04-30 07:14:29,1165,65,0.7,0.04,0.00011,0.00031
20190430071431,http://web.archive.org/web/20190430071431/https://twitter.com/GovernorBullock,166874,2019-04-30 07:14:31,1165,0,0.7,0.0,0.00011,0.0
20190430094651,http://web.archive.org/web/20190430094651/http://twitter.com/governorbullock,166874,2019-04-30 09:46:51,1165,0,0.7,0.0,0.00011,0.0
20190430094655,http://web.archive.org/web/20190430094655/https://twitter.com/governorbullock,166874,2019-04-30 09:46:55,1165,0,0.7,0.0,0.00011,0.0
20190502014426,http://web.archive.org/web/20190502014426/https://twitter.com/GovernorBullock,166798,2019-05-02 01:44:26,1089,-76,0.66,-0.05,0.0001,-0.00053
20190517092801,http://web.archive.org/web/20190517092801/https://twitter.com/GovernorBullock,171152,2019-05-17 09:28:01,5443,4354,3.28,2.61,0.00047,0.00329
20190522023339,http://web.archive.org/web/20190522023339/https://twitter.com/GovernorBullock,172241,2019-05-22 02:33:39,6532,1089,3.94,0.64,0.00054,0.00267
20190522023342,http://web.archive.org/web/20190522023342/https://twitter.com/GovernorBullock,172241,2019-05-22 02:33:42,6532,0,3.94,0.0,0.00054,0.0
20190525041255,http://web.archive.org/web/20190525041255/https://twitter.com/governorbullock,172468,2019-05-25 04:12:55,6759,227,4.08,0.13,0.00055,0.00086
20190529014411,http://web.archive.org/web/20190529014411/https://twitter.com/GovernorBullock,172923,2019-05-29 01:44:11,7214,455,4.35,0.26,0.00057,0.00135
20190529014415,http://web.archive.org/web/20190529014415/https://twitter.com/GovernorBullock,172923,2019-05-29 01:44:15,7214,0,4.35,0.0,0.00057,0.0
20190601203239,http://web.archive.org/web/20190601203239/https://twitter.com/GovernorBullock,173511,2019-06-01 20:32:39,7802,588,4.71,0.34,0.0006,0.0018
20190605051447,http://web.archive.org/web/20190605051447/https://twitter.com/GovernorBullock,173774,2019-06-05 05:14:47,8065,263,4.87,0.15,0.00061,0.00091
20190605051452,http://web.archive.org/web/20190605051452/https://twitter.com/GovernorBullock,173774,2019-06-05 05:14:52,8065,0,4.87,0.0,0.00061,0.0
20190612031232,http://web.archive.org/web/20190612031232/https://twitter.com/GovernorBullock,174386,2019-06-12 03:12:32,8677,612,5.24,0.35,0.00062,0.00102
20190612031236,http://web.archive.org/web/20190612031236/https://twitter.com/GovernorBullock,174386,2019-06-12 03:12:36,8677,0,5.24,0.0,0.00062,0.0
20190613145137,http://web.archive.org/web/20190613145137/https://twitter.com/GovernorBullock,174547,2019-06-13 14:51:37,8838,161,5.33,0.09,0.00063,0.00125
20190618110504,http://web.archive.org/web/20190618110504/https://twitter.com/GovernorBullock,174891,2019-06-18 11:05:04,9182,344,5.54,0.2,0.00063,0.00082
20190618203400,http://web.archive.org/web/20190618203400/https://twitter.com/GovernorBullock,175036,2019-06-18 20:34:00,9327,145,5.63,0.08,0.00064,0.00425
20190618203407,http://web.archive.org/web/20190618203407/https://twitter.com/GovernorBullock,175036,2019-06-18 20:34:07,9327,0,5.63,0.0,0.00064,0.0
20190624052906,http://web.archive.org/web/20190624052906/https://twitter.com/governorbullock,175476,2019-06-24 05:29:06,9767,440,5.89,0.25,0.00065,0.00095
20190626001033,http://web.archive.org/web/20190626001033/https://twitter.com/GovernorBullock,175570,2019-06-26 00:10:33,9861,94,5.95,0.05,0.00065,0.00061
20190626001056,http://web.archive.org/web/20190626001056/https://twitter.com/GovernorBullock,175570,2019-06-26 00:10:56,9861,0,5.95,0.0,0.00065,0.0
20190702183900,http://web.archive.org/web/20190702183900/https://twitter.com/GovernorBullock,176643,2019-07-02 18:39:00,10934,1073,6.6,0.61,0.0007,0.00183
20190702183910,http://web.archive.org/web/20190702183910/https://twitter.com/GovernorBullock,176643,2019-07-02 18:39:10,10934,0,6.6,0.0,0.0007,0.0
20190709181532,http://web.archive.org/web/20190709181532/https://twitter.com/GovernorBullock,177108,2019-07-09 18:15:32,11399,465,6.88,0.26,0.0007,0.00077
20190709181553,http://web.archive.org/web/20190709181553/https://twitter.com/GovernorBullock,177108,2019-07-09 18:15:53,11399,0,6.88,0.0,0.0007,0.0
20190716190310,http://web.archive.org/web/20190716190310/https://twitter.com/GovernorBullock,177434,2019-07-16 19:03:10,11725,326,7.08,0.18,0.00069,0.00054
20190716190322,http://web.archive.org/web/20190716190322/https://twitter.com/GovernorBullock,177434,2019-07-16 19:03:22,11725,0,7.08,0.0,0.00069,0.0
20190723190559,http://web.archive.org/web/20190723190559/https://twitter.com/GovernorBullock,178259,2019-07-23 19:05:59,12550,825,7.57,0.46,0.00072,0.00136
20190723190600,http://web.archive.org/web/20190723190600/https://twitter.com/GovernorBullock,178259,2019-07-23 19:06:00,12550,0,7.57,0.0,0.00072,0.0
20190723190604,http://web.archive.org/web/20190723190604/https://twitter.com/GovernorBullock,178259,2019-07-23 19:06:04,12550,0,7.57,0.0,0.00072,0.0
20190724122325,http://web.archive.org/web/20190724122325/https://twitter.com/GovernorBullock,178277,2019-07-24 12:23:25,12568,18,7.58,0.01,0.00071,0.00029
20190725183145,http://web.archive.org/web/20190725183145/https://twitter.com/GovernorBullock,178240,2019-07-25 18:31:45,12531,-37,7.56,-0.02,0.00071,-0.00034
20190730220831,http://web.archive.org/web/20190730220831/https://twitter.com/GovernorBullock,178760,2019-07-30 22:08:31,13051,520,7.88,0.29,0.00072,0.00117
20190730220835,http://web.archive.org/web/20190730220835/https://twitter.com/GovernorBullock,178760,2019-07-30 22:08:35,13051,0,7.88,0.0,0.00072,0.0
20190804092517,http://web.archive.org/web/20190804092517/https://twitter.com/GovernorBullock,182330,2019-08-04 09:25:17,16621,3570,10.03,2.0,0.0009,0.00924
20190806203136,http://web.archive.org/web/20190806203136/https://twitter.com/governorbullock,182806,2019-08-06 20:31:36,17097,476,10.32,0.26,0.00091,0.00224
20190806213655,http://web.archive.org/web/20190806213655/https://twitter.com/GovernorBullock,182812,2019-08-06 21:36:55,17103,6,10.32,0.0,0.00091,0.00153
20190806213703,http://web.archive.org/web/20190806213703/https://twitter.com/GovernorBullock,182812,2019-08-06 21:37:03,17103,0,10.32,0.0,0.00091,0.0
20190808000547,http://web.archive.org/web/20190808000547/https://twitter.com/GovernorBullock,182983,2019-08-08 00:05:47,17274,171,10.42,0.09,0.00092,0.00179
20190813185625,http://web.archive.org/web/20190813185625/https://twitter.com/GovernorBullock,183807,2019-08-13 18:56:25,18098,824,10.92,0.45,0.00094,0.00165
