MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101234234,http://web.archive.org/web/20190101234234/https://twitter.com/GovernorBullock,165709,2019-01-01 23:42:34,0,0,0,0,0,0
20190201183055,http://web.archive.org/web/20190201183055/https://twitter.com/GovernorBullock,166137,2019-02-01 18:30:55,428,428,0.26,0.26,0.00016,0.00016
20190301131231,http://web.archive.org/web/20190301131231/https://twitter.com/GovernorBullock,166397,2019-03-01 13:12:31,688,260,0.42,0.16,0.00014,0.00011
20190308065451,http://web.archive.org/web/20190308065451/https://twitter.com/GovernorBullock,166493,2019-03-08 06:54:51,784,96,0.47,0.06,0.00014,0.00016
20190329005506,http://web.archive.org/web/20190329005506/https://twitter.com/governorbullock,166731,2019-03-29 00:55:06,1022,238,0.62,0.14,0.00014,0.00013
20190402000233,http://web.archive.org/web/20190402000233/https://twitter.com/GovernorBullock,166753,2019-04-02 00:02:33,1044,22,0.63,0.01,0.00013,6e-05
20190427203044,http://web.archive.org/web/20190427203044/https://twitter.com/GovernorBullock,166809,2019-04-27 20:30:44,1100,56,0.66,0.03,0.00011,3e-05
20190430071429,http://web.archive.org/web/20190430071429/http://twitter.com/GovernorBullock,166874,2019-04-30 07:14:29,1165,65,0.7,0.04,0.00011,0.00031
20190502014426,http://web.archive.org/web/20190502014426/https://twitter.com/GovernorBullock,166798,2019-05-02 01:44:26,1089,-76,0.66,-0.05,0.0001,-0.0005
20190517092801,http://web.archive.org/web/20190517092801/https://twitter.com/GovernorBullock,171152,2019-05-17 09:28:01,5443,4354,3.28,2.61,0.00047,0.00329
20190522023339,http://web.archive.org/web/20190522023339/https://twitter.com/GovernorBullock,172241,2019-05-22 02:33:39,6532,1089,3.94,0.64,0.00054,0.00267
20190525041255,http://web.archive.org/web/20190525041255/https://twitter.com/governorbullock,172468,2019-05-25 04:12:55,6759,227,4.08,0.13,0.00055,0.00086
20190529014411,http://web.archive.org/web/20190529014411/https://twitter.com/GovernorBullock,172923,2019-05-29 01:44:11,7214,455,4.35,0.26,0.00057,0.00135
20190601203239,http://web.archive.org/web/20190601203239/https://twitter.com/GovernorBullock,173511,2019-06-01 20:32:39,7802,588,4.71,0.34,0.0006,0.0018
20190605051447,http://web.archive.org/web/20190605051447/https://twitter.com/GovernorBullock,173774,2019-06-05 05:14:47,8065,263,4.87,0.15,0.00061,0.00091
20190612031232,http://web.archive.org/web/20190612031232/https://twitter.com/GovernorBullock,174386,2019-06-12 03:12:32,8677,612,5.24,0.35,0.00062,0.00102
20190613145137,http://web.archive.org/web/20190613145137/https://twitter.com/GovernorBullock,174547,2019-06-13 14:51:37,8838,161,5.33,0.09,0.00063,0.00125
20190618110504,http://web.archive.org/web/20190618110504/https://twitter.com/GovernorBullock,174891,2019-06-18 11:05:04,9182,344,5.54,0.2,0.00063,0.00082
20190624052906,http://web.archive.org/web/20190624052906/https://twitter.com/governorbullock,175476,2019-06-24 05:29:06,9767,585,5.89,0.33,0.00065,0.00117
20190626001033,http://web.archive.org/web/20190626001033/https://twitter.com/GovernorBullock,175570,2019-06-26 00:10:33,9861,94,5.95,0.05,0.00065,0.00061
20190702183900,http://web.archive.org/web/20190702183900/https://twitter.com/GovernorBullock,176643,2019-07-02 18:39:00,10934,1073,6.6,0.61,0.0007,0.00183
20190709181532,http://web.archive.org/web/20190709181532/https://twitter.com/GovernorBullock,177108,2019-07-09 18:15:32,11399,465,6.88,0.26,0.0007,0.00077
20190716190310,http://web.archive.org/web/20190716190310/https://twitter.com/GovernorBullock,177434,2019-07-16 19:03:10,11725,326,7.08,0.18,0.00069,0.00054
20190723190559,http://web.archive.org/web/20190723190559/https://twitter.com/GovernorBullock,178259,2019-07-23 19:05:59,12550,825,7.57,0.46,0.00072,0.00136
20190725183145,http://web.archive.org/web/20190725183145/https://twitter.com/GovernorBullock,178240,2019-07-25 18:31:45,12531,-19,7.56,-0.01,0.00071,-0.00011
20190730220831,http://web.archive.org/web/20190730220831/https://twitter.com/GovernorBullock,178760,2019-07-30 22:08:31,13051,520,7.88,0.29,0.00072,0.00117
20190804092517,http://web.archive.org/web/20190804092517/https://twitter.com/GovernorBullock,182330,2019-08-04 09:25:17,16621,3570,10.03,2.0,0.0009,0.00924
20190806203136,http://web.archive.org/web/20190806203136/https://twitter.com/governorbullock,182806,2019-08-06 20:31:36,17097,476,10.32,0.26,0.00091,0.00224
20190808000547,http://web.archive.org/web/20190808000547/https://twitter.com/GovernorBullock,182983,2019-08-08 00:05:47,17274,177,10.42,0.1,0.00092,0.00178
20190813185625,http://web.archive.org/web/20190813185625/https://twitter.com/GovernorBullock,183807,2019-08-13 18:56:25,18098,824,10.92,0.45,0.00094,0.00165
20190820193806,http://web.archive.org/web/20190820193806/https://twitter.com/GovernorBullock,184448,2019-08-20 19:38:06,18739,641,11.31,0.35,0.00094,0.00106
20190826094539,http://web.archive.org/web/20190826094539/https://twitter.com/GovernorBullock,184835,2019-08-26 09:45:39,19126,387,11.54,0.21,0.00094,0.0008
20190827215128,https://web.archive.org/web/20190827215128/https://twitter.com/GovernorBullock,185024,2019-08-27 21:51:28,19315,189,11.66,0.1,0.00094,0.00145
20190903221311,https://web.archive.org/web/20190903221311/https://twitter.com/GovernorBullock,185182,2019-09-03 22:13:11,19473,158,11.75,0.09,0.00092,0.00026
20190905030935,https://web.archive.org/web/20190905030935/https://twitter.com/GovernorBullock,185220,2019-09-05 03:09:35,19511,38,11.77,0.02,0.00092,0.00036
20190910223147,https://web.archive.org/web/20190910223147/https://twitter.com/GovernorBullock,185460,2019-09-10 22:31:47,19751,240,11.92,0.13,0.00091,0.00048
20190917214727,https://web.archive.org/web/20190917214727/https://twitter.com/GovernorBullock,185702,2019-09-17 21:47:27,19993,242,12.07,0.13,0.00089,0.0004
20190924174420,https://web.archive.org/web/20190924174420/https://twitter.com/GovernorBullock,185870,2019-09-24 17:44:20,20161,168,12.17,0.09,0.00088,0.00028
20191001185349,https://web.archive.org/web/20191001185349/https://twitter.com/GovernorBullock,186126,2019-10-01 18:53:49,20417,256,12.32,0.14,0.00087,0.00042
20191008190927,https://web.archive.org/web/20191008190927/https://twitter.com/GovernorBullock,186301,2019-10-08 19:09:27,20592,175,12.43,0.09,0.00085,0.00029
20191015211154,https://web.archive.org/web/20191015211154/https://twitter.com/GovernorBullock,186555,2019-10-15 21:11:54,20846,254,12.58,0.14,0.00084,0.00041
20191022185409,https://web.archive.org/web/20191022185409/https://twitter.com/GovernorBullock,187231,2019-10-22 18:54:09,21522,676,12.99,0.36,0.00085,0.00113
20191029192210,https://web.archive.org/web/20191029192210/https://twitter.com/GovernorBullock,187605,2019-10-29 19:22:10,21896,374,13.21,0.2,0.00084,0.00062
20191030213819,https://web.archive.org/web/20191030213819/https://twitter.com/GovernorBullock,187660,2019-10-30 21:38:19,21951,55,13.25,0.03,0.00084,0.00058
20191105223940,https://web.archive.org/web/20191105223940/https://twitter.com/GovernorBullock,188051,2019-11-05 22:39:40,22342,391,13.48,0.21,0.00084,0.00074
20191108085536,https://web.archive.org/web/20191108085536/https://twitter.com/GovernorBullock,188254,2019-11-08 08:55:36,22545,203,13.61,0.11,0.00084,0.00097
20191112235838,https://web.archive.org/web/20191112235838/https://twitter.com/GovernorBullock,188574,2019-11-12 23:58:38,22865,320,13.8,0.17,0.00084,0.0008
20191114015623,https://web.archive.org/web/20191114015623/https://twitter.com/GovernorBullock,188564,2019-11-14 01:56:23,22855,-10,13.79,-0.01,0.00084,-0.00011
20191118202601,https://web.archive.org/web/20191118202601/https://www.twitter.com/GovernorBullock,188658,2019-11-18 20:26:01,22949,94,13.85,0.05,0.00083,0.00023
