MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190303092317,http://web.archive.org/web/20190303092317/https://twitter.com/hickenlooper,128636,2019-03-03 09:23:17,0,0,0,0,0,0
20190313003909,http://web.archive.org/web/20190313003909/https://twitter.com/hickenlooper/,135774,2019-03-13 00:39:09,7138,7138,5.55,5.55,0.00861,0.00861
20190313003914,http://web.archive.org/web/20190313003914/https://twitter.com/hickenlooper/,135774,2019-03-13 00:39:14,7138,0,5.55,0.0,0.00861,0.0
20190317122501,https://webarchive.loc.gov/all/20190317122501/https://twitter.com/hickenlooper,137151,2019-03-17 12:25:01,8515,1377,6.62,1.01,0.007,0.00355
20190319220353,http://web.archive.org/web/20190319220353/https://twitter.com/hickenlooper/,137888,2019-03-19 22:03:53,9252,737,7.19,0.54,0.0065,0.00355
20190319220409,http://web.archive.org/web/20190319220409/https://twitter.com/hickenlooper/,137888,2019-03-19 22:04:09,9252,0,7.19,0.0,0.0065,0.0
20190326202616,http://web.archive.org/web/20190326202616/https://twitter.com/hickenlooper/,139590,2019-03-26 20:26:16,10954,1702,8.52,1.23,0.00541,0.00284
20190326202624,http://web.archive.org/web/20190326202624/https://twitter.com/hickenlooper/,139590,2019-03-26 20:26:24,10954,0,8.52,0.0,0.00541,0.0
20190326212304,https://webarchive.loc.gov/all/20190326212304/https://twitter.com/hickenlooper,139598,2019-03-26 21:23:04,10962,8,8.52,0.01,0.00541,0.00235
20190328193537,http://web.archive.org/web/20190328193537/https://twitter.com/hickenlooper,139807,2019-03-28 19:35:37,11171,209,8.68,0.15,0.00509,0.00126
20190402160732,http://web.archive.org/web/20190402160732/https://twitter.com/hickenlooper/,140896,2019-04-02 16:07:32,12260,1089,9.53,0.78,0.00469,0.0026
20190402160737,http://web.archive.org/web/20190402160737/https://twitter.com/hickenlooper/,140896,2019-04-02 16:07:37,12260,0,9.53,0.0,0.00469,0.0
20190402202323,https://webarchive.loc.gov/all/20190402202323/https://twitter.com/hickenlooper,140920,2019-04-02 20:23:23,12284,24,9.55,0.02,0.00467,0.00156
20190409194323,http://web.archive.org/web/20190409194323/https://twitter.com/hickenlooper/,141428,2019-04-09 19:43:23,12792,508,9.94,0.36,0.00396,0.00084
