MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190303092317,http://web.archive.org/web/20190303092317/https://twitter.com/hickenlooper,128636,2019-03-03 09:23:17,0,0,0,0,0,0
20190313003909,http://web.archive.org/web/20190313003909/https://twitter.com/hickenlooper/,135774,2019-03-13 00:39:09,7138,7138,5.55,5.55,0.00861,0.00861
20190317122501,https://webarchive.loc.gov/all/20190317122501/https://twitter.com/hickenlooper,137151,2019-03-17 12:25:01,8515,1377,6.62,1.01,0.007,0.00355
20190319220353,http://web.archive.org/web/20190319220353/https://twitter.com/hickenlooper/,137888,2019-03-19 22:03:53,9252,737,7.19,0.54,0.0065,0.00355
20190326202616,http://web.archive.org/web/20190326202616/https://twitter.com/hickenlooper/,139590,2019-03-26 20:26:16,10954,1702,8.52,1.23,0.00541,0.00284
20190328193537,http://web.archive.org/web/20190328193537/https://twitter.com/hickenlooper,139807,2019-03-28 19:35:37,11171,217,8.68,0.16,0.00509,0.00128
20190402160732,http://web.archive.org/web/20190402160732/https://twitter.com/hickenlooper/,140896,2019-04-02 16:07:32,12260,1089,9.53,0.78,0.00469,0.0026
20190409194323,http://web.archive.org/web/20190409194323/https://twitter.com/hickenlooper/,141428,2019-04-09 19:43:23,12792,532,9.94,0.38,0.00396,0.00086
20190410214827,http://web.archive.org/web/20190410214827/https://twitter.com/Hickenlooper,141489,2019-04-10 21:48:27,12853,61,9.99,0.04,0.00387,0.00065
20190413222826,http://web.archive.org/web/20190413222826/https://twitter.com/Hickenlooper,141692,2019-04-13 22:28:26,13056,203,10.15,0.14,0.00364,0.00078
20190416181324,http://web.archive.org/web/20190416181324/https://twitter.com/hickenlooper/,141868,2019-04-16 18:13:24,13232,176,10.29,0.12,0.00346,0.00072
20190423184811,http://web.archive.org/web/20190423184811/https://twitter.com/hickenlooper/,142221,2019-04-23 18:48:11,13585,353,10.56,0.25,0.00306,0.00058
20190427224331,http://web.archive.org/web/20190427224331/https://twitter.com/Hickenlooper,142576,2019-04-27 22:43:31,13940,355,10.84,0.25,0.00291,0.00099
20190430065021,http://web.archive.org/web/20190430065021/http://twitter.com/Hickenlooper,142720,2019-04-30 06:50:21,14084,144,10.95,0.1,0.00282,0.00071
