MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190111235900,https://webarchive.loc.gov/all/20190111235900/https://twitter.com/joesestak,10041,2019-01-11 23:59:00,0,0,0,0,0,0
20190118184216,https://webarchive.loc.gov/all/20190118184216/https://twitter.com/joesestak,10041,2019-01-18 18:42:16,0,0,0.0,0.0,0.0,0.0
20190125203417,https://webarchive.loc.gov/all/20190125203417/https://twitter.com/joesestak,10038,2019-01-25 20:34:17,-3,-3,-0.03,-0.03,-0.0,-0.0
20190202012931,https://webarchive.loc.gov/all/20190202012931/https://twitter.com/joesestak,10034,2019-02-02 01:29:31,-7,-4,-0.07,-0.04,-0.0,-1e-05
20190210073140,https://webarchive.loc.gov/all/20190210073140/https://twitter.com/joesestak,10012,2019-02-10 07:31:40,-29,-22,-0.29,-0.22,-1e-05,-3e-05
20190217222348,https://webarchive.loc.gov/all/20190217222348/https://twitter.com/joesestak,10017,2019-02-17 22:23:48,-24,5,-0.24,0.05,-1e-05,1e-05
20190224160537,https://webarchive.loc.gov/all/20190224160537/https://twitter.com/joesestak,10016,2019-02-24 16:05:37,-25,-1,-0.25,-0.01,-1e-05,-0.0
20190302214841,https://webarchive.loc.gov/all/20190302214841/https://twitter.com/joesestak,10013,2019-03-02 21:48:41,-28,-3,-0.28,-0.03,-1e-05,-1e-05
20190310192304,https://webarchive.loc.gov/all/20190310192304/https://twitter.com/joesestak,10005,2019-03-10 19:23:04,-36,-8,-0.36,-0.08,-1e-05,-1e-05
20190316092048,https://webarchive.loc.gov/all/20190316092048/https://twitter.com/joesestak,10008,2019-03-16 09:20:48,-33,3,-0.33,0.03,-1e-05,1e-05
20190402005615,https://webarchive.loc.gov/all/20190402005615/https://twitter.com/joesestak,10008,2019-04-02 00:56:15,-33,0,-0.33,0.0,-0.0,0.0
20190625233920,http://web.archive.org/web/20190625233920/https://twitter.com/joesestak,10715,2019-06-25 23:39:20,674,707,6.71,7.06,5e-05,0.0001
20190702184602,http://web.archive.org/web/20190702184602/https://twitter.com/joesestak,11035,2019-07-02 18:46:02,994,320,9.9,2.99,7e-05,0.00054
20190709180758,http://web.archive.org/web/20190709180758/https://twitter.com/joesestak,11194,2019-07-09 18:07:58,1153,159,11.48,1.44,7e-05,0.00026
20190715213119,http://web.archive.org/web/20190715213119/https://twitter.com/joesestak,11324,2019-07-15 21:31:19,1283,130,12.78,1.16,8e-05,0.00025
20190723194904,http://web.archive.org/web/20190723194904/https://twitter.com/joesestak,11683,2019-07-23 19:49:04,1642,359,16.35,3.17,0.0001,0.00052
20190725171650,http://web.archive.org/web/20190725171650/https://twitter.com/JoeSestak,11713,2019-07-25 17:16:50,1672,30,16.65,0.26,0.0001,0.00018
20190730233155,http://web.archive.org/web/20190730233155/https://twitter.com/joesestak,11787,2019-07-30 23:31:55,1746,74,17.39,0.63,0.0001,0.00016
20190804191902,http://web.archive.org/web/20190804191902/http://twitter.com/joesestak,11900,2019-08-04 19:19:02,1859,113,18.51,0.96,0.00011,0.00027
20190806210156,http://web.archive.org/web/20190806210156/https://twitter.com/joesestak,11939,2019-08-06 21:01:56,1898,39,18.9,0.33,0.00011,0.00022
20190813185624,http://web.archive.org/web/20190813185624/https://twitter.com/joesestak,12165,2019-08-13 18:56:24,2124,226,21.15,1.89,0.00012,0.00038
20190818181933,http://web.archive.org/web/20190818181933/http://twitter.com/joesestak,12304,2019-08-18 18:19:33,2263,139,22.54,1.14,0.00012,0.00032
20190820171930,http://web.archive.org/web/20190820171930/https://twitter.com/joesestak,12343,2019-08-20 17:19:30,2302,39,22.93,0.32,0.00012,0.00023
