MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190305070348,https://web.archive.org/web/20190305070348/https://twitter.com/johndelaney,15156,2019-03-05 07:03:48,0,0,0,0,0,0
20190416231426,https://web.archive.org/web/20190416231426/https://www.twitter.com/johndelaney,19201,2019-04-16 23:14:26,4045,4045,26.69,26.69,0.0011,0.0011
20190416231511,https://web.archive.org/web/20190416231511/https://twitter.com/johndelaney,19201,2019-04-16 23:15:11,4045,0,26.69,0.0,0.0011,0.0
20190421150341,https://web.archive.org/web/20190421150341/https://twitter.com/johndelaney,19349,2019-04-21 15:03:41,4193,148,27.67,0.77,0.00103,0.00037
20190428134829,https://web.archive.org/web/20190428134829/https://twitter.com/JohnDelaney,19790,2019-04-28 13:48:29,4634,441,30.58,2.28,0.00099,0.00073
20190430064932,https://web.archive.org/web/20190430064932/http://twitter.com/JohnDelaney,19856,2019-04-30 06:49:32,4700,66,31.01,0.33,0.00097,0.00045
20190430064933,https://web.archive.org/web/20190430064933/https://twitter.com/JohnDelaney,19856,2019-04-30 06:49:33,4700,0,31.01,0.0,0.00097,0.0
20190508054550,https://web.archive.org/web/20190508054550/https://twitter.com/JohnDelaney,20104,2019-05-08 05:45:50,4948,248,32.65,1.25,0.0009,0.00036
20190521150559,https://web.archive.org/web/20190521150559/https://twitter.com/johndelaney,20666,2019-05-21 15:05:59,5510,562,36.36,2.8,0.00083,0.00049
20190524170504,https://web.archive.org/web/20190524170504/https://twitter.com/johndelaney,20797,2019-05-24 17:05:04,5641,131,37.22,0.63,0.00081,0.00049
20190525200856,https://web.archive.org/web/20190525200856/https://twitter.com/JohnDelaney,20822,2019-05-25 20:08:56,5666,25,37.38,0.12,0.0008,0.00026
20190528160437,https://web.archive.org/web/20190528160437/https://twitter.com/JohnDelaney,20859,2019-05-28 16:04:37,5703,37,37.63,0.18,0.00078,0.00015
20190617040146,https://web.archive.org/web/20190617040146/https://twitter.com/johndelaney,22113,2019-06-17 04:01:46,6957,1254,45.9,6.01,0.00078,0.00074
20190621145438,https://web.archive.org/web/20190621145438/https://twitter.com/johndelaney,22265,2019-06-21 14:54:38,7109,152,46.91,0.69,0.00076,0.0004
20190704211901,https://web.archive.org/web/20190704211901/https://twitter.com/johndelaney,26583,2019-07-04 21:19:01,11427,4318,75.4,19.39,0.00109,0.00377
20190721145859,https://web.archive.org/web/20190721145859/https://twitter.com/johndelaney,27482,2019-07-21 14:58:59,12326,899,81.33,3.38,0.00103,0.00062
20190724191600,https://web.archive.org/web/20190724191600/https://twitter.com/JohnDelaney,27583,2019-07-24 19:16:00,12427,101,81.99,0.37,0.00102,0.00037
20190805170427,https://web.archive.org/web/20190805170427/https://twitter.com/JohnDelaney,33672,2019-08-05 17:04:27,18516,6089,122.17,22.08,0.0014,0.00592
20190823151633,https://web.archive.org/web/20190823151633/https://www.twitter.com/JohnDelaney,35595,2019-08-23 15:16:33,20439,1923,134.86,5.71,0.00138,0.00124
20190823151720,https://web.archive.org/web/20190823151720/https://twitter.com/JohnDelaney,35595,2019-08-23 15:17:20,20439,0,134.86,0.0,0.00138,0.0
20190831050018,https://web.archive.org/web/20190831050018/https://www.twitter.com/johndelaney,35903,2019-08-31 05:00:18,20747,308,136.89,0.87,0.00134,0.00047
20190831050019,https://web.archive.org/web/20190831050019/https://twitter.com/johndelaney,35903,2019-08-31 05:00:19,20747,0,136.89,0.0,0.00134,0.0
20190831050031,https://web.archive.org/web/20190831050031/https://twitter.com/johndelaney,35903,2019-08-31 05:00:31,20747,0,136.89,0.0,0.00134,0.0
20190831050417,https://web.archive.org/web/20190831050417/https://twitter.com/johndelaney,35903,2019-08-31 05:04:17,20747,0,136.89,0.0,0.00134,0.0
20190831052713,https://web.archive.org/web/20190831052713/https://twitter.com/JohnDelaney,35902,2019-08-31 05:27:13,20746,-1,136.88,-0.0,0.00134,-0.00073
20191001225024,https://web.archive.org/web/20191001225024/https://twitter.com/johndelaney,36508,2019-10-01 22:50:24,21352,606,140.88,1.69,0.00117,0.00022
20191001225029,https://web.archive.org/web/20191001225029/https://www.twitter.com/johndelaney,36508,2019-10-01 22:50:29,21352,0,140.88,0.0,0.00117,0.0
20191001225030,https://web.archive.org/web/20191001225030/https://twitter.com/johndelaney,36508,2019-10-01 22:50:30,21352,0,140.88,0.0,0.00117,0.0
20191001230034,https://web.archive.org/web/20191001230034/https://twitter.com/johndelaney,36508,2019-10-01 23:00:34,21352,0,140.88,0.0,0.00117,0.0
20191001230035,https://web.archive.org/web/20191001230035/https://twitter.com/johndelaney,36508,2019-10-01 23:00:35,21352,0,140.88,0.0,0.00117,0.0
