MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190305070348,https://web.archive.org/web/20190305070348/https://twitter.com/johndelaney,15156,2019-03-05 07:03:48,0,0,0,0,0,0
20190416231426,https://web.archive.org/web/20190416231426/https://www.twitter.com/johndelaney,19201,2019-04-16 23:14:26,4045,4045,26.69,26.69,0.0011,0.0011
20190421150341,https://web.archive.org/web/20190421150341/https://twitter.com/johndelaney,19349,2019-04-21 15:03:41,4193,148,27.67,0.77,0.00103,0.00037
20190428134829,https://web.archive.org/web/20190428134829/https://twitter.com/JohnDelaney,19790,2019-04-28 13:48:29,4634,441,30.58,2.28,0.00099,0.00073
20190430064932,https://web.archive.org/web/20190430064932/http://twitter.com/JohnDelaney,19856,2019-04-30 06:49:32,4700,66,31.01,0.33,0.00097,0.00045
20190508054550,https://web.archive.org/web/20190508054550/https://twitter.com/JohnDelaney,20104,2019-05-08 05:45:50,4948,248,32.65,1.25,0.0009,0.00036
20190521150559,https://web.archive.org/web/20190521150559/https://twitter.com/johndelaney,20666,2019-05-21 15:05:59,5510,562,36.36,2.8,0.00083,0.00049
20190524170504,https://web.archive.org/web/20190524170504/https://twitter.com/johndelaney,20797,2019-05-24 17:05:04,5641,131,37.22,0.63,0.00081,0.00049
20190525200856,https://web.archive.org/web/20190525200856/https://twitter.com/JohnDelaney,20822,2019-05-25 20:08:56,5666,25,37.38,0.12,0.0008,0.00026
20190528160437,https://web.archive.org/web/20190528160437/https://twitter.com/JohnDelaney,20859,2019-05-28 16:04:37,5703,37,37.63,0.18,0.00078,0.00015
20190617040146,https://web.archive.org/web/20190617040146/https://twitter.com/johndelaney,22113,2019-06-17 04:01:46,6957,1254,45.9,6.01,0.00078,0.00074
20190621145438,https://web.archive.org/web/20190621145438/https://twitter.com/johndelaney,22265,2019-06-21 14:54:38,7109,152,46.91,0.69,0.00076,0.0004
20190704211901,https://web.archive.org/web/20190704211901/https://twitter.com/johndelaney,26583,2019-07-04 21:19:01,11427,4318,75.4,19.39,0.00109,0.00377
20190721145859,https://web.archive.org/web/20190721145859/https://twitter.com/johndelaney,27482,2019-07-21 14:58:59,12326,899,81.33,3.38,0.00103,0.00062
20190724191600,https://web.archive.org/web/20190724191600/https://twitter.com/JohnDelaney,27583,2019-07-24 19:16:00,12427,101,81.99,0.37,0.00102,0.00037
20190805170427,https://web.archive.org/web/20190805170427/https://twitter.com/JohnDelaney,33672,2019-08-05 17:04:27,18516,6089,122.17,22.08,0.0014,0.00592
20190823151633,https://web.archive.org/web/20190823151633/https://www.twitter.com/JohnDelaney,35595,2019-08-23 15:16:33,20439,1923,134.86,5.71,0.00138,0.00124
20190831050018,https://web.archive.org/web/20190831050018/https://www.twitter.com/johndelaney,35903,2019-08-31 05:00:18,20747,308,136.89,0.87,0.00134,0.00047
20191001225024,https://web.archive.org/web/20191001225024/https://twitter.com/johndelaney,36508,2019-10-01 22:50:24,21352,605,140.88,1.69,0.00117,0.00022
20191008184426,https://web.archive.org/web/20191008184426/https://twitter.com/johndelaney,36612,2019-10-08 18:44:26,21456,104,141.57,0.28,0.00114,0.00018
20191015211351,https://web.archive.org/web/20191015211351/https://twitter.com/johndelaney,36652,2019-10-15 21:13:51,21496,40,141.83,0.11,0.00111,7e-05
20191018060610,https://web.archive.org/web/20191018060610/https://twitter.com/JohnDelaney,36694,2019-10-18 06:06:10,21538,42,142.11,0.11,0.0011,0.00021
20191022183241,https://web.archive.org/web/20191022183241/https://twitter.com/johndelaney,36932,2019-10-22 18:32:41,21776,238,143.68,0.65,0.00109,0.00061
20191024122203,https://web.archive.org/web/20191024122203/https://twitter.com/johndelaney,36953,2019-10-24 12:22:03,21797,21,143.82,0.06,0.00108,0.00014
20191029225104,https://web.archive.org/web/20191029225104/https://twitter.com/johndelaney,37048,2019-10-29 22:51:04,21892,95,144.44,0.26,0.00106,0.0002
20191105234446,https://web.archive.org/web/20191105234446/https://twitter.com/johndelaney,37114,2019-11-05 23:44:46,21958,66,144.88,0.18,0.00103,0.00011
20191107034228,https://web.archive.org/web/20191107034228/https://twitter.com/johndelaney,37120,2019-11-07 03:42:28,21964,6,144.92,0.02,0.00103,6e-05
20191112212617,https://web.archive.org/web/20191112212617/https://twitter.com/johndelaney,37166,2019-11-12 21:26:17,22010,46,145.22,0.12,0.00101,9e-05
20191113212956,https://web.archive.org/web/20191113212956/https://twitter.com/johndelaney,37167,2019-11-13 21:29:56,22011,1,145.23,0.0,0.001,1e-05
20191115163002,https://web.archive.org/web/20191115163002/https://www.twitter.com/johndelaney,37149,2019-11-15 16:30:02,21993,-18,145.11,-0.05,0.001,-0.00012
