MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101030341,http://web.archive.org/web/20190101030341/https://twitter.com/JulianCastro,136161,2019-01-01 03:03:41,0,0,0,0,0,0
20190102034056,http://web.archive.org/web/20190102034056/https://twitter.com/JulianCastro,136275,2019-01-02 03:40:56,114,114,0.08,0.08,0.00129,0.00129
20190105044518,http://web.archive.org/web/20190105044518/https://twitter.com/JulianCastro,136932,2019-01-05 04:45:18,771,657,0.57,0.48,0.00219,0.0025
20190106030206,http://web.archive.org/web/20190106030206/https://twitter.com/JulianCastro,137054,2019-01-06 03:02:06,893,122,0.66,0.09,0.00207,0.00152
20190107025641,http://web.archive.org/web/20190107025641/https://twitter.com/JulianCastro,137383,2019-01-07 02:56:41,1222,329,0.9,0.24,0.00236,0.00382
20190108052754,http://web.archive.org/web/20190108052754/https://twitter.com/JulianCastro,137601,2019-01-08 05:27:54,1440,218,1.06,0.16,0.00235,0.00228
20190109022333,http://web.archive.org/web/20190109022333/https://twitter.com/JulianCastro,137711,2019-01-09 02:23:33,1550,110,1.14,0.08,0.00225,0.00146
20190110071804,http://web.archive.org/web/20190110071804/https://twitter.com/JulianCastro,137865,2019-01-10 07:18:04,1704,154,1.25,0.11,0.00215,0.00148
20190111024942,http://web.archive.org/web/20190111024942/https://twitter.com/JulianCastro,137916,2019-01-11 02:49:42,1755,51,1.29,0.04,0.00203,0.00073
20190112051534,http://web.archive.org/web/20190112051534/https://twitter.com/JulianCastro,138088,2019-01-12 05:15:34,1927,172,1.42,0.12,0.00201,0.00181
20190112203752,http://web.archive.org/web/20190112203752/https://twitter.com/JulianCastro,148563,2019-01-12 20:37:52,12402,10475,9.11,7.59,0.01223,0.18929
20190113020108,http://web.archive.org/web/20190113020108/https://twitter.com/JulianCastro,155499,2019-01-13 02:01:08,19338,6936,14.2,4.67,0.01872,0.3576
20190114044704,http://web.archive.org/web/20190114044704/https://twitter.com/juliancastro,162990,2019-01-14 04:47:04,26829,7491,19.7,4.82,0.02376,0.07774
20190114052748,http://web.archive.org/web/20190114052748/https://twitter.com/JulianCastro,163047,2019-01-14 05:27:48,26886,57,19.75,0.03,0.02375,0.02332
20190115024311,http://web.archive.org/web/20190115024311/https://twitter.com/JulianCastro,164531,2019-01-15 02:43:11,28370,1484,20.84,0.91,0.02348,0.01939
20190115050251,http://web.archive.org/web/20190115050251/https://twitter.com/juliancastro,164678,2019-01-15 05:02:51,28517,147,20.94,0.09,0.02344,0.01754
20190116081648,http://web.archive.org/web/20190116081648/https://twitter.com/juliancastro,165742,2019-01-16 08:16:48,29581,1064,21.73,0.65,0.0225,0.01085
20190116094306,http://web.archive.org/web/20190116094306/https://twitter.com/JulianCastro,165751,2019-01-16 09:43:06,29590,9,21.73,0.01,0.02242,0.00174
20190117085423,http://web.archive.org/web/20190117085423/https://twitter.com/JulianCastro,166263,2019-01-17 08:54:23,30102,512,22.11,0.31,0.02145,0.00613
20190118042640,http://web.archive.org/web/20190118042640/https://twitter.com/JulianCastro,166519,2019-01-18 04:26:40,30358,256,22.3,0.15,0.0206,0.00364
20190119034951,http://web.archive.org/web/20190119034951/https://twitter.com/JulianCastro,167944,2019-01-19 03:49:51,31783,1425,23.34,0.86,0.0204,0.01693
20190119051325,http://web.archive.org/web/20190119051325/https://twitter.com/juliancastro,167979,2019-01-19 05:13:25,31818,35,23.37,0.02,0.02036,0.00698
20190120040526,http://web.archive.org/web/20190120040526/https://twitter.com/JulianCastro,168497,2019-01-20 04:05:26,32336,518,23.75,0.31,0.01965,0.00629
20190120055634,http://web.archive.org/web/20190120055634/https://twitter.com/juliancastro,168512,2019-01-20 05:56:34,32351,15,23.76,0.01,0.01958,0.00225
20190121031500,http://web.archive.org/web/20190121031500/https://twitter.com/JulianCastro,168772,2019-01-21 03:15:00,32611,260,23.95,0.15,0.01886,0.00339
20190121085228,http://web.archive.org/web/20190121085228/https://twitter.com/juliancastro,168805,2019-01-21 08:52:28,32644,33,23.97,0.02,0.01867,0.00163
20190122032447,http://web.archive.org/web/20190122032447/https://twitter.com/JulianCastro,169531,2019-01-22 03:24:47,33370,726,24.51,0.43,0.01838,0.01088
20190122095855,http://web.archive.org/web/20190122095855/https://twitter.com/juliancastro,169648,2019-01-22 09:58:55,33487,117,24.59,0.07,0.01821,0.00495
20190123063256,http://web.archive.org/web/20190123063256/https://twitter.com/JulianCastro,170009,2019-01-23 06:32:56,33848,361,24.86,0.21,0.01769,0.00488
20190123090142,http://web.archive.org/web/20190123090142/https://twitter.com/juliancastro,170022,2019-01-23 09:01:42,33861,13,24.87,0.01,0.01762,0.00146
20190124051356,http://web.archive.org/web/20190124051356/https://twitter.com/JulianCastro,170294,2019-01-24 05:13:56,34133,272,25.07,0.16,0.01711,0.00374
20190124112601,http://web.archive.org/web/20190124112601/https://twitter.com/juliancastro,170328,2019-01-24 11:26:01,34167,34,25.09,0.02,0.01694,0.00152
20190125031648,http://web.archive.org/web/20190125031648/https://twitter.com/JulianCastro,170491,2019-01-25 03:16:48,34330,163,25.21,0.1,0.01655,0.00286
20190125123318,http://web.archive.org/web/20190125123318/https://twitter.com/juliancastro,170536,2019-01-25 12:33:18,34375,45,25.25,0.03,0.01631,0.00135
20190126045422,http://web.archive.org/web/20190126045422/https://twitter.com/JulianCastro,170731,2019-01-26 04:54:22,34570,195,25.39,0.11,0.01596,0.00331
20190127035206,http://web.archive.org/web/20190127035206/https://twitter.com/JulianCastro,170906,2019-01-27 03:52:06,34745,175,25.52,0.1,0.01545,0.00212
20190127084033,http://web.archive.org/web/20190127084033/https://twitter.com/JulianCastro,170926,2019-01-27 08:40:33,34765,20,25.53,0.01,0.01534,0.00116
20190127143225,http://web.archive.org/web/20190127143225/https://twitter.com/juliancastro,170957,2019-01-27 14:32:25,34796,31,25.56,0.02,0.01521,0.00147
20190128040242,http://web.archive.org/web/20190128040242/https://twitter.com/JulianCastro,171213,2019-01-28 04:02:42,35052,256,25.74,0.15,0.015,0.00527
20190128092335,https://webarchive.loc.gov/all/20190128092335/https://twitter.com/juliancastro,171258,2019-01-28 09:23:35,35097,45,25.78,0.03,0.0149,0.00234
20190128102240,http://web.archive.org/web/20190128102240/https://twitter.com/JulianCastro,171260,2019-01-28 10:22:40,35099,2,25.78,0.0,0.01488,0.00056
20190128154102,http://web.archive.org/web/20190128154102/https://twitter.com/juliancastro,171341,2019-01-28 15:41:02,35180,81,25.84,0.05,0.01479,0.00424
20190129052920,http://web.archive.org/web/20190129052920/https://twitter.com/JulianCastro,171588,2019-01-29 05:29:20,35427,247,26.02,0.14,0.01459,0.00497
20190130042511,http://web.archive.org/web/20190130042511/https://twitter.com/JulianCastro,171908,2019-01-30 04:25:11,35747,320,26.25,0.19,0.01424,0.00388
20190130095628,http://web.archive.org/web/20190130095628/http://twitter.com/JulianCastro,171944,2019-01-30 09:56:28,35783,36,26.28,0.02,0.01414,0.00181
20190130095702,http://web.archive.org/web/20190130095702/https://twitter.com/JulianCastro,171944,2019-01-30 09:57:02,35783,0,26.28,0.0,0.01414,0.0
20190130193119,http://web.archive.org/web/20190130193119/http://twitter.com/JulianCastro,172035,2019-01-30 19:31:19,35874,91,26.35,0.05,0.01399,0.00264
20190130193153,http://web.archive.org/web/20190130193153/https://twitter.com/JulianCastro,172035,2019-01-30 19:31:53,35874,0,26.35,0.0,0.01399,0.0
