MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101030341,http://web.archive.org/web/20190101030341/https://twitter.com/JulianCastro,136161,2019-01-01 03:03:41,0,0,0,0,0,0
20190102034056,http://web.archive.org/web/20190102034056/https://twitter.com/JulianCastro,136275,2019-01-02 03:40:56,114,114,0.08,0.08,0.00129,0.00129
20190105044518,http://web.archive.org/web/20190105044518/https://twitter.com/JulianCastro,136932,2019-01-05 04:45:18,771,657,0.57,0.48,0.00219,0.0025
20190107025641,http://web.archive.org/web/20190107025641/https://twitter.com/JulianCastro,137383,2019-01-07 02:56:41,1222,451,0.9,0.33,0.00236,0.00271
20190108052754,http://web.archive.org/web/20190108052754/https://twitter.com/JulianCastro,137601,2019-01-08 05:27:54,1440,218,1.06,0.16,0.00235,0.00228
20190110071804,http://web.archive.org/web/20190110071804/https://twitter.com/JulianCastro,137865,2019-01-10 07:18:04,1704,264,1.25,0.19,0.00215,0.00147
20190112051534,http://web.archive.org/web/20190112051534/https://twitter.com/JulianCastro,138088,2019-01-12 05:15:34,1927,223,1.42,0.16,0.00201,0.00135
20190114044704,http://web.archive.org/web/20190114044704/https://twitter.com/juliancastro,162990,2019-01-14 04:47:04,26829,24902,19.7,18.03,0.02376,0.14555
20190115050251,http://web.archive.org/web/20190115050251/https://twitter.com/juliancastro,164678,2019-01-15 05:02:51,28517,1688,20.94,1.04,0.02344,0.01933
20190116081648,http://web.archive.org/web/20190116081648/https://twitter.com/juliancastro,165742,2019-01-16 08:16:48,29581,1064,21.73,0.65,0.0225,0.01085
20190117085423,http://web.archive.org/web/20190117085423/https://twitter.com/JulianCastro,166263,2019-01-17 08:54:23,30102,521,22.11,0.31,0.02145,0.00588
20190119034951,http://web.archive.org/web/20190119034951/https://twitter.com/JulianCastro,167944,2019-01-19 03:49:51,31783,1681,23.34,1.01,0.0204,0.01088
20190120040526,http://web.archive.org/web/20190120040526/https://twitter.com/JulianCastro,168497,2019-01-20 04:05:26,32336,553,23.75,0.33,0.01965,0.00633
20190121085228,http://web.archive.org/web/20190121085228/https://twitter.com/juliancastro,168805,2019-01-21 08:52:28,32644,308,23.97,0.18,0.01867,0.00297
20190122095855,http://web.archive.org/web/20190122095855/https://twitter.com/juliancastro,169648,2019-01-22 09:58:55,33487,843,24.59,0.5,0.01821,0.00933
20190124051356,http://web.archive.org/web/20190124051356/https://twitter.com/JulianCastro,170294,2019-01-24 05:13:56,34133,646,25.07,0.38,0.01711,0.00415
20190125123318,http://web.archive.org/web/20190125123318/https://twitter.com/juliancastro,170536,2019-01-25 12:33:18,34375,242,25.25,0.14,0.01631,0.00215
20190127035206,http://web.archive.org/web/20190127035206/https://twitter.com/JulianCastro,170906,2019-01-27 03:52:06,34745,370,25.52,0.22,0.01545,0.00261
20190128040242,http://web.archive.org/web/20190128040242/https://twitter.com/JulianCastro,171213,2019-01-28 04:02:42,35052,307,25.74,0.18,0.015,0.00353
20190129052920,http://web.archive.org/web/20190129052920/https://twitter.com/JulianCastro,171588,2019-01-29 05:29:20,35427,375,26.02,0.22,0.01459,0.00409
20190130095628,http://web.archive.org/web/20190130095628/http://twitter.com/JulianCastro,171944,2019-01-30 09:56:28,35783,356,26.28,0.21,0.01414,0.00348
20190131193036,http://web.archive.org/web/20190131193036/http://twitter.com/JulianCastro,172170,2019-01-31 19:30:36,36009,226,26.45,0.13,0.01358,0.00187
20190202050339,http://web.archive.org/web/20190202050339/https://twitter.com/JulianCastro,173533,2019-02-02 05:03:39,37372,1363,27.45,0.79,0.01348,0.01128
20190204025249,http://web.archive.org/web/20190204025249/https://twitter.com/JulianCastro,174480,2019-02-04 02:52:49,38319,947,28.14,0.55,0.01305,0.00574
20190205040519,http://web.archive.org/web/20190205040519/https://twitter.com/JulianCastro,174725,2019-02-05 04:05:19,38564,245,28.32,0.14,0.01274,0.0027
20190206192113,http://web.archive.org/web/20190206192113/https://twitter.com/JulianCastro,175392,2019-02-06 19:21:13,39231,667,28.81,0.38,0.01238,0.00472
20190208053743,http://web.archive.org/web/20190208053743/https://twitter.com/JulianCastro,175713,2019-02-08 05:37:43,39552,321,29.05,0.18,0.01201,0.0026
20190210045242,http://web.archive.org/web/20190210045242/https://twitter.com/JulianCastro,176164,2019-02-10 04:52:42,40003,451,29.38,0.26,0.01155,0.00265
20190212030648,http://web.archive.org/web/20190212030648/https://twitter.com/JulianCastro,176745,2019-02-12 03:06:48,40584,581,29.81,0.33,0.01118,0.00349
20190213033749,http://web.archive.org/web/20190213033749/https://twitter.com/JulianCastro,177097,2019-02-13 03:37:49,40936,352,30.06,0.2,0.01101,0.00399
20190214040549,http://web.archive.org/web/20190214040549/https://twitter.com/JulianCastro,177289,2019-02-14 04:05:49,41128,192,30.21,0.11,0.01081,0.00218
20190215053046,http://web.archive.org/web/20190215053046/https://twitter.com/JulianCastro,177641,2019-02-15 05:30:46,41480,352,30.46,0.2,0.01064,0.00385
20190217032721,http://web.archive.org/web/20190217032721/https://twitter.com/JulianCastro,178434,2019-02-17 03:27:21,42273,793,31.05,0.45,0.01041,0.00479
20190218033337,http://web.archive.org/web/20190218033337/https://twitter.com/JulianCastro,178699,2019-02-18 03:33:37,42538,265,31.24,0.15,0.01025,0.00305
20190219052933,http://web.archive.org/web/20190219052933/https://twitter.com/JulianCastro,178958,2019-02-19 05:29:33,42797,259,31.43,0.14,0.01009,0.00277
20190221042021,http://web.archive.org/web/20190221042021/https://twitter.com/JulianCastro,179614,2019-02-21 04:20:21,43453,656,31.91,0.37,0.00985,0.00389
20190222101941,http://web.archive.org/web/20190222101941/https://twitter.com/JulianCastro,179870,2019-02-22 10:19:41,43709,256,32.1,0.14,0.00967,0.00237
20190224050756,http://web.archive.org/web/20190224050756/https://twitter.com/JulianCastro,180313,2019-02-24 05:07:56,44152,443,32.43,0.25,0.00945,0.00287
20190226053656,http://web.archive.org/web/20190226053656/https://twitter.com/JulianCastro,180757,2019-02-26 05:36:56,44596,444,32.75,0.25,0.0092,0.00254
20190228050150,http://web.archive.org/web/20190228050150/https://twitter.com/JulianCastro,181206,2019-02-28 05:01:50,45045,449,33.08,0.25,0.00898,0.00263
20190301051650,http://web.archive.org/web/20190301051650/https://twitter.com/JulianCastro,181389,2019-03-01 05:16:50,45228,183,33.22,0.1,0.00886,0.0021
20190303064053,http://web.archive.org/web/20190303064053/https://twitter.com/JulianCastro,181758,2019-03-03 06:40:53,45597,369,33.49,0.2,0.00863,0.00207
20190305042651,http://web.archive.org/web/20190305042651/https://twitter.com/JulianCastro,182148,2019-03-05 04:26:51,45987,390,33.77,0.21,0.00844,0.00237
20190307093744,http://web.archive.org/web/20190307093744/https://twitter.com/JulianCastro,182416,2019-03-07 09:37:44,46255,268,33.97,0.15,0.0082,0.0014
20190309031525,http://web.archive.org/web/20190309031525/https://twitter.com/JulianCastro,182605,2019-03-09 03:15:25,46444,189,34.11,0.1,0.00802,0.00126
20190310041315,http://web.archive.org/web/20190310041315/https://twitter.com/JulianCastro,182721,2019-03-10 04:13:15,46560,116,34.19,0.06,0.00792,0.00134
20190312053731,http://web.archive.org/web/20190312053731/https://twitter.com/JulianCastro,185446,2019-03-12 05:37:31,49285,2725,36.2,1.49,0.00814,0.01532
20190313055355,http://web.archive.org/web/20190313055355/https://twitter.com/JulianCastro,185768,2019-03-13 05:53:55,49607,322,36.43,0.17,0.00808,0.00368
