MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101030857,http://web.archive.org/web/20190101030857/https://twitter.com/KamalaHarris,1988958,2019-01-01 03:08:57,0,0,0,0,0,0
20190102034506,http://web.archive.org/web/20190102034506/https://twitter.com/KamalaHarris,1991355,2019-01-02 03:45:06,2397,2397,0.12,0.12,0.02706,0.02706
20190104032556,http://web.archive.org/web/20190104032556/https://twitter.com/KamalaHarris,1997957,2019-01-04 03:25:56,8999,6602,0.45,0.33,0.03458,0.03846
20190105045018,http://web.archive.org/web/20190105045018/https://twitter.com/KamalaHarris,2003589,2019-01-05 04:50:18,14631,5632,0.74,0.28,0.0416,0.06158
20190106215537,http://web.archive.org/web/20190106215537/https://twitter.com/KamalaHarris,2010458,2019-01-06 21:55:37,21500,6869,1.08,0.34,0.04303,0.04644
20190108053112,http://web.archive.org/web/20190108053112/https://twitter.com/KamalaHarris,2013989,2019-01-08 05:31:12,25031,3531,1.26,0.18,0.04081,0.03105
20190109083754,http://web.archive.org/web/20190109083754/https://twitter.com/KamalaHarris,2019102,2019-01-09 08:37:54,30144,5113,1.52,0.25,0.0424,0.05239
20190110220453,http://web.archive.org/web/20190110220453/https://twitter.com/KamalaHarris,2025777,2019-01-10 22:04:53,36819,6675,1.85,0.33,0.04353,0.04951
20190111230555,http://web.archive.org/web/20190111230555/https://twitter.com/KamalaHarris,2031602,2019-01-11 23:05:55,42644,5825,2.14,0.29,0.04557,0.06468
20190113003925,https://www.webarchive.org.uk/wayback/archive/20190113003925mp_/https://twitter.com/kamalaharris,2036700,2019-01-13 00:39:25,47742,5098,2.4,0.25,0.04645,0.05541
20190114040305,http://web.archive.org/web/20190114040305/https://twitter.com/kamalaharris,2041364,2019-01-14 04:03:05,52406,4664,2.63,0.23,0.04652,0.04729
20190115054002,http://web.archive.org/web/20190115054002/https://twitter.com/kamalaharris,2044023,2019-01-15 05:40:02,55065,2659,2.77,0.13,0.04518,0.02883
20190116080751,http://web.archive.org/web/20190116080751/https://twitter.com/kamalaharris,2048552,2019-01-16 08:07:51,59594,4529,3.0,0.22,0.04536,0.04754
20190117085946,http://web.archive.org/web/20190117085946/https://twitter.com/KamalaHarris,2051970,2019-01-17 08:59:46,63012,3418,3.17,0.17,0.0449,0.03818
20190118224246,http://web.archive.org/web/20190118224246/https://twitter.com/KamalaHarris,2057266,2019-01-18 22:42:46,68308,5296,3.43,0.26,0.04438,0.039
20190120041151,http://web.archive.org/web/20190120041151/https://twitter.com/KamalaHarris,2060658,2019-01-20 04:11:51,71700,3392,3.6,0.16,0.04358,0.03196
20190121152940,http://web.archive.org/web/20190121152940/https://twitter.com/kamalaharris,2079160,2019-01-21 15:29:40,90202,18502,4.54,0.9,0.05089,0.14561
20190122204021,http://web.archive.org/web/20190122204021/https://twitter.com/KamalaHarris,2144422,2019-01-22 20:40:21,155464,65262,7.82,3.14,0.0828,0.6213
20190123204344,http://web.archive.org/web/20190123204344/https://twitter.com/KamalaHarris,2157501,2019-01-23 20:43:44,168543,13079,8.47,0.61,0.08581,0.15102
20190124222305,http://web.archive.org/web/20190124222305/https://twitter.com/KamalaHarris,2168014,2019-01-24 22:23:05,179056,10513,9.0,0.49,0.08707,0.11383
20190126033151,http://web.archive.org/web/20190126033151/https://twitter.com/KamalaHarris,2175911,2019-01-26 03:31:51,186953,7897,9.4,0.36,0.0865,0.07526
20190127035547,http://web.archive.org/web/20190127035547/https://twitter.com/KamalaHarris,2182098,2019-01-27 03:55:47,193140,6187,9.71,0.28,0.08587,0.07044
20190128040812,http://web.archive.org/web/20190128040812/https://twitter.com/KamalaHarris,2197653,2019-01-28 04:08:12,208695,15555,10.49,0.71,0.08933,0.1785
20190129053451,http://web.archive.org/web/20190129053451/https://twitter.com/KamalaHarris,2219351,2019-01-29 05:34:51,230393,21698,11.58,0.99,0.09489,0.23688
20190130053803,http://web.archive.org/web/20190130053803/https://twitter.com/KamalaHarris,2237407,2019-01-30 05:38:03,248449,18056,12.49,0.81,0.0988,0.20852
20190131110041,http://web.archive.org/web/20190131110041/https://twitter.com/KamalaHarris,2247310,2019-01-31 11:00:41,258352,9903,12.99,0.44,0.0986,0.09364
20190201175716,http://web.archive.org/web/20190201175716/https://twitter.com/kamalaharris,2255764,2019-02-01 17:57:16,266806,8454,13.41,0.38,0.09767,0.07589
20190202191750,http://web.archive.org/web/20190202191750/https://twitter.com/KamalaHarris,2264048,2019-02-02 19:17:50,275090,8284,13.83,0.37,0.09745,0.0908
20190203195138,http://web.archive.org/web/20190203195138/https://twitter.com/KamalaHarris,2268673,2019-02-03 19:51:38,279715,4625,14.06,0.2,0.09608,0.0523
20190204213349,http://web.archive.org/web/20190204213349/https://twitter.com/KamalaHarris,2272496,2019-02-04 21:33:49,283538,3823,14.26,0.17,0.09439,0.04132
20190205215823,http://web.archive.org/web/20190205215823/https://twitter.com/KamalaHarris,2275666,2019-02-05 21:58:23,286708,3170,14.41,0.14,0.09273,0.03607
20190207024244,http://web.archive.org/web/20190207024244/https://twitter.com/KamalaHarris,2293591,2019-02-07 02:42:44,304633,17925,15.32,0.79,0.09534,0.17325
20190208024634,http://web.archive.org/web/20190208024634/https://twitter.com/KamalaHarris,2301891,2019-02-08 02:46:34,312933,8300,15.73,0.36,0.09535,0.09581
20190209024740,http://web.archive.org/web/20190209024740/https://twitter.com/KamalaHarris,2307927,2019-02-09 02:47:40,318969,6036,16.04,0.26,0.0947,0.06981
20190210045544,http://web.archive.org/web/20190210045544/https://twitter.com/KamalaHarris,2314582,2019-02-10 04:55:44,325624,6655,16.37,0.29,0.09405,0.07073
20190211065746,http://web.archive.org/web/20190211065746/https://twitter.com/KamalaHarris,2321816,2019-02-11 06:57:46,332858,7234,16.74,0.31,0.0936,0.07719
20190212081222,http://web.archive.org/web/20190212081222/https://twitter.com/KamalaHarris,2328500,2019-02-12 08:12:22,339542,6684,17.07,0.29,0.0931,0.07355
20190213142511,http://web.archive.org/web/20190213142511/https://twitter.com/KamalaHarris,2336343,2019-02-13 14:25:11,347385,7843,17.47,0.34,0.09249,0.07211
20190214142705,http://web.archive.org/web/20190214142705/https://twitter.com/KamalaHarris,2341945,2019-02-14 14:27:05,352987,5602,17.75,0.24,0.09187,0.06475
20190215205653,http://web.archive.org/web/20190215205653/https://twitter.com/KamalaHarris,2349170,2019-02-15 20:56:53,360212,7225,18.11,0.31,0.09115,0.06581
20190216214801,http://web.archive.org/web/20190216214801/https://twitter.com/KamalaHarris,2355264,2019-02-16 21:48:01,366306,6094,18.42,0.26,0.09064,0.06811
