MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190111112705,https://webarchive.loc.gov/all/20190111112705/https://twitter.com/michaelbennet,8461,2019-01-11 11:27:05,0,0,0,0,0,0
20190515093706,http://web.archive.org/web/20190515093706/https://twitter.com/MichaelBennet,21126,2019-05-15 09:37:06,12665,12665,149.69,149.69,0.00118,0.00118
20190518071024,http://web.archive.org/web/20190518071024/https://twitter.com/MichaelBennet,21210,2019-05-18 07:10:24,12749,84,150.68,0.4,0.00116,0.00034
20190519060602,http://web.archive.org/web/20190519060602/https://twitter.com/MichaelBennet,21272,2019-05-19 06:06:02,12811,62,151.41,0.29,0.00116,0.00075
20190524165229,http://web.archive.org/web/20190524165229/https://twitter.com/MichaelBennet,21460,2019-05-24 16:52:29,12999,188,153.63,0.88,0.00113,0.0004
20190528133302,http://web.archive.org/web/20190528133302/https://twitter.com/MichaelBennet,21563,2019-05-28 13:33:02,13102,103,154.85,0.48,0.00111,0.00031
20190528142425,http://web.archive.org/web/20190528142425/https://twitter.com/MichaelBennet,21563,2019-05-28 14:24:25,13102,0,154.85,0.0,0.00111,0.0
20190615043027,http://web.archive.org/web/20190615043027/https://twitter.com/MichaelBennet,22903,2019-06-15 04:30:27,14442,1340,170.69,6.21,0.00108,0.00088
20190615043724,http://web.archive.org/web/20190615043724/https://twitter.com/michaelbennet,22903,2019-06-15 04:37:24,14442,0,170.69,0.0,0.00108,0.0
20190615050548,http://web.archive.org/web/20190615050548/https://twitter.com/MichaelBennet,22902,2019-06-15 05:05:48,14441,-1,170.68,-0.0,0.00108,-0.00059
20190616001005,http://web.archive.org/web/20190616001005/https://twitter.com/MichaelBennet,22927,2019-06-16 00:10:05,14466,25,170.97,0.11,0.00108,0.00036
20190616054020,http://web.archive.org/web/20190616054020/https://twitter.com/MichaelBennet,22935,2019-06-16 05:40:20,14474,8,171.07,0.03,0.00108,0.0004
20190618163217,http://web.archive.org/web/20190618163217/https://twitter.com/michaelbennet,22971,2019-06-18 16:32:17,14510,36,171.49,0.16,0.00106,0.00017
20190715213117,http://web.archive.org/web/20190715213117/https://twitter.com/michaelbennet,26276,2019-07-15 21:31:17,17815,3305,210.55,14.39,0.00111,0.00141
20190723030042,http://web.archive.org/web/20190723030042/https://twitter.com/MichaelBennet,26627,2019-07-23 03:00:42,18166,351,214.7,1.34,0.00109,0.00056
20190723044440,http://web.archive.org/web/20190723044440/https://twitter.com/michaelbennet,26629,2019-07-23 04:44:40,18168,2,214.73,0.01,0.00109,0.00032
20190726130015,http://web.archive.org/web/20190726130015/https://twitter.com/michaelbennet,26710,2019-07-26 13:00:15,18249,81,215.68,0.3,0.00108,0.00028
