MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101184831,https://web.archive.org/web/20190101184831/https://twitter.com/MikeBloomberg,2282170,2019-01-01 18:48:31,0,0,0,0,0,0
20190111204145,https://web.archive.org/web/20190111204145/https://twitter.com/mikebloomberg,2284412,2019-01-11 20:41:45,2242,2242,0.1,0.1,0.00257,0.00257
20190115131229,https://web.archive.org/web/20190115131229/https://twitter.com/MikeBloomberg,2284405,2019-01-15 13:12:29,2235,-7,0.1,-0.0,0.00188,-2e-05
20190115232824,https://web.archive.org/web/20190115232824/https://twitter.com/MikeBloomberg,2284424,2019-01-15 23:28:24,2254,19,0.1,0.0,0.00184,0.00051
20190118012408,https://web.archive.org/web/20190118012408/https://twitter.com/MikeBloomberg,2284738,2019-01-18 01:24:08,2568,314,0.11,0.01,0.00183,0.00175
20190202123336,https://web.archive.org/web/20190202123336/https://twitter.com/MikeBloomberg,2286174,2019-02-02 12:33:36,4004,1436,0.18,0.06,0.00146,0.00107
20190205112409,https://web.archive.org/web/20190205112409/https://twitter.com/MikeBloomberg,2286599,2019-02-05 11:24:09,4429,425,0.19,0.02,0.00148,0.00167
20190209014031,https://web.archive.org/web/20190209014031/https://twitter.com/mikebloomberg,2286367,2019-02-09 01:40:31,4197,-232,0.18,-0.01,0.00127,-0.00075
20190210020729,https://web.archive.org/web/20190210020729/https://twitter.com/mikebloomberg,2286864,2019-02-10 02:07:29,4694,497,0.21,0.02,0.00138,0.00565
20190211031412,https://web.archive.org/web/20190211031412/https://twitter.com/mikebloomberg,2287315,2019-02-11 03:14:12,5145,451,0.23,0.02,0.00148,0.00499
20190212060813,https://web.archive.org/web/20190212060813/https://twitter.com/mikebloomberg,2287596,2019-02-12 06:08:13,5426,281,0.24,0.01,0.00151,0.0029
20190213054915,https://web.archive.org/web/20190213054915/https://twitter.com/mikebloomberg,2287855,2019-02-13 05:49:15,5685,259,0.25,0.01,0.00155,0.00304
20190214071236,https://web.archive.org/web/20190214071236/https://twitter.com/mikebloomberg,2288271,2019-02-14 07:12:36,6101,416,0.27,0.02,0.00162,0.00455
20190215063235,https://web.archive.org/web/20190215063235/https://twitter.com/mikebloomberg,2288643,2019-02-15 06:32:35,6473,372,0.28,0.02,0.00168,0.00443
20190216042550,https://web.archive.org/web/20190216042550/https://twitter.com/mikebloomberg,2288910,2019-02-16 04:25:50,6740,267,0.3,0.01,0.00172,0.00339
20190217060210,https://web.archive.org/web/20190217060210/https://twitter.com/mikebloomberg,2289270,2019-02-17 06:02:10,7100,360,0.31,0.02,0.00177,0.00391
20190218055138,https://web.archive.org/web/20190218055138/https://twitter.com/mikebloomberg,2289548,2019-02-18 05:51:38,7378,278,0.32,0.01,0.0018,0.00324
20190219075332,https://web.archive.org/web/20190219075332/https://twitter.com/mikebloomberg,2289764,2019-02-19 07:53:32,7594,216,0.33,0.01,0.00181,0.0023
20190220091034,https://web.archive.org/web/20190220091034/https://twitter.com/mikebloomberg,2290240,2019-02-20 09:10:34,8070,476,0.35,0.02,0.00188,0.00523
20190221110748,https://web.archive.org/web/20190221110748/https://twitter.com/mikebloomberg,2290672,2019-02-21 11:07:48,8502,432,0.37,0.02,0.00194,0.00462
