MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101184831,https://web.archive.org/web/20190101184831/https://twitter.com/MikeBloomberg,2282170,2019-01-01 18:48:31,0,0,0,0,0,0
20190111204145,https://web.archive.org/web/20190111204145/https://twitter.com/mikebloomberg,2284412,2019-01-11 20:41:45,2242,2242,0.1,0.1,0.00257,0.00257
20190115131229,https://web.archive.org/web/20190115131229/https://twitter.com/MikeBloomberg,2284405,2019-01-15 13:12:29,2235,-7,0.1,-0.0,0.00188,-2e-05
20190118012408,https://web.archive.org/web/20190118012408/https://twitter.com/MikeBloomberg,2284738,2019-01-18 01:24:08,2568,333,0.11,0.01,0.00183,0.00154
20190202123336,https://web.archive.org/web/20190202123336/https://twitter.com/MikeBloomberg,2286174,2019-02-02 12:33:36,4004,1436,0.18,0.06,0.00146,0.00107
20190205112409,https://web.archive.org/web/20190205112409/https://twitter.com/MikeBloomberg,2286599,2019-02-05 11:24:09,4429,425,0.19,0.02,0.00148,0.00167
20190209014031,https://web.archive.org/web/20190209014031/https://twitter.com/mikebloomberg,2286367,2019-02-09 01:40:31,4197,-232,0.18,-0.01,0.00127,-0.00075
20190210020729,https://web.archive.org/web/20190210020729/https://twitter.com/mikebloomberg,2286864,2019-02-10 02:07:29,4694,497,0.21,0.02,0.00138,0.00565
20190211031412,https://web.archive.org/web/20190211031412/https://twitter.com/mikebloomberg,2287315,2019-02-11 03:14:12,5145,451,0.23,0.02,0.00148,0.00499
20190212060813,https://web.archive.org/web/20190212060813/https://twitter.com/mikebloomberg,2287596,2019-02-12 06:08:13,5426,281,0.24,0.01,0.00151,0.0029
20190214071236,https://web.archive.org/web/20190214071236/https://twitter.com/mikebloomberg,2288271,2019-02-14 07:12:36,6101,675,0.27,0.03,0.00162,0.00382
20190216042550,https://web.archive.org/web/20190216042550/https://twitter.com/mikebloomberg,2288910,2019-02-16 04:25:50,6740,639,0.3,0.03,0.00172,0.00393
20190217060210,https://web.archive.org/web/20190217060210/https://twitter.com/mikebloomberg,2289270,2019-02-17 06:02:10,7100,360,0.31,0.02,0.00177,0.00391
20190219075332,https://web.archive.org/web/20190219075332/https://twitter.com/mikebloomberg,2289764,2019-02-19 07:53:32,7594,494,0.33,0.02,0.00181,0.00275
20190220091034,https://web.archive.org/web/20190220091034/https://twitter.com/mikebloomberg,2290240,2019-02-20 09:10:34,8070,476,0.35,0.02,0.00188,0.00523
20190221110748,https://web.archive.org/web/20190221110748/https://twitter.com/mikebloomberg,2290672,2019-02-21 11:07:48,8502,432,0.37,0.02,0.00194,0.00462
20190222113104,https://web.archive.org/web/20190222113104/https://twitter.com/mikebloomberg,2290852,2019-02-22 11:31:04,8682,180,0.38,0.01,0.00194,0.00205
20190223124449,https://web.archive.org/web/20190223124449/https://twitter.com/mikebloomberg,2291019,2019-02-23 12:44:49,8849,167,0.39,0.01,0.00194,0.00184
20190224140259,https://web.archive.org/web/20190224140259/https://twitter.com/mikebloomberg,2291348,2019-02-24 14:02:59,9178,329,0.4,0.01,0.00197,0.00361
20190225152705,https://web.archive.org/web/20190225152705/https://twitter.com/mikebloomberg,2291566,2019-02-25 15:27:05,9396,218,0.41,0.01,0.00198,0.00238
