MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190320170151,http://web.archive.org/web/20190320170151/https://twitter.com/MikeGravel,13737,2019-03-20 17:01:51,0,0,0,0,0,0
20190320232754,https://webarchive.loc.gov/all/20190320232754/https://twitter.com/MikeGravel,20217,2019-03-20 23:27:54,6480,6480,47.17,47.17,0.27976,0.27976
20190321012319,https://web.archive.org/web/20190321012319/https://twitter.com/MikeGravel,21550,2019-03-21 01:23:19,7813,1333,56.88,6.59,0.25967,0.19249
20190321012339,https://web.archive.org/web/20190321012339/https://twitter.com/mikegravel,21556,2019-03-21 01:23:39,7819,6,56.92,0.03,0.2597,0.3
20190327171200,https://web.archive.org/web/20190327171200/https://twitter.com/MikeGravel,33975,2019-03-27 17:12:00,20238,12419,147.32,57.61,0.03343,0.02159
20190404031703,http://web.archive.org/web/20190404031703/https://twitter.com/MikeGravel,40497,2019-04-04 03:17:03,26760,6522,194.8,19.2,0.02147,0.01017
20190404153457,http://web.archive.org/web/20190404153457/https://twitter.com/MikeGravel,40876,2019-04-04 15:34:57,27139,379,197.56,0.94,0.02103,0.00856
20190407181000,http://web.archive.org/web/20190407181000/https://twitter.com/MikeGravel,43856,2019-04-07 18:10:00,30119,2980,219.25,7.29,0.01932,0.0111
20190409022023,http://web.archive.org/web/20190409022023/https://twitter.com/MikeGravel,47529,2019-04-09 02:20:23,33792,3673,245.99,8.38,0.02017,0.03171
20190411125338,http://web.archive.org/web/20190411125338/https://twitter.com/mikegravel,54268,2019-04-11 12:53:38,40531,6739,295.05,14.18,0.02149,0.03197
20190413223255,http://web.archive.org/web/20190413223255/https://www.twitter.com/mikegravel,57043,2019-04-13 22:32:55,43306,2775,315.25,5.11,0.02069,0.01337
20190413223256,http://web.archive.org/web/20190413223256/https://twitter.com/mikegravel,57043,2019-04-13 22:32:56,43306,0,315.25,0.0,0.02069,0.0
20190416191313,http://web.archive.org/web/20190416191313/https://twitter.com/mikegravel/,58689,2019-04-16 19:13:13,44952,1646,327.23,2.89,0.0192,0.00666
20190416191318,http://web.archive.org/web/20190416191318/https://twitter.com/mikegravel/,58689,2019-04-16 19:13:18,44952,0,327.23,0.0,0.0192,0.0
20190418040254,http://web.archive.org/web/20190418040254/https://twitter.com/MikeGravel,59734,2019-04-18 04:02:54,45997,1045,334.84,1.78,0.01871,0.00884
20190423044357,http://web.archive.org/web/20190423044357/https://twitter.com/mikegravel,64693,2019-04-23 04:43:57,50956,4959,370.94,8.3,0.01761,0.01141
20190423173314,http://web.archive.org/web/20190423173314/https://twitter.com/mikegravel/,64977,2019-04-23 17:33:14,51240,284,373.01,0.44,0.01743,0.00615
20190423173322,http://web.archive.org/web/20190423173322/https://twitter.com/mikegravel/,64977,2019-04-23 17:33:22,51240,0,373.01,0.0,0.01743,0.0
20190424034723,http://web.archive.org/web/20190424034723/https://twitter.com/mikegravel,65588,2019-04-24 03:47:23,51851,611,377.46,0.94,0.01742,0.01658
20190425080724,http://web.archive.org/web/20190425080724/https://twitter.com/mikegravel,66345,2019-04-25 08:07:24,52608,757,382.97,1.15,0.01709,0.00742
20190426131918,http://web.archive.org/web/20190426131918/https://twitter.com/mikegravel,67307,2019-04-26 13:19:18,53570,962,389.97,1.45,0.01683,0.00915
20190427195057,http://web.archive.org/web/20190427195057/https://twitter.com/mikegravel,68156,2019-04-27 19:50:57,54419,849,396.15,1.26,0.01652,0.00773
20190429061754,http://web.archive.org/web/20190429061754/https://twitter.com/MikeGravel,68571,2019-04-29 06:17:54,54834,415,399.17,0.61,0.01605,0.00335
20190429124200,http://web.archive.org/web/20190429124200/https://twitter.com/mikegravel,68644,2019-04-29 12:42:00,54907,73,399.7,0.11,0.01596,0.00317
20190430072913,http://web.archive.org/web/20190430072913/http://twitter.com/MikeGravel,69224,2019-04-30 07:29:13,55487,580,403.92,0.84,0.01582,0.00858
20190430072914,http://web.archive.org/web/20190430072914/https://twitter.com/MikeGravel,69224,2019-04-30 07:29:14,55487,0,403.92,0.0,0.01582,0.0
20190430205037,http://web.archive.org/web/20190430205037/http://twitter.com/mikegravel,69566,2019-04-30 20:50:37,55829,342,406.41,0.49,0.0157,0.00711
20190430205038,http://web.archive.org/web/20190430205038/https://twitter.com/mikegravel,69566,2019-04-30 20:50:38,55829,0,406.41,0.0,0.0157,0.0
20190501010444,http://web.archive.org/web/20190501010444/https://twitter.com/mikegravel,69709,2019-05-01 01:04:44,55972,143,407.45,0.21,0.01567,0.00938
20190501010447,http://web.archive.org/web/20190501010447/https://twitter.com/mikegravel,69709,2019-05-01 01:04:47,55972,0,407.45,0.0,0.01567,0.0
20190502043716,http://web.archive.org/web/20190502043716/https://twitter.com/mikegravel,70252,2019-05-02 04:37:16,56515,543,411.41,0.78,0.0154,0.00548
20190503012858,http://web.archive.org/web/20190503012858/http://twitter.com/mikegravel,70560,2019-05-03 01:28:58,56823,308,413.65,0.44,0.01517,0.0041
20190503012859,http://web.archive.org/web/20190503012859/https://twitter.com/mikegravel,70560,2019-05-03 01:28:59,56823,0,413.65,0.0,0.01517,0.0
20190506033501,http://web.archive.org/web/20190506033501/https://twitter.com/MikeGravel,72010,2019-05-06 03:35:01,58273,1450,424.2,2.05,0.01452,0.00544
20190507171210,http://web.archive.org/web/20190507171210/https://twitter.com/mikegravel,73324,2019-05-07 17:12:10,59587,1314,433.77,1.82,0.01437,0.0097
