MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190320170151,http://web.archive.org/web/20190320170151/https://twitter.com/MikeGravel,13737,2019-03-20 17:01:51,0,0,0,0,0,0
20190327171200,https://web.archive.org/web/20190327171200/https://twitter.com/MikeGravel,33975,2019-03-27 17:12:00,20238,20238,147.32,147.32,0.03343,0.03343
20190404031703,http://web.archive.org/web/20190404031703/https://twitter.com/MikeGravel,40497,2019-04-04 03:17:03,26760,6522,194.8,19.2,0.02147,0.01017
20190407181000,http://web.archive.org/web/20190407181000/https://twitter.com/MikeGravel,43856,2019-04-07 18:10:00,30119,3359,219.25,8.29,0.01932,0.01074
20190409022023,http://web.archive.org/web/20190409022023/https://twitter.com/MikeGravel,47529,2019-04-09 02:20:23,33792,3673,245.99,8.38,0.02017,0.03171
20190411125338,http://web.archive.org/web/20190411125338/https://twitter.com/mikegravel,54268,2019-04-11 12:53:38,40531,6739,295.05,14.18,0.02149,0.03197
20190413223255,http://web.archive.org/web/20190413223255/https://www.twitter.com/mikegravel,57043,2019-04-13 22:32:55,43306,2775,315.25,5.11,0.02069,0.01337
20190416191313,http://web.archive.org/web/20190416191313/https://twitter.com/mikegravel/,58689,2019-04-16 19:13:13,44952,1646,327.23,2.89,0.0192,0.00666
20190418040254,http://web.archive.org/web/20190418040254/https://twitter.com/MikeGravel,59734,2019-04-18 04:02:54,45997,1045,334.84,1.78,0.01871,0.00884
20190423044357,http://web.archive.org/web/20190423044357/https://twitter.com/mikegravel,64693,2019-04-23 04:43:57,50956,4959,370.94,8.3,0.01761,0.01141
20190425080724,http://web.archive.org/web/20190425080724/https://twitter.com/mikegravel,66345,2019-04-25 08:07:24,52608,1652,382.97,2.55,0.01709,0.00893
20190426131918,http://web.archive.org/web/20190426131918/https://twitter.com/mikegravel,67307,2019-04-26 13:19:18,53570,962,389.97,1.45,0.01683,0.00915
20190427195057,http://web.archive.org/web/20190427195057/https://twitter.com/mikegravel,68156,2019-04-27 19:50:57,54419,849,396.15,1.26,0.01652,0.00773
20190429061754,http://web.archive.org/web/20190429061754/https://twitter.com/MikeGravel,68571,2019-04-29 06:17:54,54834,415,399.17,0.61,0.01605,0.00335
20190430072913,http://web.archive.org/web/20190430072913/http://twitter.com/MikeGravel,69224,2019-04-30 07:29:13,55487,653,403.92,0.95,0.01582,0.0072
20190502043716,http://web.archive.org/web/20190502043716/https://twitter.com/mikegravel,70252,2019-05-02 04:37:16,56515,1028,411.41,1.49,0.0154,0.00633
20190506033501,http://web.archive.org/web/20190506033501/https://twitter.com/MikeGravel,72010,2019-05-06 03:35:01,58273,1758,424.2,2.5,0.01452,0.00514
20190507171210,http://web.archive.org/web/20190507171210/https://twitter.com/mikegravel,73324,2019-05-07 17:12:10,59587,1314,433.77,1.82,0.01437,0.0097
20190509023412,http://web.archive.org/web/20190509023412/https://twitter.com/MikeGravel,74370,2019-05-09 02:34:12,60633,1046,441.38,1.43,0.01421,0.00871
20190513053725,http://web.archive.org/web/20190513053725/https://twitter.com/MikeGravel,77383,2019-05-13 05:37:25,63646,3013,463.32,4.05,0.01376,0.00845
20190514180132,http://web.archive.org/web/20190514180132/https://twitter.com/mikegravel,78205,2019-05-14 18:01:32,64468,822,469.3,1.06,0.01356,0.00627
20190522024408,http://web.archive.org/web/20190522024408/https://twitter.com/mikegravel,81880,2019-05-22 02:44:08,68143,3675,496.05,4.7,0.01264,0.00578
20190525200854,http://web.archive.org/web/20190525200854/https://twitter.com/MikeGravel,83345,2019-05-25 20:08:54,69608,1465,506.72,1.79,0.01218,0.00455
20190529023822,http://web.archive.org/web/20190529023822/https://twitter.com/mikegravel,84418,2019-05-29 02:38:22,70681,1073,514.53,1.29,0.01179,0.0038
20190605052209,http://web.archive.org/web/20190605052209/https://twitter.com/mikegravel,89428,2019-06-05 05:22:09,75691,5010,551.0,5.93,0.01145,0.00815
20190612045103,http://web.archive.org/web/20190612045103/https://twitter.com/mikegravel,93605,2019-06-12 04:51:03,79868,4177,581.41,4.67,0.01107,0.00693
20190618195758,http://web.archive.org/web/20190618195758/https://twitter.com/mikegravel,97406,2019-06-18 19:57:58,83669,3801,609.08,4.06,0.01075,0.00664
20190623200457,http://web.archive.org/web/20190623200457/https://twitter.com/mikegravel,99010,2019-06-23 20:04:57,85273,1604,620.75,1.65,0.01038,0.00371
20190625233606,http://web.archive.org/web/20190625233606/https://twitter.com/mikegravel,99475,2019-06-25 23:36:06,85738,465,624.14,0.47,0.0102,0.00251
20190702200422,http://web.archive.org/web/20190702200422/https://twitter.com/mikegravel,111637,2019-07-02 20:04:22,97900,12162,712.67,12.23,0.01088,0.02054
20190705001640,http://web.archive.org/web/20190705001640/https://twitter.com/MikeGravel,112204,2019-07-05 00:16:40,98467,567,716.8,0.51,0.01072,0.00302
20190709083418,http://web.archive.org/web/20190709083418/https://twitter.com/MikeGravel,117014,2019-07-09 08:34:18,103277,4810,751.82,4.29,0.0108,0.01281
20190714051933,https://web.archive.org/web/20190714051933/http://twitter.com:80/MikeGravel,123157,2019-07-14 05:19:33,109420,6143,796.53,5.25,0.01096,0.01462
20190716190256,http://web.archive.org/web/20190716190256/https://twitter.com/mikegravel,123157,2019-07-16 19:02:56,109420,0,796.53,0.0,0.01072,0.0
20190722072344,http://web.archive.org/web/20190722072344/https://twitter.com/MikeGravel,125316,2019-07-22 07:23:44,111579,2159,812.25,1.75,0.01045,0.00453
20190723110239,http://web.archive.org/web/20190723110239/https://twitter.com/MikeGravel,125316,2019-07-23 11:02:39,111579,0,812.25,0.0,0.01035,0.0
20190726165806,http://web.archive.org/web/20190726165806/https://twitter.com/MikeGravel,125645,2019-07-26 16:58:06,111908,329,814.65,0.26,0.01012,0.00117
20190728110527,http://web.archive.org/web/20190728110527/https://twitter.com/mikegravel,125645,2019-07-28 11:05:27,111908,0,814.65,0.0,0.00998,0.0
20190730221908,http://web.archive.org/web/20190730221908/https://twitter.com/mikegravel,126404,2019-07-30 22:19:08,112667,759,820.17,0.6,0.00986,0.00356
20190806203639,http://web.archive.org/web/20190806203639/https://twitter.com/MikeGravel,130427,2019-08-06 20:36:39,116690,4023,849.46,3.18,0.00971,0.00672
20190820194554,http://web.archive.org/web/20190820194554/https://twitter.com/mikegravel,131923,2019-08-20 19:45:54,118186,1496,860.35,1.15,0.00893,0.00124
20190827102911,http://web.archive.org/web/20190827102911/https://www.twitter.com/mikegravel,131586,2019-08-27 10:29:11,117849,-337,857.89,-0.26,0.00854,-0.00059
20190902163829,http://web.archive.org/web/20190902163829/https://twitter.com/MikeGravel/,131209,2019-09-02 16:38:29,117472,-377,855.15,-0.29,0.00819,-0.0007
20190903224246,http://web.archive.org/web/20190903224246/https://twitter.com/mikegravel,131122,2019-09-03 22:42:46,117385,-87,854.52,-0.07,0.00812,-0.0008
20190905191008,http://web.archive.org/web/20190905191008/https://twitter.com/MikeGravel,131051,2019-09-05 19:10:08,117314,-71,854.0,-0.05,0.00803,-0.00044
20190908034910,http://web.archive.org/web/20190908034910/https://twitter.com/MikeGravel,130755,2019-09-08 03:49:10,117018,-296,851.85,-0.23,0.0079,-0.00145
20190910220958,https://web.archive.org/web/20190910220958/https://twitter.com/mikegravel,130753,2019-09-10 22:09:58,117016,-2,851.83,-0.0,0.00777,-1e-05
20190917234839,https://web.archive.org/web/20190917234839/https://twitter.com/mikegravel,131030,2019-09-17 23:48:39,117293,277,853.85,0.21,0.00749,0.00045
20190924171357,https://web.archive.org/web/20190924171357/https://twitter.com/mikegravel,131074,2019-09-24 17:13:57,117337,44,854.17,0.03,0.00722,8e-05
20190928131514,https://web.archive.org/web/20190928131514/https://twitter.com/MikeGravel,131077,2019-09-28 13:15:14,117340,3,854.19,0.0,0.00708,1e-05
20191001202921,https://web.archive.org/web/20191001202921/https://twitter.com/mikegravel,131093,2019-10-01 20:29:21,117356,16,854.31,0.01,0.00696,6e-05
20191008200106,https://web.archive.org/web/20191008200106/https://twitter.com/mikegravel,131251,2019-10-08 20:01:06,117514,158,855.46,0.12,0.00673,0.00026
20191014175234,https://web.archive.org/web/20191014175234/http://twitter.com/mikegravel,131286,2019-10-14 17:52:34,117549,35,855.71,0.03,0.00654,7e-05
20191015205742,https://web.archive.org/web/20191015205742/https://twitter.com/mikegravel,131273,2019-10-15 20:57:42,117536,-13,855.62,-0.01,0.0065,-0.00013
20191022184729,https://web.archive.org/web/20191022184729/https://twitter.com/mikegravel,132484,2019-10-22 18:47:29,118747,1211,864.43,0.92,0.00636,0.00203
20191029192638,https://web.archive.org/web/20191029192638/https://twitter.com/mikegravel,134559,2019-10-29 19:26:38,120822,2075,879.54,1.57,0.00627,0.00342
20191031025639,https://web.archive.org/web/20191031025639/https://twitter.com/mikegravel,134633,2019-10-31 02:56:39,120896,74,880.08,0.05,0.00624,0.00065
20191103190244,https://web.archive.org/web/20191103190244/https://twitter.com/MikeGravel,135092,2019-11-03 19:02:44,121355,459,883.42,0.34,0.00616,0.00143
20191105223609,https://web.archive.org/web/20191105223609/https://twitter.com/mikegravel,135092,2019-11-05 22:36:09,121355,0,883.42,0.0,0.0061,0.0
20191106224130,https://web.archive.org/web/20191106224130/https://twitter.com/mikegravel,135161,2019-11-06 22:41:30,121424,69,883.92,0.05,0.00608,0.0008
20191108054140,https://web.archive.org/web/20191108054140/https://twitter.com/mikegravel,135209,2019-11-08 05:41:40,121472,48,884.27,0.04,0.00605,0.00043
20191109082207,https://web.archive.org/web/20191109082207/https://twitter.com/mikegravel,135253,2019-11-09 08:22:07,121516,44,884.59,0.03,0.00602,0.00046
20191111004803,https://web.archive.org/web/20191111004803/https://twitter.com/MikeGravel,135378,2019-11-11 00:48:03,121641,125,885.5,0.09,0.00598,0.00086
20191112233713,https://web.archive.org/web/20191112233713/https://twitter.com/mikegravel,136594,2019-11-12 23:37:13,122857,1216,894.35,0.9,0.00599,0.00721
20191114064451,https://web.archive.org/web/20191114064451/https://twitter.com/mikegravel,136687,2019-11-14 06:44:51,122950,93,895.03,0.07,0.00596,0.00083
20191115073152,https://web.archive.org/web/20191115073152/https://twitter.com/mikegravel,136689,2019-11-15 07:31:52,122952,2,895.04,0.0,0.00594,2e-05
