MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190114013118,http://web.archive.org/web/20190114013118/https://twitter.com/PeteButtigieg,82321,2019-01-14 01:31:18,0,0,0,0,0,0
20190124001505,http://web.archive.org/web/20190124001505/https://twitter.com/PeteButtigieg,94963,2019-01-24 00:15:05,12642,12642,15.36,15.36,0.01471,0.01471
20190125123807,http://web.archive.org/web/20190125123807/https://twitter.com/PeteButtigieg,103078,2019-01-25 12:38:07,20757,8115,25.21,8.55,0.02096,0.06196
20190125203401,http://web.archive.org/web/20190125203401/https://twitter.com/PeteButtigieg,103775,2019-01-25 20:34:01,21454,697,26.06,0.68,0.02105,0.02441
20190126232123,http://web.archive.org/web/20190126232123/https://twitter.com/PeteButtigieg,104630,2019-01-26 23:21:23,22309,855,27.1,0.82,0.02,0.00887
20190127210304,http://web.archive.org/web/20190127210304/https://twitter.com/petebuttigieg,105033,2019-01-27 21:03:04,22712,403,27.59,0.39,0.01903,0.00516
20190129145021,http://web.archive.org/web/20190129145021/https://twitter.com/PeteButtigieg,106340,2019-01-29 14:50:21,24019,1307,29.18,1.24,0.01787,0.00869
20190130044503,http://web.archive.org/web/20190130044503/https://twitter.com/PeteButtigieg,106677,2019-01-30 04:45:03,24356,337,29.59,0.32,0.01747,0.00673
20190131202825,https://webarchive.loc.gov/all/20190131202825/https://twitter.com/petebuttigieg,108744,2019-01-31 20:28:25,26423,2067,32.1,1.94,0.01719,0.01445
20190201130019,http://web.archive.org/web/20190201130019/https://twitter.com/PeteButtigieg,110591,2019-02-01 13:00:19,28270,1847,34.34,1.7,0.01771,0.03103
20190203022824,http://web.archive.org/web/20190203022824/https://twitter.com/PeteButtigieg,111847,2019-02-03 02:28:24,29526,1256,35.87,1.14,0.01705,0.00931
20190205152919,http://web.archive.org/web/20190205152919/https://twitter.com/PeteButtigieg,112726,2019-02-05 15:29:19,30405,879,36.93,0.79,0.01558,0.004
20190206001741,http://web.archive.org/web/20190206001741/https://twitter.com/PeteButtigieg,113431,2019-02-06 00:17:41,31110,705,37.79,0.63,0.01569,0.02224
20190206163459,http://web.archive.org/web/20190206163459/https://twitter.com/PeteButtigieg,114745,2019-02-06 16:34:59,32424,1314,39.39,1.16,0.01588,0.02241
20190206194135,http://web.archive.org/web/20190206194135/https://twitter.com/PeteButtigieg,114847,2019-02-06 19:41:35,32526,102,39.51,0.09,0.01585,0.00911
20190208092035,http://web.archive.org/web/20190208092035/https://twitter.com/PeteButtigieg,116097,2019-02-08 09:20:35,33776,1250,41.03,1.09,0.01544,0.00922
20190209112852,http://web.archive.org/web/20190209112852/https://twitter.com/PeteButtigieg,116797,2019-02-09 11:28:52,34476,700,41.88,0.6,0.01511,0.00744
20190210152141,http://web.archive.org/web/20190210152141/https://twitter.com/PeteButtigieg,117584,2019-02-10 15:21:41,35263,787,42.84,0.67,0.0148,0.00784
20190211100245,http://web.archive.org/web/20190211100245/https://twitter.com/PeteButtigieg,118447,2019-02-11 10:02:45,36126,863,43.88,0.73,0.01475,0.01283
20190212081720,http://web.archive.org/web/20190212081720/https://twitter.com/petebuttigieg,119090,2019-02-12 08:17:20,36769,643,44.67,0.54,0.01453,0.00803
20190212125449,http://web.archive.org/web/20190212125449/https://twitter.com/PeteButtigieg,119121,2019-02-12 12:54:49,36800,31,44.7,0.03,0.01445,0.00186
20190215205641,http://web.archive.org/web/20190215205641/https://twitter.com/PeteButtigieg,126991,2019-02-15 20:56:41,44670,7870,54.26,6.61,0.01576,0.02732
20190216165309,http://web.archive.org/web/20190216165309/https://twitter.com/PeteButtigieg,130045,2019-02-16 16:53:09,47724,3054,57.97,2.4,0.01642,0.04254
20190218065339,http://web.archive.org/web/20190218065339/https://twitter.com/petebuttigieg,133450,2019-02-18 06:53:39,51129,3405,62.11,2.62,0.0168,0.02488
20190226051827,http://web.archive.org/web/20190226051827/https://twitter.com/petebuttigieg,144462,2019-02-26 05:18:27,62141,11012,75.49,8.25,0.01667,0.01606
20190304171414,http://web.archive.org/web/20190304171414/https://twitter.com/petebuttigieg,153403,2019-03-04 17:14:14,71082,8941,86.35,6.19,0.01657,0.01593
20190306155127,http://web.archive.org/web/20190306155127/https://twitter.com/PeteButtigieg,155186,2019-03-06 15:51:27,72865,1783,88.51,1.16,0.01634,0.01062
20190313004811,http://web.archive.org/web/20190313004811/https://twitter.com/PeteButtigieg/,210928,2019-03-13 00:48:11,128607,55742,156.23,35.92,0.0257,0.1019
20190313004815,http://web.archive.org/web/20190313004815/https://twitter.com/PeteButtigieg/,210928,2019-03-13 00:48:15,128607,0,156.23,0.0,0.0257,0.0
20190316014128,http://web.archive.org/web/20190316014128/https://twitter.com/PeteButtigieg,248065,2019-03-16 01:41:28,165744,37137,201.34,17.61,0.03147,0.14153
