MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190114013118,http://web.archive.org/web/20190114013118/https://twitter.com/PeteButtigieg,82321,2019-01-14 01:31:18,0,0,0,0,0,0
20190124001505,http://web.archive.org/web/20190124001505/https://twitter.com/PeteButtigieg,94963,2019-01-24 00:15:05,12642,12642,15.36,15.36,0.01471,0.01471
20190125123807,http://web.archive.org/web/20190125123807/https://twitter.com/PeteButtigieg,103078,2019-01-25 12:38:07,20757,8115,25.21,8.55,0.02096,0.06196
20190126232123,http://web.archive.org/web/20190126232123/https://twitter.com/PeteButtigieg,104630,2019-01-26 23:21:23,22309,1552,27.1,1.51,0.02,0.01242
20190129145021,http://web.archive.org/web/20190129145021/https://twitter.com/PeteButtigieg,106340,2019-01-29 14:50:21,24019,1710,29.18,1.63,0.01787,0.00748
20190131202825,https://webarchive.loc.gov/all/20190131202825/https://twitter.com/petebuttigieg,108744,2019-01-31 20:28:25,26423,2404,32.1,2.26,0.01719,0.01245
20190203022824,http://web.archive.org/web/20190203022824/https://twitter.com/PeteButtigieg,111847,2019-02-03 02:28:24,29526,3103,35.87,2.85,0.01705,0.01596
20190205152919,http://web.archive.org/web/20190205152919/https://twitter.com/PeteButtigieg,112726,2019-02-05 15:29:19,30405,879,36.93,0.79,0.01558,0.004
20190206163459,http://web.archive.org/web/20190206163459/https://twitter.com/PeteButtigieg,114745,2019-02-06 16:34:59,32424,2019,39.39,1.79,0.01588,0.02235
20190208092035,http://web.archive.org/web/20190208092035/https://twitter.com/PeteButtigieg,116097,2019-02-08 09:20:35,33776,1352,41.03,1.18,0.01544,0.00921
20190209112852,http://web.archive.org/web/20190209112852/https://twitter.com/PeteButtigieg,116797,2019-02-09 11:28:52,34476,700,41.88,0.6,0.01511,0.00744
20190210152141,http://web.archive.org/web/20190210152141/https://twitter.com/PeteButtigieg,117584,2019-02-10 15:21:41,35263,787,42.84,0.67,0.0148,0.00784
20190212081720,http://web.archive.org/web/20190212081720/https://twitter.com/petebuttigieg,119090,2019-02-12 08:17:20,36769,1506,44.67,1.28,0.01453,0.01022
20190215205641,http://web.archive.org/web/20190215205641/https://twitter.com/PeteButtigieg,126991,2019-02-15 20:56:41,44670,7901,54.26,6.63,0.01576,0.02593
20190218065339,http://web.archive.org/web/20190218065339/https://twitter.com/petebuttigieg,133450,2019-02-18 06:53:39,51129,6459,62.11,5.09,0.0168,0.03096
20190226051827,http://web.archive.org/web/20190226051827/https://twitter.com/petebuttigieg,144462,2019-02-26 05:18:27,62141,11012,75.49,8.25,0.01667,0.01606
20190304171414,http://web.archive.org/web/20190304171414/https://twitter.com/petebuttigieg,153403,2019-03-04 17:14:14,71082,8941,86.35,6.19,0.01657,0.01593
20190306155127,http://web.archive.org/web/20190306155127/https://twitter.com/PeteButtigieg,155186,2019-03-06 15:51:27,72865,1783,88.51,1.16,0.01634,0.01062
20190313004811,http://web.archive.org/web/20190313004811/https://twitter.com/PeteButtigieg/,210928,2019-03-13 00:48:11,128607,55742,156.23,35.92,0.0257,0.1019
20190316014128,http://web.archive.org/web/20190316014128/https://twitter.com/PeteButtigieg,248065,2019-03-16 01:41:28,165744,37137,201.34,17.61,0.03147,0.14153
20190319012010,https://www.webarchive.org.uk/wayback/archive/20190319012010mp_/https://twitter.com/petebuttigieg,347161,2019-03-19 01:20:10,264840,99096,321.72,39.95,0.04793,0.38421
20190320071743,http://web.archive.org/web/20190320071743/https://twitter.com/petebuttigieg,358878,2019-03-20 07:17:43,276557,11717,335.95,3.38,0.04909,0.10864
20190321201214,http://web.archive.org/web/20190321201214/https://twitter.com/PeteButtigieg,411598,2019-03-21 20:12:14,329277,52720,399.99,14.69,0.05711,0.39678
20190323020059,http://web.archive.org/web/20190323020059/https://twitter.com/petebuttigieg,438278,2019-03-23 02:00:59,355957,26680,432.4,6.48,0.06061,0.24859
20190324055129,http://web.archive.org/web/20190324055129/https://twitter.com/petebuttigieg,478589,2019-03-24 05:51:29,396268,40311,481.37,9.2,0.06634,0.40218
20190325195826,http://web.archive.org/web/20190325195826/https://twitter.com/petebuttigieg,502964,2019-03-25 19:58:26,420643,24375,510.98,5.09,0.06884,0.17764
20190326200133,http://web.archive.org/web/20190326200133/https://twitter.com/PeteButtigieg,512333,2019-03-26 20:01:33,430012,9369,522.36,1.86,0.06939,0.1082
20190327223626,http://web.archive.org/web/20190327223626/https://twitter.com/petebuttigieg,526617,2019-03-27 22:36:26,444296,14284,539.71,2.79,0.0706,0.14927
20190329121042,http://web.archive.org/web/20190329121042/https://www.twitter.com/petebuttigieg,572090,2019-03-29 12:10:42,489769,45473,594.95,8.63,0.07619,0.3362
20190331010532,https://www.webarchive.org.uk/wayback/archive/20190331010532mp_/https://twitter.com/petebuttigieg,604297,2019-03-31 01:05:32,521976,32207,634.07,5.63,0.07955,0.24236
