MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101060617,http://web.archive.org/web/20190101060617/https://twitter.com/SenGillibrand,1296705,2019-01-01 06:06:17,0,0,0,0,0,0
20190102064613,http://web.archive.org/web/20190102064613/https://twitter.com/SenGillibrand,1297306,2019-01-02 06:46:13,601,601,0.05,0.05,0.00677,0.00677
20190103033252,http://web.archive.org/web/20190103033252/https://twitter.com/SenGillibrand,1297838,2019-01-03 03:32:52,1133,532,0.09,0.04,0.00693,0.00711
20190105073917,http://web.archive.org/web/20190105073917/https://twitter.com/SenGillibrand,1300347,2019-01-05 07:39:17,3642,2509,0.28,0.19,0.01037,0.01338
20190106032744,http://web.archive.org/web/20190106032744/https://twitter.com/SenGillibrand,1301211,2019-01-06 03:27:44,4506,864,0.35,0.07,0.01067,0.01212
20190107050707,http://web.archive.org/web/20190107050707/https://twitter.com/SenGillibrand,1302149,2019-01-07 05:07:07,5444,938,0.42,0.07,0.01057,0.01016
20190107154930,http://web.archive.org/web/20190107154930/https://twitter.com/SenGillibrand/,1302395,2019-01-07 15:49:30,5690,246,0.44,0.02,0.01028,0.00638
20190107154942,http://web.archive.org/web/20190107154942/https://twitter.com/sengillibrand,1302395,2019-01-07 15:49:42,5690,0,0.44,0.0,0.01028,0.0
20190107155044,http://web.archive.org/web/20190107155044/https://twitter.com/SenGillibrand/,1302395,2019-01-07 15:50:44,5690,0,0.44,0.0,0.01028,0.0
20190108024058,http://web.archive.org/web/20190108024058/https://twitter.com/SenGillibrand,1302677,2019-01-08 02:40:58,5972,282,0.46,0.02,0.01008,0.00723
20190109041303,http://web.archive.org/web/20190109041303/https://twitter.com/SenGillibrand,1303645,2019-01-09 04:13:03,6940,968,0.54,0.07,0.01014,0.01053
20190110035137,http://web.archive.org/web/20190110035137/https://twitter.com/SenGillibrand,1304485,2019-01-10 03:51:37,7780,840,0.6,0.06,0.01011,0.00987
20190112055236,http://web.archive.org/web/20190112055236/https://twitter.com/SenGillibrand,1305952,2019-01-12 05:52:36,9247,1467,0.71,0.11,0.00974,0.00815
20190113034542,http://web.archive.org/web/20190113034542/https://twitter.com/SenGillibrand,1306660,2019-01-13 03:45:42,9955,708,0.77,0.05,0.00968,0.00899
20190114030448,http://web.archive.org/web/20190114030448/https://twitter.com/SenGillibrand,1307377,2019-01-14 03:04:48,10672,717,0.82,0.05,0.00959,0.00854
20190115043749,http://web.archive.org/web/20190115043749/https://twitter.com/SenGillibrand,1307340,2019-01-15 04:37:49,10635,-37,0.82,-0.0,0.00883,-0.0004
20190116032804,https://webarchive.loc.gov/all/20190116032804/https://twitter.com/sengillibrand,1311999,2019-01-16 03:28:04,15294,4659,1.18,0.36,0.01189,0.05667
20190116081355,http://web.archive.org/web/20190116081355/https://twitter.com/SenGillibrand,1314060,2019-01-16 08:13:55,17355,2061,1.34,0.16,0.01331,0.12017
20190116102150,http://web.archive.org/web/20190116102150/https://twitter.com/SenGillibrand,1314356,2019-01-16 10:21:50,17651,296,1.36,0.02,0.01346,0.03857
20190116203755,http://web.archive.org/web/20190116203755/https://twitter.com/SenGillibrand,1317034,2019-01-16 20:37:55,20329,2678,1.57,0.2,0.01508,0.07245
20190117030722,http://web.archive.org/web/20190117030722/https://twitter.com/sengillibrand,1318125,2019-01-17 03:07:22,21420,1091,1.65,0.08,0.01562,0.04669
20190117051431,http://web.archive.org/web/20190117051431/https://twitter.com/SenGillibrand,1318512,2019-01-17 05:14:31,21807,387,1.68,0.03,0.01581,0.05073
20190117112713,http://web.archive.org/web/20190117112713/https://twitter.com/sengillibrand,1318844,2019-01-17 11:27:13,22139,332,1.71,0.03,0.01579,0.01485
20190117205051,http://web.archive.org/web/20190117205051/https://twitter.com/SenGillibrand,1319737,2019-01-17 20:50:51,23032,893,1.78,0.07,0.01604,0.02641
20190118020717,http://web.archive.org/web/20190118020717/https://twitter.com/SenGillibrand,1320643,2019-01-18 02:07:17,23938,906,1.85,0.07,0.01646,0.04772
20190118142402,http://web.archive.org/web/20190118142402/https://twitter.com/sengillibrand,1321536,2019-01-18 14:24:02,24831,893,1.91,0.07,0.01657,0.0202
20190118221212,http://web.archive.org/web/20190118221212/https://twitter.com/SenGillibrand,1322140,2019-01-18 22:12:12,25435,604,1.96,0.05,0.01666,0.0215
20190119015855,http://web.archive.org/web/20190119015855/https://twitter.com/SenGillibrand,1322353,2019-01-19 01:58:55,25648,213,1.98,0.02,0.01665,0.01566
20190119104604,http://web.archive.org/web/20190119104604/https://twitter.com/SenGillibrand,1322647,2019-01-19 10:46:04,25942,294,2.0,0.02,0.0165,0.0093
20190119214419,http://web.archive.org/web/20190119214419/https://twitter.com/SenGillibrand,1323055,2019-01-19 21:44:19,26350,408,2.03,0.03,0.01635,0.01033
20190120044025,http://web.archive.org/web/20190120044025/https://twitter.com/SenGillibrand,1324318,2019-01-20 04:40:25,27613,1263,2.13,0.1,0.01687,0.05059
