MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101060617,http://web.archive.org/web/20190101060617/https://twitter.com/SenGillibrand,1296705,2019-01-01 06:06:17,0,0,0,0,0,0
20190102064613,http://web.archive.org/web/20190102064613/https://twitter.com/SenGillibrand,1297306,2019-01-02 06:46:13,601,601,0.05,0.05,0.00677,0.00677
20190105073917,http://web.archive.org/web/20190105073917/https://twitter.com/SenGillibrand,1300347,2019-01-05 07:39:17,3642,3041,0.28,0.23,0.01037,0.01159
20190107050707,http://web.archive.org/web/20190107050707/https://twitter.com/SenGillibrand,1302149,2019-01-07 05:07:07,5444,1802,0.42,0.14,0.01057,0.01101
20190109041303,http://web.archive.org/web/20190109041303/https://twitter.com/SenGillibrand,1303645,2019-01-09 04:13:03,6940,1496,0.54,0.11,0.01014,0.00882
20190112055236,http://web.archive.org/web/20190112055236/https://twitter.com/SenGillibrand,1305952,2019-01-12 05:52:36,9247,2307,0.71,0.18,0.00974,0.0087
20190114030448,http://web.archive.org/web/20190114030448/https://twitter.com/SenGillibrand,1307377,2019-01-14 03:04:48,10672,1425,0.82,0.11,0.00959,0.00876
20190115043749,http://web.archive.org/web/20190115043749/https://twitter.com/SenGillibrand,1307340,2019-01-15 04:37:49,10635,-37,0.82,-0.0,0.00883,-0.0004
20190116081355,http://web.archive.org/web/20190116081355/https://twitter.com/SenGillibrand,1314060,2019-01-16 08:13:55,17355,6720,1.34,0.51,0.01331,0.06763
20190117112713,http://web.archive.org/web/20190117112713/https://twitter.com/sengillibrand,1318844,2019-01-17 11:27:13,22139,4784,1.71,0.36,0.01579,0.04882
20190118142402,http://web.archive.org/web/20190118142402/https://twitter.com/sengillibrand,1321536,2019-01-18 14:24:02,24831,2692,1.91,0.2,0.01657,0.02775
20190119214419,http://web.archive.org/web/20190119214419/https://twitter.com/SenGillibrand,1323055,2019-01-19 21:44:19,26350,1519,2.03,0.11,0.01635,0.01346
20190121034704,http://web.archive.org/web/20190121034704/https://twitter.com/SenGillibrand,1326557,2019-01-21 03:47:04,29852,3502,2.3,0.26,0.01736,0.03238
20190122035551,http://web.archive.org/web/20190122035551/https://twitter.com/SenGillibrand,1328538,2019-01-22 03:55:51,31833,1981,2.45,0.15,0.01762,0.02279
20190123100533,http://web.archive.org/web/20190123100533/https://twitter.com/SenGillibrand,1330601,2019-01-23 10:05:33,33896,2063,2.61,0.16,0.0177,0.019
20190124111614,http://web.archive.org/web/20190124111614/https://twitter.com/SenGillibrand,1332285,2019-01-24 11:16:14,35580,1684,2.74,0.13,0.01774,0.01858
20190125222122,http://web.archive.org/web/20190125222122/https://twitter.com/SenGillibrand,1334240,2019-01-25 22:21:22,37535,1955,2.89,0.15,0.0176,0.01548
20190126224304,http://web.archive.org/web/20190126224304/https://twitter.com/SenGillibrand,1336209,2019-01-26 22:43:04,39504,1969,3.05,0.15,0.0178,0.02245
20190128043411,http://web.archive.org/web/20190128043411/https://twitter.com/SenGillibrand,1337509,2019-01-28 04:34:11,40804,1300,3.15,0.1,0.01753,0.0121
20190129060726,http://web.archive.org/web/20190129060726/https://twitter.com/SenGillibrand,1338387,2019-01-29 06:07:26,41682,878,3.21,0.07,0.01723,0.00954
20190130221207,http://web.archive.org/web/20190130221207/https://twitter.com/SenGillibrand,1338918,2019-01-30 22:12:07,42213,531,3.26,0.04,0.01647,0.00368
20190131223016,http://web.archive.org/web/20190131223016/https://twitter.com/SenGillibrand,1339763,2019-01-31 22:30:16,43058,845,3.32,0.06,0.01624,0.00966
20190202023024,http://web.archive.org/web/20190202023024/https://twitter.com/SenGillibrand,1341942,2019-02-02 02:30:24,45237,2179,3.49,0.16,0.01644,0.02162
20190203051743,http://web.archive.org/web/20190203051743/https://twitter.com/sengillibrand,1343611,2019-02-03 05:17:43,46906,1669,3.62,0.12,0.01647,0.01731
20190204214952,http://web.archive.org/web/20190204214952/https://twitter.com/SenGillibrand,1344807,2019-02-04 21:49:52,48102,1196,3.71,0.09,0.01606,0.0082
20190205221634,http://web.archive.org/web/20190205221634/https://twitter.com/SenGillibrand,1345379,2019-02-05 22:16:34,48674,572,3.75,0.04,0.01579,0.0065
20190207043024,http://web.archive.org/web/20190207043024/https://twitter.com/SenGillibrand,1347812,2019-02-07 04:30:24,51107,2433,3.94,0.18,0.01602,0.02236
20190208082546,http://web.archive.org/web/20190208082546/https://twitter.com/SenGillibrand,1349118,2019-02-08 08:25:46,52413,1306,4.04,0.1,0.01592,0.01299
20190209214701,http://web.archive.org/web/20190209214701/https://twitter.com/SenGillibrand,1350685,2019-02-09 21:47:01,53980,1567,4.16,0.12,0.01576,0.01165
20190210215254,http://web.archive.org/web/20190210215254/https://twitter.com/SenGillibrand,1352015,2019-02-10 21:52:54,55310,1330,4.27,0.1,0.01575,0.01533
20190212051749,http://web.archive.org/web/20190212051749/https://twitter.com/SenGillibrand,1353781,2019-02-12 05:17:49,57076,1766,4.4,0.13,0.01574,0.01562
