MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190130051937,https://web.archive.org/web/20190130051937/https://twitter.com/sethmoulton,135567,2019-01-30 05:19:37,0,0,0,0,0,0
20190206140438,https://web.archive.org/web/20190206140438/https://twitter.com/sethmoulton,135481,2019-02-06 14:04:38,-86,-86,-0.06,-0.06,-0.00014,-0.00014
20190331151946,https://webarchive.loc.gov/all/20190331151946/https://twitter.com/sethmoulton,135525,2019-03-31 15:19:46,-42,44,-0.03,0.03,-1e-05,1e-05
20190430213828,https://web.archive.org/web/20190430213828/http://twitter.com/sethmoulton,138163,2019-04-30 21:38:28,2596,2638,1.91,1.95,0.00033,0.00101
20190430213829,https://web.archive.org/web/20190430213829/https://twitter.com/sethmoulton,138163,2019-04-30 21:38:29,2596,0,1.91,0.0,0.00033,0.0
20190501140501,https://web.archive.org/web/20190501140501/http://twitter.com/sethmoulton,138208,2019-05-01 14:05:01,2641,45,1.95,0.03,0.00033,0.00076
20190501140502,https://web.archive.org/web/20190501140502/https://twitter.com/sethmoulton,138208,2019-05-01 14:05:02,2641,0,1.95,0.0,0.00033,0.0
20190503194054,https://web.archive.org/web/20190503194054/http://twitter.com/sethmoulton,138310,2019-05-03 19:40:54,2743,102,2.02,0.07,0.00034,0.00053
20190503194055,https://web.archive.org/web/20190503194055/https://twitter.com/sethmoulton,138310,2019-05-03 19:40:55,2743,0,2.02,0.0,0.00034,0.0
20190507135953,https://web.archive.org/web/20190507135953/https://twitter.com/sethmoulton,138363,2019-05-07 13:59:53,2796,53,2.06,0.04,0.00033,0.00016
20190507180746,https://web.archive.org/web/20190507180746/https://twitter.com/sethmoulton,138361,2019-05-07 18:07:46,2794,-2,2.06,-0.0,0.00033,-0.00013
20190507180749,https://web.archive.org/web/20190507180749/https://twitter.com/sethmoulton,138361,2019-05-07 18:07:49,2794,0,2.06,0.0,0.00033,0.0
20190508203820,https://web.archive.org/web/20190508203820/https://twitter.com/sethmoulton,138363,2019-05-08 20:38:20,2796,2,2.06,0.0,0.00033,2e-05
20190513162601,https://web.archive.org/web/20190513162601/https://twitter.com/sethmoulton,138465,2019-05-13 16:26:01,2898,102,2.14,0.07,0.00032,0.00024
20190514182453,https://web.archive.org/web/20190514182453/https://twitter.com/sethmoulton,138733,2019-05-14 18:24:53,3166,268,2.34,0.19,0.00035,0.00287
20190514182457,https://web.archive.org/web/20190514182457/https://twitter.com/sethmoulton,138733,2019-05-14 18:24:57,3166,0,2.34,0.0,0.00035,0.0
20190517102149,https://web.archive.org/web/20190517102149/https://twitter.com/sethmoulton,138966,2019-05-17 10:21:49,3399,233,2.51,0.17,0.00037,0.00101
20190522024736,https://web.archive.org/web/20190522024736/https://twitter.com/sethmoulton,139305,2019-05-22 02:47:36,3738,339,2.76,0.24,0.00039,0.00084
20190522024740,https://web.archive.org/web/20190522024740/https://twitter.com/sethmoulton,139305,2019-05-22 02:47:40,3738,0,2.76,0.0,0.00039,0.0
20190528130432,https://web.archive.org/web/20190528130432/https://twitter.com/sethmoulton,139850,2019-05-28 13:04:32,4283,545,3.16,0.39,0.00042,0.00098
20190528142435,https://web.archive.org/web/20190528142435/https://twitter.com/sethmoulton,139855,2019-05-28 14:24:35,4288,5,3.16,0.0,0.00042,0.00104
20190528154236,https://web.archive.org/web/20190528154236/https://twitter.com/sethmoulton,139863,2019-05-28 15:42:36,4296,8,3.17,0.01,0.00042,0.00171
20190528163326,https://web.archive.org/web/20190528163326/https://twitter.com/sethmoulton,139867,2019-05-28 16:33:26,4300,4,3.17,0.0,0.00042,0.00131
20190529031848,https://web.archive.org/web/20190529031848/https://twitter.com/sethmoulton,139954,2019-05-29 03:18:48,4387,87,3.24,0.06,0.00043,0.00225
20190529031854,https://web.archive.org/web/20190529031854/https://twitter.com/sethmoulton,139954,2019-05-29 03:18:54,4387,0,3.24,0.0,0.00043,0.0
20190605033629,https://web.archive.org/web/20190605033629/https://twitter.com/sethmoulton,141873,2019-06-05 03:36:29,6306,1919,4.65,1.37,0.00058,0.00317
20190605033632,https://web.archive.org/web/20190605033632/https://twitter.com/sethmoulton,141873,2019-06-05 03:36:32,6306,0,4.65,0.0,0.00058,0.0
20190606152511,https://web.archive.org/web/20190606152511/https://twitter.com/sethmoulton,142061,2019-06-06 15:25:11,6494,188,4.79,0.13,0.00059,0.00146
20190608195524,https://web.archive.org/web/20190608195524/https://twitter.com/sethmoulton,142581,2019-06-08 19:55:24,7014,520,5.17,0.37,0.00063,0.00275
20190612032552,https://web.archive.org/web/20190612032552/https://twitter.com/sethmoulton,142780,2019-06-12 03:25:52,7213,199,5.32,0.14,0.00063,0.0007
20190612032555,https://web.archive.org/web/20190612032555/https://twitter.com/sethmoulton,142780,2019-06-12 03:25:55,7213,0,5.32,0.0,0.00063,0.0
20190617055144,https://web.archive.org/web/20190617055144/https://twitter.com/sethmoulton,142909,2019-06-17 05:51:44,7342,129,5.42,0.09,0.00062,0.00029
20190618202450,https://web.archive.org/web/20190618202450/https://twitter.com/sethmoulton,142966,2019-06-18 20:24:50,7399,57,5.46,0.04,0.00061,0.00041
20190618202453,https://web.archive.org/web/20190618202453/https://twitter.com/sethmoulton,142966,2019-06-18 20:24:53,7399,0,5.46,0.0,0.00061,0.0
20190621061154,https://web.archive.org/web/20190621061154/https://twitter.com/sethmoulton,143018,2019-06-21 06:11:54,7451,52,5.5,0.04,0.00061,0.00025
20190625231944,https://web.archive.org/web/20190625231944/https://twitter.com/sethmoulton,143081,2019-06-25 23:19:44,7514,63,5.54,0.04,0.00059,0.00015
20190625231948,https://web.archive.org/web/20190625231948/https://twitter.com/sethmoulton,143081,2019-06-25 23:19:48,7514,0,5.54,0.0,0.00059,0.0
20190702182738,https://web.archive.org/web/20190702182738/https://twitter.com/sethmoulton,143381,2019-07-02 18:27:38,7814,300,5.76,0.21,0.00059,0.00051
20190702182743,https://web.archive.org/web/20190702182743/https://twitter.com/sethmoulton,143381,2019-07-02 18:27:43,7814,0,5.76,0.0,0.00059,0.0
