MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190405011709,https://webarchive.loc.gov/all/20190405011709/https://twitter.com/timryan,16046,2019-04-05 01:17:09,0,0,0,0,0,0
20190407061457,http://web.archive.org/web/20190407061457/https://twitter.com/timryan,17228,2019-04-07 06:14:57,1182,1182,7.37,7.37,0.0062,0.0062
20190416203055,http://web.archive.org/web/20190416203055/https://twitter.com/TimRyan/,18116,2019-04-16 20:30:55,2070,888,12.9,5.15,0.00203,0.00107
20190416203059,http://web.archive.org/web/20190416203059/https://twitter.com/TimRyan/,18116,2019-04-16 20:30:59,2070,0,12.9,0.0,0.00203,0.0
20190423170935,http://web.archive.org/web/20190423170935/https://twitter.com/TimRyan/,18600,2019-04-23 17:09:35,2554,484,15.92,2.67,0.00158,0.00082
20190423170940,http://web.archive.org/web/20190423170940/https://twitter.com/TimRyan/,18600,2019-04-23 17:09:40,2554,0,15.92,0.0,0.00158,0.0
20190430064854,http://web.archive.org/web/20190430064854/http://twitter.com/TimRyan,18990,2019-04-30 06:48:54,2944,390,18.35,2.1,0.00135,0.00069
20190430064857,http://web.archive.org/web/20190430064857/https://twitter.com/TimRyan,18990,2019-04-30 06:48:57,2944,0,18.35,0.0,0.00135,0.0
20190501001112,http://web.archive.org/web/20190501001112/https://twitter.com/TimRyan,19066,2019-05-01 00:11:12,3020,76,18.82,0.4,0.00135,0.00122
20190501001120,http://web.archive.org/web/20190501001120/https://twitter.com/TimRyan,19066,2019-05-01 00:11:20,3020,0,18.82,0.0,0.00135,0.0
20190501163557,http://web.archive.org/web/20190501163557/http://twitter.com/timryan,19132,2019-05-01 16:35:57,3086,66,19.23,0.35,0.00134,0.00112
20190501163558,http://web.archive.org/web/20190501163558/https://twitter.com/timryan,19132,2019-05-01 16:35:58,3086,0,19.23,0.0,0.00134,0.0
20190507181620,http://web.archive.org/web/20190507181620/https://twitter.com/TimRyan,19802,2019-05-07 18:16:20,3756,670,23.41,3.5,0.00133,0.00128
20190507190048,http://web.archive.org/web/20190507190048/https://twitter.com/TimRyan,19805,2019-05-07 19:00:48,3759,3,23.43,0.02,0.00133,0.00112
20190507190053,http://web.archive.org/web/20190507190053/https://twitter.com/TimRyan,19805,2019-05-07 19:00:53,3759,0,23.43,0.0,0.00133,0.0
20190510073256,http://web.archive.org/web/20190510073256/https://twitter.com/TimRyan,19902,2019-05-10 07:32:56,3856,97,24.03,0.49,0.00127,0.00045
20190514185617,http://web.archive.org/web/20190514185617/https://twitter.com/TimRyan,20140,2019-05-14 18:56:17,4094,238,25.51,1.2,0.00119,0.00062
20190514185856,http://web.archive.org/web/20190514185856/https://twitter.com/TimRyan,20140,2019-05-14 18:58:56,4094,0,25.51,0.0,0.00119,0.0
20190522025836,http://web.archive.org/web/20190522025836/https://twitter.com/TimRyan,20493,2019-05-22 02:58:36,4447,353,27.71,1.75,0.00109,0.00056
20190522025841,http://web.archive.org/web/20190522025841/https://twitter.com/TimRyan,20493,2019-05-22 02:58:41,4447,0,27.71,0.0,0.00109,0.0
20190525200856,http://web.archive.org/web/20190525200856/https://twitter.com/TimRyan,20626,2019-05-25 20:08:56,4580,133,28.54,0.65,0.00104,0.00041
20190528131914,http://web.archive.org/web/20190528131914/https://twitter.com/TimRyan,20695,2019-05-28 13:19:14,4649,69,28.97,0.33,0.00101,0.00029
