MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101023519,http://web.archive.org/web/20190101023519/https://twitter.com/TomSteyer,211194,2019-01-01 02:35:19,0,0,0,0,0,0
20190101142655,http://web.archive.org/web/20190101142655/https://twitter.com/TomSteyer,211202,2019-01-01 14:26:55,8,8,0.0,0.0,0.00019,0.00019
20190102022430,http://web.archive.org/web/20190102022430/https://twitter.com/TomSteyer,211196,2019-01-02 02:24:30,2,-6,0.0,-0.0,2e-05,-0.00014
20190102144528,http://web.archive.org/web/20190102144528/https://twitter.com/TomSteyer,211199,2019-01-02 14:45:28,5,3,0.0,0.0,4e-05,7e-05
20190104015042,http://web.archive.org/web/20190104015042/https://twitter.com/TomSteyer,211579,2019-01-04 01:50:42,385,380,0.18,0.18,0.0015,0.00301
20190104133115,http://web.archive.org/web/20190104133115/https://twitter.com/TomSteyer,211625,2019-01-04 13:31:15,431,46,0.2,0.02,0.00144,0.00109
20190123015643,http://web.archive.org/web/20190123015643/https://twitter.com/TomSteyer,218618,2019-01-23 01:56:43,7424,6993,3.52,3.3,0.00391,0.00437
20190227152717,http://web.archive.org/web/20190227152717/https://twitter.com/tomsteyer,220683,2019-02-27 15:27:17,9489,2065,4.49,0.94,0.00191,0.00067
20190307035304,http://web.archive.org/web/20190307035304/https://twitter.com/tomsteyer,223177,2019-03-07 03:53:04,11983,2494,5.67,1.13,0.00213,0.00384
20190314003803,https://www.webarchive.org.uk/wayback/archive/20190314003803mp_/https://twitter.com/tomsteyer,224467,2019-03-14 00:38:03,13273,1290,6.28,0.58,0.00214,0.00219
20190327022554,http://web.archive.org/web/20190327022554/https://twitter.com/tomsteyer,224575,2019-03-27 02:25:54,13381,108,6.34,0.05,0.00182,0.0001
20190327083352,http://web.archive.org/web/20190327083352/https://twitter.com/TomSteyer,224605,2019-03-27 08:33:52,13411,30,6.35,0.01,0.00182,0.00136
20190403103507,http://web.archive.org/web/20190403103507/https://twitter.com/TomSteyer,224609,2019-04-03 10:35:07,13415,4,6.35,0.0,0.00168,1e-05
20190410215454,http://web.archive.org/web/20190410215454/https://twitter.com/TomSteyer,224536,2019-04-10 21:54:54,13342,-73,6.32,-0.03,0.00155,-0.00011
20190416002005,http://web.archive.org/web/20190416002005/https://twitter.com/TomSteyer,224544,2019-04-16 00:20:05,13350,8,6.32,0.0,0.00147,2e-05
20190417052025,http://web.archive.org/web/20190417052025/https://twitter.com/TomSteyer,224613,2019-04-17 05:20:25,13419,69,6.35,0.03,0.00146,0.00066
20190417111421,http://web.archive.org/web/20190417111421/https://twitter.com/TomSteyer,224614,2019-04-17 11:14:21,13420,1,6.35,0.0,0.00146,5e-05
20190418041441,http://web.archive.org/web/20190418041441/https://twitter.com/TomSteyer,224667,2019-04-18 04:14:41,13473,53,6.38,0.02,0.00146,0.00087
20190419024743,http://web.archive.org/web/20190419024743/https://twitter.com/TomSteyer,224738,2019-04-19 02:47:43,13544,71,6.41,0.03,0.00145,0.00087
20190420072936,http://web.archive.org/web/20190420072936/https://twitter.com/TomSteyer,224987,2019-04-20 07:29:36,13793,249,6.53,0.11,0.00146,0.00241
20190421023408,http://web.archive.org/web/20190421023408/https://twitter.com/TomSteyer,225033,2019-04-21 02:34:08,13839,46,6.55,0.02,0.00146,0.00067
20190422062909,http://web.archive.org/web/20190422062909/https://twitter.com/TomSteyer,225034,2019-04-22 06:29:09,13840,1,6.55,0.0,0.00144,1e-05
20190423040249,http://web.archive.org/web/20190423040249/https://twitter.com/TomSteyer,225013,2019-04-23 04:02:49,13819,-21,6.54,-0.01,0.00143,-0.00027
20190424055331,http://web.archive.org/web/20190424055331/https://twitter.com/TomSteyer,225074,2019-04-24 05:53:31,13880,61,6.57,0.03,0.00142,0.00066
20190425041551,http://web.archive.org/web/20190425041551/https://twitter.com/TomSteyer,225114,2019-04-25 04:15:51,13920,40,6.59,0.02,0.00141,0.0005
20190425062823,http://web.archive.org/web/20190425062823/https://twitter.com/TomSteyer,225109,2019-04-25 06:28:23,13915,-5,6.59,-0.0,0.00141,-0.00063
20190425172417,http://web.archive.org/web/20190425172417/https://twitter.com/TomSteyer,225123,2019-04-25 17:24:17,13929,14,6.6,0.01,0.00141,0.00036
20190426043346,http://web.archive.org/web/20190426043346/https://twitter.com/TomSteyer,225152,2019-04-26 04:33:46,13958,29,6.61,0.01,0.0014,0.00072
20190427052352,http://web.archive.org/web/20190427052352/https://twitter.com/TomSteyer,225541,2019-04-27 05:23:52,14347,389,6.79,0.17,0.00143,0.00435
20190428090753,http://web.archive.org/web/20190428090753/https://twitter.com/TomSteyer,225682,2019-04-28 09:07:53,14488,141,6.86,0.06,0.00143,0.00141
20190429040909,http://web.archive.org/web/20190429040909/https://twitter.com/TomSteyer,225688,2019-04-29 04:09:09,14494,6,6.86,0.0,0.00142,9e-05
20190430044431,http://web.archive.org/web/20190430044431/https://twitter.com/TomSteyer,225730,2019-04-30 04:44:31,14536,42,6.88,0.02,0.00141,0.00047
20190501070334,http://web.archive.org/web/20190501070334/https://twitter.com/TomSteyer,225752,2019-05-01 07:03:34,14558,22,6.89,0.01,0.0014,0.00023
20190501225600,http://web.archive.org/web/20190501225600/https://twitter.com/TomSteyer,225758,2019-05-01 22:56:00,14564,6,6.9,0.0,0.0014,0.0001
20190502065907,http://web.archive.org/web/20190502065907/https://twitter.com/TomSteyer,225757,2019-05-02 06:59:07,14563,-1,6.9,-0.0,0.00139,-3e-05
20190502084436,http://web.archive.org/web/20190502084436/https://twitter.com/TomSteyer,225763,2019-05-02 08:44:36,14569,6,6.9,0.0,0.00139,0.00095
20190503064647,http://web.archive.org/web/20190503064647/https://twitter.com/TomSteyer,225797,2019-05-03 06:46:47,14603,34,6.91,0.02,0.00138,0.00043
20190504062857,http://web.archive.org/web/20190504062857/https://twitter.com/TomSteyer,225828,2019-05-04 06:28:57,14634,31,6.93,0.01,0.00138,0.00036
20190505062403,http://web.archive.org/web/20190505062403/https://twitter.com/TomSteyer,225838,2019-05-05 06:24:03,14644,10,6.93,0.0,0.00137,0.00012
20190506054609,http://web.archive.org/web/20190506054609/https://twitter.com/TomSteyer,225849,2019-05-06 05:46:09,14655,11,6.94,0.0,0.00136,0.00013
20190507043928,http://web.archive.org/web/20190507043928/https://twitter.com/TomSteyer,225959,2019-05-07 04:39:28,14765,110,6.99,0.05,0.00136,0.00133
20190507191323,http://web.archive.org/web/20190507191323/https://twitter.com/TomSteyer,226100,2019-05-07 19:13:23,14906,141,7.06,0.06,0.00136,0.00269
20190508060541,http://web.archive.org/web/20190508060541/https://twitter.com/TomSteyer,226378,2019-05-08 06:05:41,15184,278,7.19,0.12,0.00138,0.0071
20190509055954,http://web.archive.org/web/20190509055954/https://twitter.com/TomSteyer,226732,2019-05-09 05:59:54,15538,354,7.36,0.16,0.0014,0.00411
20190510045924,http://web.archive.org/web/20190510045924/https://twitter.com/TomSteyer,226901,2019-05-10 04:59:24,15707,169,7.44,0.07,0.00141,0.00204
20190511054628,http://web.archive.org/web/20190511054628/https://twitter.com/TomSteyer,227072,2019-05-11 05:46:28,15878,171,7.52,0.08,0.00141,0.00192
20190512050013,http://web.archive.org/web/20190512050013/https://twitter.com/tomsteyer,227168,2019-05-12 05:00:13,15974,96,7.56,0.04,0.00141,0.00115
20190512082931,http://web.archive.org/web/20190512082931/https://twitter.com/TomSteyer,227170,2019-05-12 08:29:31,15976,2,7.56,0.0,0.00141,0.00016
20190513074326,https://web.archive.org/web/20190513074326/https://twitter.com/TomSteyer,227301,2019-05-13 07:43:26,16107,131,7.63,0.06,0.00141,0.00157
20190514051701,http://web.archive.org/web/20190514051701/https://twitter.com/TomSteyer,227401,2019-05-14 05:17:01,16207,100,7.67,0.04,0.00141,0.00129
20190515072850,http://web.archive.org/web/20190515072850/https://twitter.com/TomSteyer,227575,2019-05-15 07:28:50,16381,174,7.76,0.08,0.00141,0.00184
20190516045854,http://web.archive.org/web/20190516045854/https://twitter.com/TomSteyer,227758,2019-05-16 04:58:54,16564,183,7.84,0.08,0.00142,0.00236
20190516051642,https://www.webarchive.org.uk/wayback/archive/20190516051642mp_/https://twitter.com/tomsteyer,227759,2019-05-16 05:16:42,16565,1,7.84,0.0,0.00142,0.00094
20190517061233,http://web.archive.org/web/20190517061233/https://twitter.com/TomSteyer,228018,2019-05-17 06:12:33,16824,259,7.97,0.11,0.00143,0.00289
20190518063626,http://web.archive.org/web/20190518063626/https://twitter.com/TomSteyer,228364,2019-05-18 06:36:26,17170,346,8.13,0.15,0.00145,0.00394
20190519055303,http://web.archive.org/web/20190519055303/https://twitter.com/TomSteyer,228638,2019-05-19 05:53:03,17444,274,8.26,0.12,0.00146,0.00327
20190520072125,http://web.archive.org/web/20190520072125/https://twitter.com/TomSteyer,228893,2019-05-20 07:21:25,17699,255,8.38,0.11,0.00147,0.00278
20190521052630,http://web.archive.org/web/20190521052630/https://twitter.com/TomSteyer,229154,2019-05-21 05:26:30,17960,261,8.5,0.11,0.00148,0.00328
20190522050251,http://web.archive.org/web/20190522050251/https://twitter.com/TomSteyer,229515,2019-05-22 05:02:51,18321,361,8.67,0.16,0.0015,0.00425
20190523055646,http://web.archive.org/web/20190523055646/https://twitter.com/TomSteyer,229722,2019-05-23 05:56:46,18528,207,8.77,0.09,0.00151,0.00231
20190524051900,http://web.archive.org/web/20190524051900/https://twitter.com/TomSteyer,229800,2019-05-24 05:19:00,18606,78,8.81,0.03,0.00151,0.00093
20190524211852,http://web.archive.org/web/20190524211852/https://twitter.com/TomSteyer,229833,2019-05-24 21:18:52,18639,33,8.83,0.01,0.0015,0.00057
20190525045507,https://www.webarchive.org.uk/wayback/archive/20190525045507mp_/https://twitter.com/tomsteyer,229914,2019-05-25 04:55:07,18720,81,8.86,0.04,0.0015,0.00296
20190525064707,http://web.archive.org/web/20190525064707/https://twitter.com/TomSteyer,229925,2019-05-25 06:47:07,18731,11,8.87,0.0,0.0015,0.00164
20190526045510,http://web.archive.org/web/20190526045510/https://twitter.com/TomSteyer,230059,2019-05-26 04:55:10,18865,134,8.93,0.06,0.00151,0.00168
20190526050743,https://www.webarchive.org.uk/wayback/archive/20190526050743mp_/https://twitter.com/tomsteyer,230065,2019-05-26 05:07:43,18871,6,8.94,0.0,0.00151,0.00797
20190527065830,http://web.archive.org/web/20190527065830/https://twitter.com/TomSteyer,230233,2019-05-27 06:58:30,19039,168,9.01,0.07,0.00151,0.00181
20190528030235,http://web.archive.org/web/20190528030235/https://twitter.com/TomSteyer,230325,2019-05-28 03:02:35,19131,92,9.06,0.04,0.00151,0.00127
20190529085709,https://www.webarchive.org.uk/wayback/archive/20190529085709mp_/https://twitter.com/tomsteyer,230511,2019-05-29 08:57:09,19317,186,9.15,0.08,0.00151,0.00173
20190530022343,http://web.archive.org/web/20190530022343/https://twitter.com/TomSteyer,230686,2019-05-30 02:23:43,19492,175,9.23,0.08,0.00151,0.00279
20190531065542,http://web.archive.org/web/20190531065542/https://twitter.com/TomSteyer,230876,2019-05-31 06:55:42,19682,190,9.32,0.08,0.00152,0.00185
20190601030851,http://web.archive.org/web/20190601030851/https://twitter.com/TomSteyer,231031,2019-06-01 03:08:51,19837,155,9.39,0.07,0.00152,0.00213
20190602044814,http://web.archive.org/web/20190602044814/https://twitter.com/TomSteyer,231263,2019-06-02 04:48:14,20069,232,9.5,0.1,0.00153,0.00251
20190603044617,https://www.webarchive.org.uk/wayback/archive/20190603044617mp_/https://twitter.com/tomsteyer,231420,2019-06-03 04:46:17,20226,157,9.58,0.07,0.00153,0.00182
20190603045753,http://web.archive.org/web/20190603045753/https://twitter.com/TomSteyer,231420,2019-06-03 04:57:53,20226,0,9.58,0.0,0.00153,0.0
20190604095405,http://web.archive.org/web/20190604095405/https://twitter.com/TomSteyer,231793,2019-06-04 09:54:05,20599,373,9.75,0.16,0.00155,0.00358
20190607025454,http://web.archive.org/web/20190607025454/https://twitter.com/TomSteyer,232625,2019-06-07 02:54:54,21431,832,10.15,0.36,0.00158,0.00355
20190607025634,http://web.archive.org/web/20190607025634/https://twitter.com/tomsteyer,232633,2019-06-07 02:56:34,21439,8,10.15,0.0,0.00158,0.08
20190607030100,http://web.archive.org/web/20190607030100/https://twitter.com/tomsteyer,232627,2019-06-07 03:01:00,21433,-6,10.15,-0.0,0.00158,-0.02256
20190607034324,http://web.archive.org/web/20190607034324/https://twitter.com/TomSteyer,232637,2019-06-07 03:43:24,21443,10,10.15,0.0,0.00158,0.00393
20190614075305,http://web.archive.org/web/20190614075305/https://twitter.com/TomSteyer,233602,2019-06-14 07:53:05,22408,965,10.61,0.41,0.00158,0.00156
20190708110024,http://web.archive.org/web/20190708110024/https://twitter.com/TomSteyer,235626,2019-07-08 11:00:24,24432,2024,11.57,0.87,0.0015,0.00097
20190709143142,http://web.archive.org/web/20190709143142/https://twitter.com/tomsteyer,237067,2019-07-09 14:31:42,25873,1441,12.25,0.61,0.00158,0.01454
