MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101023519,http://web.archive.org/web/20190101023519/https://twitter.com/TomSteyer,211194,2019-01-01 02:35:19,0,0,0,0,0,0
20190102144528,http://web.archive.org/web/20190102144528/https://twitter.com/TomSteyer,211199,2019-01-02 14:45:28,5,5,0.0,0.0,4e-05,4e-05
20190104015042,http://web.archive.org/web/20190104015042/https://twitter.com/TomSteyer,211579,2019-01-04 01:50:42,385,380,0.18,0.18,0.0015,0.00301
20190123015643,http://web.archive.org/web/20190123015643/https://twitter.com/TomSteyer,218618,2019-01-23 01:56:43,7424,7039,3.52,3.33,0.00391,0.00429
20190227152717,http://web.archive.org/web/20190227152717/https://twitter.com/tomsteyer,220683,2019-02-27 15:27:17,9489,2065,4.49,0.94,0.00191,0.00067
20190307035304,http://web.archive.org/web/20190307035304/https://twitter.com/tomsteyer,223177,2019-03-07 03:53:04,11983,2494,5.67,1.13,0.00213,0.00384
20190314003803,https://www.webarchive.org.uk/wayback/archive/20190314003803mp_/https://twitter.com/tomsteyer,224467,2019-03-14 00:38:03,13273,1290,6.28,0.58,0.00214,0.00219
20190327022554,http://web.archive.org/web/20190327022554/https://twitter.com/tomsteyer,224575,2019-03-27 02:25:54,13381,108,6.34,0.05,0.00182,0.0001
20190403103507,http://web.archive.org/web/20190403103507/https://twitter.com/TomSteyer,224609,2019-04-03 10:35:07,13415,34,6.35,0.02,0.00168,5e-05
20190410215454,http://web.archive.org/web/20190410215454/https://twitter.com/TomSteyer,224536,2019-04-10 21:54:54,13342,-73,6.32,-0.03,0.00155,-0.00011
20190416002005,http://web.archive.org/web/20190416002005/https://twitter.com/TomSteyer,224544,2019-04-16 00:20:05,13350,8,6.32,0.0,0.00147,2e-05
20190417052025,http://web.archive.org/web/20190417052025/https://twitter.com/TomSteyer,224613,2019-04-17 05:20:25,13419,69,6.35,0.03,0.00146,0.00066
20190419024743,http://web.archive.org/web/20190419024743/https://twitter.com/TomSteyer,224738,2019-04-19 02:47:43,13544,125,6.41,0.06,0.00145,0.00076
20190420072936,http://web.archive.org/web/20190420072936/https://twitter.com/TomSteyer,224987,2019-04-20 07:29:36,13793,249,6.53,0.11,0.00146,0.00241
20190422062909,http://web.archive.org/web/20190422062909/https://twitter.com/TomSteyer,225034,2019-04-22 06:29:09,13840,47,6.55,0.02,0.00144,0.00028
20190424055331,http://web.archive.org/web/20190424055331/https://twitter.com/TomSteyer,225074,2019-04-24 05:53:31,13880,40,6.57,0.02,0.00142,0.00023
20190425062823,http://web.archive.org/web/20190425062823/https://twitter.com/TomSteyer,225109,2019-04-25 06:28:23,13915,35,6.59,0.02,0.00141,0.0004
20190427052352,http://web.archive.org/web/20190427052352/https://twitter.com/TomSteyer,225541,2019-04-27 05:23:52,14347,432,6.79,0.19,0.00143,0.00256
20190428090753,http://web.archive.org/web/20190428090753/https://twitter.com/TomSteyer,225682,2019-04-28 09:07:53,14488,141,6.86,0.06,0.00143,0.00141
20190430044431,http://web.archive.org/web/20190430044431/https://twitter.com/TomSteyer,225730,2019-04-30 04:44:31,14536,48,6.88,0.02,0.00141,0.00031
20190501070334,http://web.archive.org/web/20190501070334/https://twitter.com/TomSteyer,225752,2019-05-01 07:03:34,14558,22,6.89,0.01,0.0014,0.00023
20190502084436,http://web.archive.org/web/20190502084436/https://twitter.com/TomSteyer,225763,2019-05-02 08:44:36,14569,11,6.9,0.0,0.00139,0.00012
20190504062857,http://web.archive.org/web/20190504062857/https://twitter.com/TomSteyer,225828,2019-05-04 06:28:57,14634,65,6.93,0.03,0.00138,0.00039
20190506054609,http://web.archive.org/web/20190506054609/https://twitter.com/TomSteyer,225849,2019-05-06 05:46:09,14655,21,6.94,0.01,0.00136,0.00012
20190507191323,http://web.archive.org/web/20190507191323/https://twitter.com/TomSteyer,226100,2019-05-07 19:13:23,14906,251,7.06,0.11,0.00136,0.00186
20190509055954,http://web.archive.org/web/20190509055954/https://twitter.com/TomSteyer,226732,2019-05-09 05:59:54,15538,632,7.36,0.28,0.0014,0.00505
20190511054628,http://web.archive.org/web/20190511054628/https://twitter.com/TomSteyer,227072,2019-05-11 05:46:28,15878,340,7.52,0.15,0.00141,0.00198
20190512082931,http://web.archive.org/web/20190512082931/https://twitter.com/TomSteyer,227170,2019-05-12 08:29:31,15976,98,7.56,0.04,0.00141,0.00102
20190514051701,http://web.archive.org/web/20190514051701/https://twitter.com/TomSteyer,227401,2019-05-14 05:17:01,16207,231,7.67,0.1,0.00141,0.00143
20190515072850,http://web.archive.org/web/20190515072850/https://twitter.com/TomSteyer,227575,2019-05-15 07:28:50,16381,174,7.76,0.08,0.00141,0.00184
20190517061233,http://web.archive.org/web/20190517061233/https://twitter.com/TomSteyer,228018,2019-05-17 06:12:33,16824,443,7.97,0.19,0.00143,0.00263
20190518063626,http://web.archive.org/web/20190518063626/https://twitter.com/TomSteyer,228364,2019-05-18 06:36:26,17170,346,8.13,0.15,0.00145,0.00394
20190520072125,http://web.archive.org/web/20190520072125/https://twitter.com/TomSteyer,228893,2019-05-20 07:21:25,17699,529,8.38,0.23,0.00147,0.00301
20190522050251,http://web.archive.org/web/20190522050251/https://twitter.com/TomSteyer,229515,2019-05-22 05:02:51,18321,622,8.67,0.27,0.0015,0.00378
20190523055646,http://web.archive.org/web/20190523055646/https://twitter.com/TomSteyer,229722,2019-05-23 05:56:46,18528,207,8.77,0.09,0.00151,0.00231
20190524211852,http://web.archive.org/web/20190524211852/https://twitter.com/TomSteyer,229833,2019-05-24 21:18:52,18639,111,8.83,0.05,0.0015,0.00078
20190526045510,http://web.archive.org/web/20190526045510/https://twitter.com/TomSteyer,230059,2019-05-26 04:55:10,18865,226,8.93,0.1,0.00151,0.00199
20190527065830,http://web.archive.org/web/20190527065830/https://twitter.com/TomSteyer,230233,2019-05-27 06:58:30,19039,174,9.01,0.08,0.00151,0.00186
20190529085709,https://www.webarchive.org.uk/wayback/archive/20190529085709mp_/https://twitter.com/tomsteyer,230511,2019-05-29 08:57:09,19317,278,9.15,0.12,0.00151,0.00155
20190531065542,http://web.archive.org/web/20190531065542/https://twitter.com/TomSteyer,230876,2019-05-31 06:55:42,19682,365,9.32,0.16,0.00152,0.00221
20190602044814,http://web.archive.org/web/20190602044814/https://twitter.com/TomSteyer,231263,2019-06-02 04:48:14,20069,387,9.5,0.17,0.00153,0.00234
20190603045753,http://web.archive.org/web/20190603045753/https://twitter.com/TomSteyer,231420,2019-06-03 04:57:53,20226,157,9.58,0.07,0.00153,0.00181
20190604095405,http://web.archive.org/web/20190604095405/https://twitter.com/TomSteyer,231793,2019-06-04 09:54:05,20599,373,9.75,0.16,0.00155,0.00358
20190607025454,http://web.archive.org/web/20190607025454/https://twitter.com/TomSteyer,232625,2019-06-07 02:54:54,21431,832,10.15,0.36,0.00158,0.00355
