MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190101220713,https://web.archive.org/web/20190101220713/https://twitter.com/TulsiGabbard,216652,2019-01-01 22:07:13,0,0,0,0,0,0
20190102220835,https://web.archive.org/web/20190102220835/https://twitter.com/TulsiGabbard,216704,2019-01-02 22:08:35,52,52,0.02,0.02,0.0006,0.0006
20190104033248,https://web.archive.org/web/20190104033248/https://twitter.com/TulsiGabbard,216864,2019-01-04 03:32:48,212,160,0.1,0.07,0.0011,0.00151
20190104215840,https://web.archive.org/web/20190104215840/https://twitter.com/TulsiGabbard,217080,2019-01-04 21:58:40,428,216,0.2,0.1,0.00165,0.00326
20190105213709,https://web.archive.org/web/20190105213709/https://twitter.com/TulsiGabbard,217462,2019-01-05 21:37:09,810,382,0.37,0.18,0.00236,0.00449
20190106220334,https://web.archive.org/web/20190106220334/https://twitter.com/TulsiGabbard,217626,2019-01-06 22:03:34,974,164,0.45,0.08,0.00226,0.00186
20190107220055,https://web.archive.org/web/20190107220055/https://twitter.com/TulsiGabbard,217726,2019-01-07 22:00:55,1074,100,0.5,0.05,0.00207,0.00116
20190108142749,https://web.archive.org/web/20190108142749/https://twitter.com/TulsiGabbard,217782,2019-01-08 14:27:49,1130,56,0.52,0.03,0.00196,0.00095
20190108212920,https://web.archive.org/web/20190108212920/https://twitter.com/TulsiGabbard,217814,2019-01-08 21:29:20,1162,32,0.54,0.01,0.00193,0.00127
20190109232802,https://web.archive.org/web/20190109232802/https://twitter.com/TulsiGabbard,218069,2019-01-09 23:28:02,1417,255,0.65,0.12,0.00204,0.00273
20190110222352,https://web.archive.org/web/20190110222352/https://twitter.com/TulsiGabbard,218380,2019-01-10 22:23:52,1728,311,0.8,0.14,0.00222,0.00377
20190111231421,https://web.archive.org/web/20190111231421/https://twitter.com/TulsiGabbard,218577,2019-01-11 23:14:21,1925,197,0.89,0.09,0.00222,0.0022
20190112090613,https://web.archive.org/web/20190112090613/https://twitter.com/TulsiGabbard,225288,2019-01-12 09:06:13,8636,6711,3.99,3.07,0.00956,0.18898
20190112094332,https://web.archive.org/web/20190112094332/https://twitter.com/TulsiGabbard,225428,2019-01-12 09:43:32,8776,140,4.05,0.06,0.00969,0.06253
20190112221734,https://web.archive.org/web/20190112221734/https://twitter.com/TulsiGabbard,229564,2019-01-12 22:17:34,12912,4136,5.96,1.83,0.01358,0.09142
20190113111714,https://web.archive.org/web/20190113111714/https://twitter.com/TulsiGabbard,233965,2019-01-13 11:17:14,17313,4401,7.99,1.92,0.01735,0.09408
20190113220005,https://web.archive.org/web/20190113220005/https://twitter.com/TulsiGabbard,235579,2019-01-13 22:00:05,18927,1614,8.74,0.69,0.01826,0.04184
